HVH_090_000001_000001	丁朝争誌
HVH_090_000001_000002	敎州
HVH_090_000001_000003	哈大
HVH_090_000001_000004	先皇帝吉
HVH_090_000001_000005	禮内臣杜所殺帝丁璿先皇帝之子寿十八歲
HVH_090_000001_000006	下肆嘉遠人也列史丁公著之子削平十二使君在位十二年壽五十六卷
HVH_090_000001_000007	𥪝坐𠇍几别台坦沔加達𡗶蜀𠉞生炮羅部領聽明吒爫唎火任城歡州吟
HVH_090_000001_000008	翁丁公著𠸜初帝王降下𡗶陀𢼂生丁公課任歡城别𱥺買齡拯别奸
HVH_090_000001_000009	貪𧡊公𠁀乱洛犯南仍几愚凣庒几賢明課𱜢救特蒼生些才成些名
HVH_090_000001_000010	平常店店會𱴸香願𡗶生圣救方民尼碎群固福程𬆄願諸天地
HVH_090_000001_000011	渚西之𪜀碎油𠃣正𡗉邪顧吀刼恪底𦋦治𠁀夫人皮賒更𠄩𧡊𠊛高𢀲
HVH_090_000001_000012	𢌌𨱽丈夫工𢬣扲𥙩玺符旦遣買謨吀爫媄娘自𧥾越還魂盘鵠包意
HVH_090_000001_000013	𠰺噋共𫯳丁公𦖑别𢜠𢚸強修刼𫏾吏防身𨍦夫人日勤胎胞𠃩𣎃𨑮𣈗
HVH_090_000001_000014	時買生𦋦特𱥺男子平花丁公𢜠焒福茹群遺能兜時運於𡗶𢧚
HVH_090_000001_000015	尼渃排排干戈恨绳公羡奸邪辞聀𧗱茹於坦花閣昆群𧖱渃𬏝
HVH_090_000001_000016	疎逹𠸜部領底除綏宗埃𪟽運奇丁公𢗼𠁀丿化聀濃花閭娘卞寡部𠀧爲官清茹
HVH_090_000001_000017	泊昆疎共𫯳康康𡦂道三從用茹飢儉侯蒙𢚁之爫藝奔半几圭餒昆奇𢀲𠰺芸
HVH_090_000001_000018	爫安吴王擛賊賒𧵆斬繩公羡救民欺难媄昆𢜠胣於安人民調塊淋嘆自𣈙
HVH_090_000001_000019	仍蒙吝呂店𣈗部領歲𣈙㐌典𨑮𠄩情高性氣恪𠊛盘泊事𠁀買𨅸丈夫茹
HVH_090_000001_000020	悴庒兑𢗼事𡮈糊塗事𢀲罕灰浸萬庄固通𥋳枚仍𦋦𠁀麻立功名爫𠊛㐌
HVH_090_000001_000021	𡲤𡗶生富貴㐌停𢀨重㐌𢺹路𪜀蹎溯爫之𢧚時特吱吼特時𦬑囊量𢗼󰅒
HVH_090_000001_000022	𢄂枚塘打彈打扣穷坊蹎𤛠媄傷餒曩闭𥹰𩛜𩛂庄管粗蔞庒嫌
HVH_090_000002_000001	東家固沒朗盈𧡊耒卞買𠴗𡅳浪丕於仍拱損功𠉞蹎𤛠戈仕并𣈜者功事
HVH_090_000002_000002	𬁖埋𠼦𨔍𨓡朗仍𫥨同共𥘷蹎𤛠結排扶扱打饒暴改如𤢿孟欧如𤞻
HVH_090_000002_000003	𤞻沒𨉟敵𤾓𠺥𠦳先兵扲梞如婅決料打特眾散如瓢眾咳眾保調爫彈
HVH_090_000002_000004	英合饒仍穭醒阎爫軍國𢀲爭爵權奉𠊛穷𱥺同年阮蔔丁佃鄭琇
HVH_090_000002_000005	刘基算事恭𨷑基圖習情𢀲越如皮眾些𡗶朱爫主國家習情朱罕底
HVH_090_000002_000006	麻治民花阁藥别𠇍吝𦰤爫䑓閣鎮垠星城達爫固奇固营固軍四衛固城
HVH_090_000002_000007	四回連時宝欽威儀𥪝固丹墀外固儀門朝廷逹待侍近官班左蔔佃班右
HVH_090_000002_000008	功基共饒料量算𢗼爫𢂎平𡽫爫旗平𦰤智𢗼自所年附饒交手𨅸侯
HVH_090_000002_000009	爫㺔跪朱部領𨖲繼打𠀧𤿰𠰘打回鉦𢬣仍𥙩附近帝𣈙廊𱜢𥙩意拉排
HVH_090_000002_000010	堆边咿𦖑甕令哃𨕭呼嘹𠀧㗂越污花倜天子儀衛嚴如呪𩄲妥𩙌
HVH_090_000002_000011	吁禀逴𥙩部領𨖲殿排班雅樂堆边叩頭嵩呼𠀧㗂跪奏𥛉𤤰𬮙
HVH_090_000002_000012	歲𤯩𥹰重戈塘固几𨅸𬂙事些胎拱𢧚双㐌苔最衛朗吏合排𥄭𣈜
HVH_090_000002_000013	捐𬑉盗𣈙捐身𱜢咳㖂賒吨𧵆注博庄𢜝𠰺噒庄除制𥹰暢胣強都部
HVH_090_000002_000014	領和保泉浪悲𢚸㐌腰饒羕尼算暫没𣈗能泣𠦳𢆥眾浪㐌卒知
HVH_090_000002_000015	青會𱜢初庄結爫𤤰碎󰠃饒指坦誓𡗶埃庄汝𠳒天地察𤐝領𢜠呐歇曲
HVH_090_000002_000016	餒𢧚功業意恩餒腰為㐌𢧚𣎀胣𱥺皮嫌爫飢儉𧵑之待饒茹群沒
