HVH_091_000001_000001	序
HVH_091_000001_000002	乙巳之秋余得假留貫禮部員外郎銳江段春韶携所
HVH_091_000001_000003	撰族譜見木仍以文属之余薰盥披閲登譜者己十
HVH_091_000001_000004	有一代矣世次之先後支派之系属與夫言行事業墳
HVH_091_000001_000005	墓忌譚靡不備載孝哉春韶之敦本敘倫以有是譜而世
HVH_091_000001_000006	德族系相與為無窮也盛哉段氏之積功累行以有春韶
HVH_091_000001_000007	而因有是譜以傳于不朽也段氏之先青威右青威人也
HVH_091_000001_000008	始祖福山公而下葉相承克篤其慶傳及馳威将軍
HVH_091_000001_000009	都指揮福良公以弓劍之雄才闢縷之家券族之大基
HVH_091_000001_000010	於此矣德厚者流光少卿公都總兵使公管竒公提點
HVH_091_000001_000011	公侍車公两府生公相武而出門户榮昌子孫蕃衍而
HVH_091_000001_000012	段族遂然為江右之一望閥焉遡其亨發之自淵乎非
HVH_091_000001_000013	一日之積七文如不足後何所獨是古先德盛有以播
HVH_091_000001_000014	引之者有以翼承之者餘慶之裕也遠固宜其有春
HVH_091_000001_000015	韶而是譜因以作也彚前代而序列之輯往跡而論
HVH_091_000001_000016	之别之以誌總之以圖明族系之自出揭世德于将來
HVH_091_000002_000001	而文始足徴矣年代日遠而昭穆仍不紊也属籍日踈而
HVH_091_000002_000002	伯仲仍不澈也由焉而百世而千萬世因而廣之溯而求
HVH_091_000002_000003	之人人有报反之心人人有親睦之義禮所謂尊祖而
HVH_091_000002_000004	收族者在是矣是譜之有係於族姓也大矣哉余於是
HVH_091_000002_000005	有以見春韶不匱之孝而尤有以驗段氏福澤之洪也春
HVH_091_000002_000006	韶名举人也於今位于大夫之列者也人既渾純學亦
HVH_091_000002_000007	淵確其所以顕揚光大為人網為人紀以増耀于是譜
HVH_091_000002_000008	者益又有未可得而限量已余與春韶志契又婚親也
HVH_091_000002_000009	幸得陪侍先大人左右略聞家庭之雅固知其有方興
HVH_091_000002_000010	未𠬠之象今而後段族日益大矣世世登譜有聞人矣
HVH_091_000002_000011	春詔勉旗旹
HVH_091_000002_000012	紹治五年乙巳冬原太平署守永川進士武文理黄中謹題
HVH_091_000003_000001	段族譜序
HVH_091_000003_000002	木之千柯萬葉本於根水之千流萬派本於源人則本
HVH_091_000003_000003	乎祖也禮曰人道親親也親親故尊祖尊祖故敬宗
HVH_091_000003_000004	敬宗故族收族云者使族無離散也非譜抑何以哉
HVH_091_000003_000005	世家大族莫不有之誠以家之有譜猶國之有史而所云
HVH_091_000003_000006	收族更有天倫之重也我族還古之初誰傳道之己不可
HVH_091_000003_000007	得而聞矣我
HVH_091_000003_000008	鼻祖福山公以後四世年代遥遠功行令亦無傳然四世之後篤
HVH_091_000003_000009	生
HVH_091_000003_000010	馳咸将軍都指揮使僉事福良公賁豐貽之世澤裕坤積之
HVH_091_000003_000011	餘慶以顕揚光耀而振家覩以盛大繁昌而世䕃公
HVH_091_000003_000012	生二男二各生三合而為六六之後日以繁衍遂别成本鄉
HVH_091_000003_000013	四甲之一人數反氣而勝之而數葉之間如少卿公都總兵
HVH_091_000003_000014	使公以封贈顯管竒公以武功進提點公侍車公以中官用
HVH_091_000003_000015	兩府生公為登科始郡夫人以女子貴雖未有髙科躋
HVH_091_000003_000016	要宦者而其亨以漸亦旣足為我卿之望族功行之積
HVH_091_000004_000001	不其盛歟根深者條茂源洪者派長世代日以益遠系
HVH_091_000004_000002	屬日以益踈倘文不足徵耳孫之後将何所聞故侍
HVH_091_000004_000003	内監左提點金壽伯
HVH_091_000004_000004	鼻祖七代孫也為本族設合祀之禮因輯仝族諸先靈謚號
HVH_091_000004_000005	帳而列之盖曾有志於是顧帳以祀設諡號外皆所未備
HVH_091_000004_000006	世次之先後支派之伯仲今人能因帳而知之者固己鮮矣
HVH_091_000004_000007	古人有言後之視今亦今之視昔今旣不能以知昔後又何由
HVH_091_000004_000008	以知今况又何由以知今之肯哉暄憑
HVH_091_000004_000009	先蔭忝預儒科稽往跡以揭将來弗敢誘非己責幸頼
HVH_091_000004_000010	家嚴雅得於
HVH_091_000004_000011	先大父府生公親睦家誨宗親故事多所聞知因得将帳與
HVH_091_000004_000012	譜侯
HVH_091_000004_000013	敎參訂有所疑以質諸族内有識者乃敢恭錄自
HVH_091_000004_000014	始祖以下世次派系及夫事之不可闕者逐代列誌而總之以圖
HVH_091_000004_000015	因又創為凡例明其編撰之體使世世子孫因是而續之
HVH_091_000004_000016	以為一族永徵之的庻幾而今而後族有譜記譜與人傳
HVH_091_000005_000001	統系昭晰何但九世之親帥九世以外屬籍踈邈而遡求之則
HVH_091_000005_000002	某號第幾代祖也某號第幾代妣也橫肴之則某支干世
HVH_091_000005_000003	族兄也某支干世族弟也幸而
HVH_091_000005_000004	先澤不墜雖至百千萬世而血脉聯絡如視諸掌不覺報反敦
HVH_091_000005_000005	叙之心油然以生族屬之誼可以終古而弗紊矣是為序
HVH_091_000005_000006	明命拾叄年歲在壬辰仲冬吉日
HVH_091_000005_000007	第十代孫舉人段仲暄春韶拜題
HVH_091_000005_000008	于鋭江右之書軒
HVH_091_000005_000009	乙未三月北省文温舉人杜培元書
HVH_091_000006_000001	段族譜凡例
HVH_091_000006_000002	一編次之意以宗統之系屬支派之伯仲及墳墓忌諱在仝族
HVH_091_000006_000003	之所共奉祀與夫言行事業之有閤於宗族而有徵者據
HVH_091_000006_000004	實誌之以備稽考若夫族内各支諸墳墓忌諱今既難尽
HVH_091_000006_000005	查頗亦自屬各支之私宜各私記為是族譜畧之姑且特
HVH_091_000006_000006	詳我家一支以為發凡起例族内每支各宜别抄族譜一本因
HVH_091_000006_000007	而倣此編八可也
HVH_091_000006_000008	一立誌以行次共一代者列爲一誌逐代别記方可備記今族且令
HVH_091_000006_000009	後世得以續記惟世代之次禮當以考為一代祖為二代各自
HVH_091_000006_000010	已身逆數第譜列仝族且以傳後稱呼難預印定而逐
HVH_091_000006_000011	代旣須别誌又不可無箇顔額故誌以始祖為第一代継
HVH_091_000006_000012	始祖為第二代逐代順數三代四代以至萬代庻免室而不通之処
HVH_091_000006_000013	一凡登誌行首須是有男子者若無者惟所謂言行事業
HVH_091_000006_000014	之有闥宗族及有立嗣者則亦登之餘竝附錄于其父母
HVH_091_000006_000015	之下以備之又如第十代誌以前間亦有數世嗣續而今成鳥
HVH_091_000006_000016	有者其字號雖在而統系考究無從則旣存之於帳以配祀
HVH_091_000007_000001	心
HVH_091_000007_000002	亦足不敢登譜恐或紊其統系也
HVH_091_000007_000003	一諸女子第十代誌以前弗能盡考第十代誌以後想更不可偏
HVH_091_000007_000004	備於前且於宗族之世系亦未甚闕故圖竝關之誌則惟其
HVH_091_000007_000005	所謂有關宗族者附錄于其父母之下餘亦畧之
HVH_091_000007_000006	一若某支能詳
HVH_091_000007_000007	之各支松抄挨議
HVH_091_000007_000008	查其支内謂女自附編之亦可今且
HVH_091_000007_000009	特詳我家一支為例編者此
HVH_091_000007_000010	一凡誌某公必須其旣謝世後方誌得定故自十代誌以後且無拘
HVH_091_000007_000011	兄先弟後之序但逐代誌之而明記其某公之長子次子季
HVH_091_000007_000012	子或第幾子以詳之嗣後每一代旣往再一番修寫其誌方可
HVH_091_000007_000013	正其次序
HVH_091_000007_000014	一圖紙有盡而族系無窮嗣今係到紙極宜復晝别圖再将
HVH_091_000007_000015	紙尾字號置諸行首而逐代依次續畫之週而復始方可
HVH_091_000007_000016	與族系俱為無窮也
HVH_091_000008_000001	段族譜世次圖
HVH_091_000008_000002	始祖福山
HVH_091_000008_000003	福心
HVH_091_000008_000004	福考
HVH_091_000008_000005	福度福良
HVH_091_000008_000006	福位法禄法緣
HVH_091_000008_000007	法門
HVH_091_000008_000008	仕傅
HVH_091_000008_000009	仲詳
HVH_091_000008_000010	仲盧
HVH_091_000008_000011	首容
HVH_091_000008_000012	仲客
HVH_091_000008_000013	仲功仲
HVH_091_000008_000014	效
HVH_091_000008_000015	能釋能董
HVH_091_000008_000016	能智福寧能䋥
HVH_091_000008_000017	能體
HVH_091_000008_000018	能麻
HVH_091_000008_000019	能事
HVH_091_000008_000020	能岑能生
HVH_091_000008_000021	能渼
HVH_091_000008_000022	福堂仲騰
HVH_091_000008_000023	能德
HVH_091_000008_000024	純智
HVH_091_000008_000025	生美
HVH_091_000008_000026	純信
HVH_091_000008_000027	世富
HVH_091_000008_000028	廷學仲捷
HVH_091_000008_000029	仲毅
HVH_091_000008_000030	根美
HVH_091_000008_000031	入其子许為场
HVH_091_000008_000032	即长
HVH_091_000008_000033	仲變仲萬
HVH_091_000008_000034	仲肅仲卿
HVH_091_000009_000001	仲康
HVH_091_000009_000002	仲秋仲彦
HVH_091_000009_000003	仲唐仲虞
HVH_091_000009_000004	仲
HVH_091_000009_000005	中启日
HVH_091_000009_000006	仲諧
HVH_091_000009_000007	廷攽
HVH_091_000009_000008	仲
HVH_091_000009_000009	仲
HVH_091_000009_000010	仲税
HVH_091_000009_000011	仲决廷
HVH_091_000009_000012	仲穎仲謹
HVH_091_000009_000013	仲造
HVH_091_000009_000014	仲光廷紫
HVH_091_000009_000015	翼
HVH_091_000009_000016	仲新
HVH_091_000009_000017	仲侶
HVH_091_000009_000018	神
HVH_091_000009_000019	仲調
HVH_091_000009_000020	仲紹
HVH_091_000009_000021	仲提仲盒
HVH_091_000009_000022	仲
HVH_091_000009_000023	法進
HVH_091_000009_000024	能義仲創仲特仲
HVH_091_000009_000025	仲來
HVH_091_000009_000026	仲賞
HVH_091_000009_000027	興隆
HVH_091_000009_000028	能燦
HVH_091_000009_000029	仲洪
HVH_091_000009_000030	廷計廷銳廷銃
HVH_091_000009_000031	仲鏗
HVH_091_000009_000032	仲書
HVH_091_000009_000033	廷錫
HVH_091_000009_000034	䏻佳
HVH_091_000009_000035	疑周
HVH_091_000009_000036	即延愛
HVH_091_000009_000037	仲星
HVH_091_000010_000001	一伯楊
HVH_091_000010_000002	延富廷軫仲慧
HVH_091_000010_000003	廷廷省仲剩
HVH_091_000010_000004	廷邀廷樹廷模
HVH_091_000010_000005	廷培
HVH_091_000010_000006	廷鮮廷倚
HVH_091_000010_000007	从
HVH_091_000010_000008	定
HVH_091_000010_000009	仲兼仲塔仲帛
HVH_091_000010_000010	仲篆
HVH_091_000010_000011	仲軒仲連仲年
HVH_091_000010_000012	仲梅神休
HVH_091_000010_000013	仲載仲翼
HVH_091_000010_000014	興奠伯益
HVH_091_000010_000015	伯模
HVH_091_000010_000016	仲識伯城
HVH_091_000010_000017	伯好
HVH_091_000010_000018	伯
HVH_091_000010_000019	伯两
HVH_091_000010_000020	伯丙
HVH_091_000010_000021	具社女字夕
HVH_091_000010_000022	伯史
HVH_091_000010_000023	仲讓
HVH_091_000010_000024	伯僉
HVH_091_000010_000025	伯𨷑
HVH_091_000011_000001	文
HVH_091_000011_000002	仲従
HVH_091_000011_000003	仲科仲春仲兜仲
HVH_091_000011_000004	仲
HVH_091_000011_000005	仲語
HVH_091_000011_000006	仲講茂栢
HVH_091_000011_000007	仲騫仲党
HVH_091_000011_000008	仲申
HVH_091_000011_000009	仲溢
HVH_091_000011_000010	仲駢
HVH_091_000011_000011	仲富
HVH_091_000011_000012	仲匡仲佑仲寺仲如
HVH_091_000011_000013	仲仲碩仲振
HVH_091_000011_000014	開兑
HVH_091_000011_000015	仲緒仲斗
HVH_091_000011_000016	仲秀仲何仲石
HVH_091_000011_000017	正理
HVH_091_000011_000018	仲立仲曙
HVH_091_000011_000019	仲仕
HVH_091_000011_000020	仲凝山
HVH_091_000011_000021	仲
HVH_091_000011_000022	仲噲仲暄
HVH_091_000011_000023	仲彪
HVH_091_000011_000024	上仲廸
HVH_091_000011_000025	仲譜
HVH_091_000011_000026	仲擴
HVH_091_000011_000027	仲昴仲維
HVH_091_000011_000028	仲榮
HVH_091_000012_000001	仲暖仲勺仲壁王
HVH_091_000012_000002	仲
HVH_091_000012_000003	仲謡
HVH_091_000012_000004	仲説
HVH_091_000012_000005	仲捽
HVH_091_000012_000006	音筆
HVH_091_000012_000007	仲諸
HVH_091_000012_000008	仲裹
HVH_091_000012_000009	仲玄
HVH_091_000012_000010	仲敢仲维仲汪
HVH_091_000012_000011	仲尊
HVH_091_000012_000012	仲
HVH_091_000012_000013	仲𢚁仲從
HVH_091_000012_000014	捉仲在
HVH_091_000012_000015	仲𠦳
HVH_091_000012_000016	仲蓮仲品
HVH_091_000012_000017	仲蠲仲仲樊
HVH_091_000012_000018	仲準仲荣
HVH_091_000012_000019	仲肇仲
HVH_091_000012_000020	仲莹
HVH_091_000012_000021	仲越
HVH_091_000012_000022	仲栁
HVH_091_000012_000023	丁仲活
HVH_091_000012_000024	仲座
HVH_091_000012_000025	仲煥
HVH_091_000012_000026	仲汝仲表淡
HVH_091_000012_000027	仲
HVH_091_000012_000028	仲玖
HVH_091_000012_000029	仲奉仲儲仲我
HVH_091_000012_000030	仲仲悌仲享仲聚
HVH_091_000012_000031	仲肆一
HVH_091_000013_000001	仲莱仲有鄉
HVH_091_000013_000002	仲
HVH_091_000013_000003	福盛能富能日
HVH_091_000013_000004	䏻如
HVH_091_000013_000005	能顯仲時
HVH_091_000013_000006	福兼指慈德院
HVH_091_000013_000007	德瑞文就
HVH_091_000013_000008	德純仲卷仲唒
HVH_091_000013_000009	仲勉仲勸仲乃
HVH_091_000013_000010	春澤仲隊
HVH_091_000013_000011	德茂
HVH_091_000013_000012	伯坎仲简
HVH_091_000013_000013	能什能綏
HVH_091_000013_000014	福正能有
HVH_091_000013_000015	延金
HVH_091_000014_000001	河内省應和府青威縣左青威總右青威社周舍村東上段族譜
HVH_091_000014_000002	第一代誌
HVH_091_000014_000003	諱也
HVH_091_000014_000004	始祖福山公
HVH_091_000014_000005	除傲此墳忌見後以下五代同
HVH_091_000014_000006	公凡誌以字始祖誌號闕字與諱也
HVH_091_000014_000007	也正室號慈意
HVH_091_000014_000008	此
HVH_091_000014_000009	心闕姓餘主
HVH_091_000014_000010	賒生福心
HVH_091_000014_000011	公公
HVH_091_000014_000012	五世同時兄弟各幾人亦未詳
HVH_091_000014_000013	公以前世遠無徵出自出未詳以按俗所謂字記時之為乃其謀也其所謂講乃㓜時小名也
HVH_091_000014_000014	今機俗至所謂乃年五十時所秋與年未五下後稱也
HVH_091_000014_000015	第二代誌
HVH_091_000014_000016	福心公福山公之子正室號慈僊生福考公
HVH_091_000014_000017	第三代誌
HVH_091_000014_000018	福考公福心公之子正室號慈善生福度公
HVH_091_000014_000019	第四代誌
HVH_091_000014_000020	福度公福考公之子正室號慈賢生福良公右四代忌展來詳
HVH_091_000014_000021	第五代誌
HVH_091_000014_000022	思辰二月初六日遍年春日是也
HVH_091_000014_000023	治辰五二十三日
HVH_091_000014_000024	福良公福度公之子正室鄧貴氏號妙鏡生二男一女長男福位公
HVH_091_000014_000025	次男福盛公女嫁本村東髙甲段氏人公黎朝時以兵從戎
HVH_091_000014_000026	有軍功補官既而歷共好武服屢以勇畧樹勲遂蒙
HVH_091_000014_000027	顕擢官至馳咸将軍都指揮使司都指揮食事我族以武
HVH_091_000014_000028	功顯自公始我族預朝廷官品亦自公始
HVH_091_000015_000001	右五代凡十位墳墓惟福良公墳一位在𡏢㙁處永為本族𮞏
HVH_091_000015_000002	年春祀臘祀之所今阮氏之忌田其最在東南角乳處而
HVH_091_000015_000003	築圓堆似汉童美耳楊
HVH_091_000015_000004	東南二畔各小吕是也其餘九位今不辨某墳是某謚號但
HVH_091_000015_000005	據見在𡏢㙁處本甲懺之米田一位在正中處有譚民墓附其
HVH_091_000015_000006	是四五
HVH_091_000015_000007	東本族人段仲儲之田一位近南畔之中處段溫雅之田一位附于北
HVH_091_000015_000008	良公田心
HVH_091_000015_000009	畔之中處本村人阮有林之墨所三位其田亦相爽一位在北邊
HVH_091_000015_000010	四則于北畔一位在南邊田則在西南角墳之四面有四小占假
HVH_091_000015_000011	墳𡏢奇處段有忠之田一位近西畔之中處𡏢珠處本族人氏
HVH_091_000015_000012	燕之田一位附于西畔之中處大慈中村埝處本村之公田一位在東
HVH_091_000015_000013	相傳這一位在本中青咸社茂良材糊處
HVH_091_000015_000014	北角附于金龜凡八位其一未詳至忌辰亦未詳惟鄧貴民
HVH_091_000015_000015	號妙鏡忌辰月初六日今本族𮞏年行春祀禮之日是也
HVH_091_000015_000016	謹按我族前此盖猶服勤農直至福良公以弓劔破天荒
HVH_091_000015_000017	為别於不仕之祖且公生二男而其後日益繁衍盛大遂為
HVH_091_000015_000018	我卿鉅族第一公其眞光前而裕後者歟然則我族克
