HVH_093_000001_000001	字孫
HVH_093_000001_000002	音愧
HVH_093_000001_000003	𩖀音驚
HVH_093_000001_000004	順音府
HVH_093_000001_000005	音
HVH_093_000001_000006	年
HVH_093_000001_000007	音余
HVH_093_000001_000008	共奉也
HVH_093_000001_000009	叁
HVH_093_000001_000010	埋也
HVH_093_000001_000011	一計切
HVH_093_000001_000012	歹
HVH_093_000001_000013	音遏
HVH_093_000001_000014	搞
HVH_093_000001_000015	物而長也
HVH_093_000001_000016	弟之稱
HVH_093_000001_000017	芇音綿
HVH_093_000001_000018	益
HVH_093_000001_000019	乌管卽剡上聲
HVH_093_000001_000020	小盂也
HVH_093_000001_000021	缺疑
HVH_093_000001_000022	比方稷陋儀更為矣
HVH_093_000001_000023	街批
HVH_093_000001_000024	卷十七
HVH_093_000001_000025	第五
HVH_093_000001_000026	扲儼子生象撞鐘
HVH_093_000001_000027	卷十七
HVH_093_000001_000028	十外
HVH_093_000001_000029	每月望日上番
HVH_093_000001_000030	卷十九
HVH_093_000001_000031	三辛六
HVH_093_000001_000032	七外
HVH_093_000001_000033	退三百貫二十三
HVH_093_000001_000034	文
HVH_093_000001_000035	底秋調繁鈌
HVH_093_000001_000036	二十八外
HVH_093_000001_000037	卷三十四
HVH_093_000001_000038	置流
HVH_093_000001_000039	卷十六
HVH_093_000001_000040	廣州像城
HVH_093_000001_000041	卷三
HVH_093_000001_000042	十七年
HVH_093_000001_000043	名卷
HVH_093_000001_000044	按摩秀女
HVH_093_000001_000045	外
HVH_093_000001_000046	卷十二
HVH_093_000001_000047	授鄧立先崇真威儀四
HVH_093_000001_000048	不四外
HVH_093_000002_000001	標注
HVH_093_000002_000002	伏波銅柱
HVH_093_000002_000003	在安或言只一柱或言有二或言有五
HVH_093_000002_000004	馬伏波铜柱或云在象林或云在欽卅或云
HVH_093_000002_000005	或謂石培成或涓久入海俗不
HVH_093_000002_000006	一然惟久入徔為也似
HVH_093_000002_000007	羅城
HVH_093_000002_000008	嘉修之之和三年外舟増之今之城乃
HVH_093_000002_000009	唐大二年張伯儀起藥至貞元七趙昌李元
HVH_093_000002_000010	李辰所藥非唐以来之古城也
HVH_093_000002_000011	候前成
HVH_093_000002_000012	北國古辰侍後之亦有稱候者
HVH_093_000002_000013	火頭
HVH_093_000002_000014	今緣長也後黎太祖改称仍長
HVH_093_000002_000015	丁辰典兵成名李改為正首又有畧甲之名亦
HVH_093_000002_000016	横頭錢
HVH_093_000002_000017	謂筆低
HVH_093_000002_000018	入李朝賦歛輸官十分外的一分谓撗頭咨朝
HVH_093_000002_000019	鑄錢
HVH_093_000002_000020	黎大行遇天李辰賜百官明道
HVH_093_000002_000021	州書
HVH_093_000002_000022	律令
HVH_093_000002_000023	李律人至死杖一百徒
HVH_093_000002_000024	李太宗昭嚴定施行李英宗十八年又设定
HVH_093_000002_000025	迦春季太宗天感冬武五年行
HVH_093_000002_000026	一柱寺
HVH_093_000002_000027	名延祐寺
HVH_093_000002_000028	李太宗立石柱攝蓮臺其上以求延寿
HVH_093_000002_000029	安南國名
HVH_093_000002_000030	李宗辰宋孝宗封為安南國王
HVH_093_000002_000031	唐置安南府魏以呂與為妄南将軍
HVH_093_000002_000032	大越
HVH_093_000002_000033	丁先皇大瞿越至李圣尊始改大越
HVH_093_000002_000034	三場試士李仁尊太寧四年始行
HVH_093_000002_000035	試吏員李聖尊武昭勝二年武卡尊刑律
HVH_093_000003_000001	諸火書家承直承信家曹
HVH_093_000003_000002	一均李朝内聀
HVH_093_000003_000003	官名
HVH_093_000003_000004	會典
HVH_093_000003_000005	施行
HVH_093_000003_000006	李仁宗會豐六年詔檢校諸故典條例輯定
HVH_093_000003_000007	機舍河堤李仁府八年始
HVH_093_000003_000008	李朝徒役之名田見羞儀黎田兵也
HVH_093_000003_000009	大僚班内上制李朝爵名奉御李朝官名
HVH_093_000003_000010	典賣田土例
HVH_093_000003_000011	李宗三年定
HVH_093_000003_000012	省耕省飲李朝代有行之李宗申㝎考績法
HVH_093_000003_000013	明字李朝爵名以賜有功者
HVH_093_000003_000014	照
HVH_093_000003_000015	定律令太宗
HVH_093_000003_000016	定錢法
HVH_093_000003_000017	太宗建中三年定
HVH_093_000003_000018	上供七十文使用六十九文
HVH_093_000003_000019	閱帳籍
HVH_093_000003_000020	太宗四年定
HVH_093_000003_000021	李制令社官聞报人口谓之草教以帳為定具出文武
HVH_093_000003_000022	官堦從官軍人雜流黄男深祕黄不具附果漂散之
HVH_093_000003_000023	定通制及刑律礼儀二十卷
HVH_093_000003_000024	宏陳辰奴稱
HVH_093_000003_000025	平泊司
HVH_093_000003_000026	陳朝京北尸之取
HVH_093_000004_000001	大司社小司社社正史监陳社名
HVH_093_000004_000002	定文武百安陳太尊
HVH_093_000004_000003	定三年大比限太宗
HVH_093_000004_000004	耳堤太宗天平七年
HVH_093_000004_000005	局公田
HVH_093_000004_000006	西畝也
HVH_093_000004_000007	太宗民田一面出五買名私
HVH_093_000004_000008	按李朝视例未分公私田至英宗會豊元年始定田畝徵
HVH_093_000004_000009	租每畝三弁至陳辰公田分為二項
HVH_093_000004_000010	所刀田
HVH_093_000004_000011	丶國庫田知
HVH_093_000004_000012	田每項三等徴穀
HVH_093_000004_000013	有差则但言公曰耳未言私田陳太宗文豐年間
HVH_093_000004_000014	公田令民買為私然則前無私田耶公田私田之原因
HVH_093_000004_000015	何所自始益亦未可淂而详先也或謂上古之辰村野
HVH_093_000004_000016	人民各过所墾之地世传守或私相買賣以為私並李
HVH_093_000004_000017	陳以後公侯禄田而子孫世守者並為私田公田则中
HVH_093_000004_000018	古以後燕麻未國之匡洲土計培之地徒貧民闢之
HVH_093_000004_000019	成田後則许民分耕徴租以為分田取典欽姑
HVH_093_000004_000020	且存以俟識者
HVH_093_000004_000021	王田庄
HVH_093_000004_000022	户
HVH_093_000004_000023	陳圣宗許王侯公主招集漂流為取同曰立為
HVH_093_000005_000001	家書兒
HVH_093_000005_000002	陳辰家传也
HVH_093_000005_000003	冕行
HVH_093_000005_000004	陳文官名品稍高
HVH_093_000005_000005	冕校書權冕也移尋書移也
HVH_093_000005_000006	一佛敎法事道場公文式始自陳英宗而行領布
HVH_093_000005_000007	符水齋科儀将扵陳英宗辰北方道士许尊道列偽
HVH_093_000005_000008	銘錢陳明宗起鑄尋示羅之
HVH_093_000005_000009	称授辰白
HVH_093_000005_000010	協己曆三字始自陈憲宗同佑十一年
HVH_093_000005_000011	作境儀以侯天
HVH_093_000005_000012	編定朝典宗
HVH_093_000005_000013	緣干戲自宗辰文人丁
HVH_093_000005_000014	大治通宝錢照秩宗鑄
HVH_093_000005_000015	陳辰曾額法
HVH_093_000005_000016	曰座上奴者侍帝左右
HVH_093_000005_000017	湟嶺曰官中客者官奴
HVH_093_000005_000018	我國優戲始自陈辰元優人李元吉所教
HVH_093_000005_000019	爵一資二資自陳辰已有之
HVH_093_000005_000020	枚姓陈初剎宗有大故削以枚姓称之
HVH_093_000005_000021	通宝會鈔
HVH_093_000005_000022	陳順宗辰季初㝎
HVH_093_000005_000023	有十文三十文甲二甲五甲共云頌
HVH_093_000005_000024	四道诸学官陳順宗
HVH_093_000005_000025	權商那
HVH_093_000005_000026	胡季室上中下三
HVH_093_000006_000001	国胡试法年明武中者後好年利新試中者竟進
HVH_093_000006_000002	年會武中者太学生
HVH_093_000006_000003	河浮明示初餔置浮扵解所東津淩
HVH_093_000006_000004	满辰税法
HVH_093_000006_000005	鱼以
HVH_093_000006_000006	金銀分两亦徴送交
HVH_093_000006_000007	失过重刑法
HVH_093_000006_000008	失品觥
HVH_093_000006_000009	或付象殺
HVH_093_000006_000010	始及非之其于不李辰之實平
HVH_093_000006_000011	也
HVH_093_000006_000012	我國古辰有不平等政願如陳辰兵者世為兵
HVH_093_000006_000013	不得八仕與朝奴項不以與平人俱失
HVH_093_000006_000014	巨别太過也
HVH_093_000006_000015	順天通宝錢
HVH_093_000006_000016	黎太祖
HVH_093_000006_000017	改五十文為一甲
HVH_093_000006_000018	陳字十九文為間七十文為正
HVH_093_000006_000019	社官黎太祖初设大社三人中社二人小社一人
HVH_093_000006_000020	敬天黎太祖燈天元年造
HVH_093_000006_000021	黎朝田祿
HVH_093_000006_000022	詔云取宋山各社庄先朝世家泡四併间田土
HVH_093_000006_000023	取之世家絕産並漏果间者負阮公田
HVH_093_000006_000024	賜公琤為私産可見
HVH_093_000006_000025	分兵四番
HVH_093_000006_000026	大定後分兵為五番一番畄班四番晨
HVH_093_000006_000027	省院
HVH_093_000006_000028	翰林院五刑院國安院大火院
HVH_093_000006_000029	中書省门下省黄门省内侍省
HVH_093_000006_000030	泛省院均属文班
HVH_093_000007_000001	登秩百神
HVH_093_000007_000002	百神敕此
HVH_093_000007_000003	黎紹平四年太宗以樹封前南國王加封天下神
HVH_093_000007_000004	偈長三十尺润尺五寸
HVH_093_000007_000005	定銅幣式
HVH_093_000007_000006	以上為疋布長二十四尺為一足
HVH_093_000007_000007	黎太宗定六十文為事
HVH_093_000007_000008	川字文别名貴
HVH_093_000007_000009	使四三十云文别名間
HVH_093_000007_000010	試進士
HVH_093_000007_000011	合文遺名碑
HVH_093_000007_000012	黎太宗大宝三年成進士赐阮道以下十三人
HVH_093_000007_000013	给官俸
HVH_093_000007_000014	接本國存火中昭自太尊起定及黎仁
HVH_093_000007_000015	太和三年诵曰周家有常侍以差廉及親政後又書
HVH_093_000007_000016	治後似有重或者陈以前吏未有歲
HVH_093_000007_000017	存至太宗行治而黎太和再加増治取不然有
HVH_093_000007_000018	陈有信方而黎初夏至太和始復行
HVH_093_000007_000019	吸間改
HVH_093_000007_000020	為史氣
HVH_093_000007_000021	設中書科科東科西科南料北科称為六科
HVH_093_000007_000022	前
HVH_093_000007_000023	科道
HVH_093_000007_000024	道新東道而道以兼各鎮也
HVH_093_000007_000025	也太祖初道五道
HVH_093_000007_000026	中
HVH_093_000007_000027	各道
HVH_093_000007_000028	六部六科聀掌
HVH_093_000007_000029	注見洪弟二年祭始置吏礼二部至宜民
HVH_093_000007_000030	遇六竒圣宗改称六院尋復似之
HVH_093_000007_000031	一資
HVH_093_000007_000032	猶一故也注見黎聖宗光顺元年
HVH_093_000007_000033	陳長已有二資二資名
HVH_093_000007_000034	茂林佑郎侍侯官正士品之職茂林郎從六品之成
HVH_093_000007_000035	都指揮僉事
HVH_093_000007_000036	秩正四品見剎法
HVH_093_000007_000037	中後以余事同知為武班末品
HVH_093_000007_000038	秀林儒生
HVH_093_000007_000039	竟林住生有吏才考竟各衛门吏
HVH_093_000007_000040	辰三品眾子及四品至八品長子而䏻讀書者
HVH_093_000007_000041	监生住生徒
HVH_093_000007_000042	昭文林讀書謂之生试中三
HVH_093_000007_000043	鄉試中四場竟八國子监謂之监生官員子孫
HVH_093_000007_000044	場謂之生徒至景興十八年取通理每人納
HVH_093_000007_000045	三免其並咱八曰書偈人
HVH_093_000007_000046	行之人謂之生德三貫
HVH_093_000007_000047	按黎辰监生住生生後皆徔学堂公㑹试中場者除補
HVH_093_000007_000048	有行者除教取年深或累中者除各衛门吏至宗
HVH_093_000008_000001	見于此
HVH_093_000008_000002	貢會试中三場者謂中場
HVH_093_000008_000003	景依四年申室鄉司條例五年書兼武貢士则貢士之名
HVH_093_000008_000004	卷面題名恭開式始自黎老宗光順三年
HVH_093_000008_000005	題奏例
HVH_093_000008_000006	私事務應陳奏者四奏本
HVH_093_000008_000007	黎聖定
HVH_093_000008_000008	任諸衛奏事奉施行等本曰題本官吏百姓一切公
HVH_093_000008_000009	五刑院
HVH_093_000008_000010	審刑祥刑左刑右刑司刑各置大夫後宗
HVH_093_000008_000011	改為清刑慎刑刑祥刑共
HVH_093_000008_000012	六院
HVH_093_000008_000013	如儀院司兵院
HVH_093_000008_000014	院欽刑院餘三院失详
HVH_093_000008_000015	亦因云部之名而加識之取
HVH_093_000008_000016	六寺
HVH_093_000008_000017	大理太常先祿太僕鸿胖尚宝
HVH_093_000008_000018	五府軍
HVH_093_000008_000019	六上自都者下至
HVH_093_000008_000020	和為五道至改為五府府有六衛衛五可或
HVH_093_000008_000021	見了剎弟二十四三外辛一
HVH_093_000008_000022	分十二道
HVH_093_000008_000023	供成二年又置憲察司
HVH_093_000008_000024	都不憲三名備
HVH_093_000008_000025	黎圣宗分天下為十二道置司不司知府知易成
HVH_093_000008_000026	選丁法
HVH_093_000008_000027	送丁法每三年修户為小典亡年為大典卯在
HVH_093_000008_000028	各送場命文武大臣各一員事令各社同
HVH_093_000008_000029	正户客戶先查賊色去其倖次圍人丁分壮項軍項
HVH_093_000008_000030	民嗔老嗔項窮項之亡等家有三丁一壮項一革項一
HVH_093_000008_000031	民項有四丁一軍一壮二為民五六丁二社一革為民
HVH_093_000008_000032	志健篤疾應窮者别
HVH_093_000008_000033	壮項充軍伍役軍項補兵額之缺
HVH_093_000008_000034	應項工人
HVH_093_000008_000035	書契式
HVH_093_000008_000036	敕民間文契体式行
HVH_093_000008_000037	圣宗光順九年以民間未契未有式
HVH_093_000008_000038	内命婦官
HVH_093_000008_000039	一洪弟微人內命秩徔三品
HVH_093_000008_000040	按命婦乃朝官大臣之婦并據史載范薄阿附女
HVH_093_000008_000041	官徽人求納女于宮中
HVH_093_000008_000042	官街
HVH_093_000008_000043	注云命婦则似星宫中之合也
HVH_093_000008_000044	勘合黎光年㝎制詰倒八九品给勘合勘合猶告身也
HVH_093_000009_000001	使
HVH_093_000009_000002	所副使
HVH_093_000009_000003	使乃工及各所列使也
HVH_093_000009_000004	洪为稅法丁每人八洲一三䓁出有差
HVH_093_000009_000005	道為尺令畝十高六尺五寸
HVH_093_000009_000006	洪弟進士資格
HVH_093_000009_000007	二甲後七品三申正八品
HVH_093_000009_000008	弟一甲一名正六二名徔六三名正七
HVH_093_000009_000009	四置勸農宦圣宗供弟七年遇農安督耕福
HVH_093_000009_000010	洪为八年中㝎㝡制
HVH_093_000009_000011	同又有進退制过繁間
HVH_093_000009_000012	有繁間内外兼行試賊不
HVH_093_000009_000013	㝎吏吏資㝎法曰祿㝎封廕例
HVH_093_000009_000014	宣考试免選令
HVH_093_000009_000015	中者免選補軍伍
HVH_093_000009_000016	中定六年聞進期不憲二司先方成士人
HVH_093_000009_000017	定冠服制
HVH_093_000009_000018	有差等
HVH_093_000009_000019	黎景攝三年宣冠服制冠带補子制
HVH_093_000009_000020	四政謂山南京海陽山西延人孝天者
HVH_093_000009_000021	户籍平例
HVH_093_000009_000022	議行平例随民産厚薄均平了率生不计死不除
HVH_093_000009_000023	𫇰制六年選風民丁互有增武景治七年范公著
HVH_093_000009_000024	弟一法
HVH_093_000009_000025	永盛十二年又定均賦役法丁田各受一分
HVH_093_000009_000026	令诵令旨啓聞謹啓
HVH_093_000009_000027	謹啓闻王府令皆進啓曰謹啓
HVH_093_000009_000028	一后文未王僭稱令臣民進啓曰
HVH_093_000009_000029	副王乃祚之子也
HVH_093_000009_000030	出卷三十三
HVH_093_000009_000031	佐如寺业長史評事録事诸員
HVH_093_000009_000032	雜如僧正僧道正道等職
HVH_093_000010_000001	校黎末诸府教曰枝安
HVH_093_000010_000002	提调紅今正主寿
HVH_093_000010_000003	监试今主考
HVH_093_000010_000004	三十四以上
HVH_093_000010_000005	博意錢其法以四文為一列横令
HVH_093_000010_000006	也
HVH_093_000010_000007	實鄕使鄕
HVH_093_000010_000008	少者曰
HVH_093_000010_000009	稠民曰貴卿食貨志田可以其人為實
HVH_093_000010_000010	内𡆫子百
HVH_093_000010_000011	一扵戶以備痛費者谓之内子
HVH_093_000010_000012	息內籍正供民大抵除所給禄田役各社民外𡦂氏
HVH_093_000010_000013	鄭王置六番自桐始保奉三年桐道六营六
HVH_093_000010_000014	六人分識之
HVH_093_000010_000015	八百人命
HVH_093_000010_000016	定文武欽仕恩祿
HVH_093_000010_000017	裕宗嘉年㝎
HVH_093_000010_000018	文武安海谢事者民有差
HVH_093_000010_000019	棺銅桂𠅐
HVH_093_000010_000020	有慧客商賀易待旨然後中國買賣領契扵监者
HVH_093_000010_000021	保㝎行法遣安监其事作敗銅探桂者往四各
HVH_093_000010_000022	中定学規考法
HVH_093_000010_000023	学校專教本府生徒及童生之假者者識
HVH_093_000010_000024	二課中八期者生徒分四年八课麁出扵
HVH_093_000010_000025	行推藍法
HVH_093_000010_000026	戶赴場有盤買賈各有文契
HVH_093_000010_000027	保泰二年遇鑒官丁戶各免役量社十分之二照
HVH_093_000010_000028	定文武官贈恤例保奉三年
HVH_093_000010_000029	免文員私田租每一品免租五畝
HVH_093_000010_000030	四鎮六口分官田
HVH_093_000010_000031	洽学
HVH_093_000010_000032	以為好火之寧
HVH_093_000010_000033	学六十畝大府二十畝中府十八畝小府十二畝
HVH_093_000010_000034	祖庸調法
HVH_093_000010_000035	宗保泰四年
HVH_093_000010_000036	祖
HVH_093_000010_000037	田出三分之一分粟一分也四官洲土見耕每畝一
HVH_093_000010_000038	公田每畝八甲熟田出三分之二粟二分一分也一
HVH_093_000011_000001	二甲植桑者半出絲謂納絲六卩納六無者
HVH_093_000011_000002	代纳私田二熟田每畝三甲一熟每部
HVH_093_000011_000003	庸身視每丁一長一生老黄丁半
HVH_093_000011_000004	调
