HVH_094_000001_000001	维教已酉仲春新鐫
HVH_094_000001_000002	維
HVH_094_000001_000003	陸
HVH_094_000001_000004	靜
HVH_094_000001_000005	术
HVH_094_000001_000006	肆東
HVH_094_000001_000007	東洋政治
HVH_094_000001_000008	玖
HVH_094_000001_000009	伍
HVH_094_000001_000010	拾
HVH_094_000001_000011	竝全境地輿誌
HVH_094_000001_000012	銀四毛
HVH_094_000001_000013	每卷價
HVH_094_000001_000014	維新已酉仲春新鐫
HVH_094_000001_000015	東洋政治扵捨
HVH_094_000001_000016	竝全境地輿誌
HVH_094_000001_000017	户親
HVH_094_000001_000018	銀四毛
HVH_094_000001_000019	每卷價
HVH_094_000002_000001	東洋政治地誌集編
HVH_094_000002_000002	東洋統轄
HVH_094_000002_000003	東洋統轄凡五處一日南圻為属地大法取自兩暦一千
HVH_094_000002_000004	八百五十九年
HVH_094_000002_000005	嗣芳
HVH_094_000002_000006	拾年二
HVH_094_000002_000007	至一千八百六十二年
HVH_094_000002_000008	叁年
HVH_094_000002_000009	嗣为拾
HVH_094_000002_000010	始六月初五
HVH_094_000002_000011	日嗣德皇帝與議和且以地其讓之二曰比圻及中圻為
HVH_094_000002_000012	保護處遵依一千八百七十四年拾
HVH_094_000002_000013	拾年
HVH_094_000002_000014	嗣德
HVH_094_000002_000015	青十五日及
HVH_094_000002_000016	一千八百八十四年元年六月和六日之和約三曰髙蠻為
HVH_094_000002_000017	保護處遵依一千八百六十三年八月十一日之和約四
HVH_094_000002_000018	曰齋哀牢亦保護處始自一千八百九十八年
HVH_094_000002_000019	拾
HVH_094_000002_000020	成泰
HVH_094_000002_000021	五曰
HVH_094_000002_000022	廣州湾本大清地讓與大法九十九年遵依一千八百
HVH_094_000002_000023	九十八年光
HVH_094_000002_000024	一戌恭十年
HVH_094_000002_000025	光緒十七年日
HVH_094_000002_000026	四月初十日之和約此五䖏縂名東洋
HVH_094_000002_000027	遵依一千八百八十七年年十月十七日監國之㫖諭
HVH_094_000003_000001	有東洋縂統全權大臣掌全境主權然各處皆有
HVH_094_000003_000002	該治之權至全權都迷大臣者始統一具權遵依
HVH_094_000003_000003	一千八百九十一年十月十七日監國之㫖諭
HVH_094_000003_000004	保護國家該治法
HVH_094_000003_000005	両曆一千八百九十一年二年四月戔十一日㫖諭所定全
HVH_094_000003_000006	權大臣之權如左
HVH_094_000003_000007	全權大臣掌法国之大權以統理東洋得𭁈法國政府
HVH_094_000003_000008	相咨報𭁈若諸部尚書相咨報則有属地尚有分補
