HVH_095_000001_000001	東洋政治地誌集編一
HVH_095_000001_000002	東洋統轄
HVH_095_000001_000003	東洋統轄凢五處一曰南圻為屬地大法取自西暦一千八百
HVH_095_000001_000004	嗣德
HVH_095_000001_000005	五十九年拾年
HVH_095_000001_000006	至一千八百六十二年
HVH_095_000001_000007	恭年
HVH_095_000001_000008	嗣拾
HVH_095_000001_000009	拾六月初五日嗣德
HVH_095_000001_000010	皇帝與議和且以其地讓之二日北圻及中听為保護處
HVH_095_000001_000011	遵依一千八百七十四年
HVH_095_000001_000012	十九年
HVH_095_000001_000013	三月十五日及一千八百八十四
HVH_095_000001_000014	年福六月初日之和約三日高蠻為保護處遵依一千
HVH_095_000001_000015	八百六十三年八月十一之和約四曰哀牢亦保護處始自
HVH_095_000001_000016	一千八百九十八年十年五曰廣州湾本大清地讓與大法九十
HVH_095_000001_000017	九年遵依一千八百九十八年
HVH_095_000001_000018	戌泰拾年
HVH_095_000001_000019	十七年
HVH_095_000001_000020	四月初十日之和約此五
HVH_095_000001_000021	處總名東洋遵依一千八百十七年十
HVH_095_000001_000022	十月十七日監國之
HVH_095_000001_000023	旨諭有東洋總統全權大臣掌全境主權然各處皆有
HVH_095_000001_000024	該治之權至全權都迷大臣者始統其權遵依一千八
HVH_095_000001_000025	百九十一年十月十七日監國之諭
HVH_095_000001_000026	保護國家該治法
HVH_095_000001_000027	西曆一千八百九十一年盛四月二十一日諭所定全權
HVH_095_000002_000001	大臣之權如左
HVH_095_000002_000002	全權大臣掌法國之大權以統理東洋得與法國政府相
HVH_095_000002_000003	咨報若諸部尚書相咨報則有屬地尚書有分補官
HVH_095_000002_000004	員之權若各座統理大臣止得舉而呈之於監國監國始旨
HVH_095_000002_000005	諭而補之諸兵官亦皆隨従全權法令
HVH_095_000002_000006	西曆一千八百九十八年七月三十一日諭立成東洋支消公簿
HVH_095_000002_000007	自是東洋諸處始統合如一國云此簿所載凢所出入及支
HVH_095_000002_000008	出
HVH_095_000002_000009	消之
HVH_095_000002_000010	山公公之
HVH_095_000002_000011	之數𮞏年全權大臣東洋上議院㑹商其事
HVH_095_000002_000012	上議院則全權為首次則總統東洋元帥大臣東洋水師元
HVH_095_000002_000013	帥大臣南圻統督北圻統使中圻欽使高蠻欽使哀牢欽使
HVH_095_000002_000014	與各座統理大臣各民舉會同之正主㑹及安南高蠻四大臣
HVH_095_000002_000015	東洋支消公簿
HVH_095_000002_000016	西暦一千八百九十八年七月三十一日諭全權大臣與東洋上
HVH_095_000002_000017	議院商議立成支消公簿後須𮞏呈法國政府及屬地尚
HVH_095_000002_000018	書閲依然後施行其簿內支消各事列于左
HVH_095_000002_000019	全權座及與全權附従諸所
HVH_095_000002_000020	清查座以勘察諸属地
HVH_095_000003_000001	諸兵官所及兵費
HVH_095_000003_000002	商政座及掌外額税諸座
HVH_095_000003_000003	案座所
HVH_095_000003_000004	電報所
HVH_095_000003_000005	耕農商賈檢林諸所
HVH_095_000003_000006	陸路座掌修集道路請事
HVH_095_000003_000007	東洋諸公座
HVH_095_000003_000008	諸公所之總理大臣如兵官所清查所商政所及與支消公簿
HVH_095_000003_000009	各所亦皆遵全權大臣之法令
HVH_095_000003_000010	兵官所
HVH_095_000003_000011	有總統東洋步兵元帥大臣管理步兵有西兵及南赤洿
HVH_095_000003_000012	習兵於一千八百九十九年
HVH_095_000003_000013	十一年
HVH_095_000003_000014	成奏一
HVH_095_000003_000015	國家增設儲備兵以赤洿習兵
HVH_095_000003_000016	之滿課者充其額然皆許散居有事辰始徵之
HVH_095_000003_000017	水兵所
HVH_095_000003_000018	東洋有戰艦一團有東洋水師元帥大臣為首有戰巡
HVH_095_000003_000019	洋艦魚雷艇在柴棍有一大廠以修造戰又有小厰在
HVH_095_000003_000020	家海
