HVH_096_000001_000001	大王事跡
HVH_096_000001_000002	東扶運匡國佐聖大王事跡出在淳佑縣惟一社藍甲人
HVH_096_000001_000003	黎朝仁宗皇帝太和十一年賜癸酉科中進士及第諱阮右從貫海
HVH_096_000001_000004	陽處嘉福縣段松社官至翰林兼少傅辰聖宗淳皇帝御平占
HVH_096_000001_000005	地帝命阮行管督水師被大風波漂蕩在庚寅年至德隆年之
HVH_096_000001_000006	徒篡地在驩州蒞仁帝駕御身征方押到神符口忽見波濤
HVH_096_000001_000007	震蕩風雨晦冥舟師不進阻留二日夜帝夢見阮行衣冠甚佛
HVH_096_000001_000008	侍立于前一一奏曰臣已蒙為南海上等福神自此至茲欽從
HVH_096_000001_000009	護駕今應在淳佑縣惟一社藍甲廟祠长願封為東海扶運匡
HVH_096_000001_000010	國佐聖上等大王協昭境土翌日帝命禮官登步到此地方
HVH_096_000001_000011	見一小廟巍峩以事具奏帝再命禮官就處廟前宻禱上御敕
HVH_096_000001_000012	封東海扶運匡國佐聖大王自是雲霧晴光波濤浪帖上御
HVH_096_000001_000013	閒舟師並進攻破占徒蕩平天下駕御還都欽頒典禮逅年仲
HVH_096_000001_000014	春秋月府縣欽命正祭以昭恩恤
HVH_096_000001_000015	德隆元年八月十七日
HVH_096_000001_000016	奉抄事跡在馮盛魯殿社
HVH_096_000002_000001	東海阮尊神
HVH_096_000002_000002	勇决弘施廣濟含章秉正
HVH_096_000002_000003	神姓阮諱行長津縣段松社人黎洪德癸酉科進士官至少
HVH_096_000002_000004	黎聖宗親征占城奉命與穆公督運糧餉出洋適風波將作
HVH_096_000002_000005	神命撑船八港從軍皆曰軍憲孔嚴神且寧以吾受失期之罪
HVH_096_000002_000006	不忍使公糧漕卒塟子魚腹及風波恬静船至御營神以失期
HVH_096_000002_000007	受罪後威靈凛烈船往來叩禱卽應松江以北十二門
HVH_096_000002_000008	多見立廟祠奉祀
HVH_096_000002_000009	明命三年十一月二十八日承編抄布衛鄕廟
HVH_096_000002_000010	東海大王事跡
HVH_096_000002_000011	由古傳來於辛卯年四月初四日村內忽見風雨晦冥人物轉
HVH_096_000002_000012	動設壇禳祭在江邊祭辰應村人顯根神號材以驚恐懇願立
HVH_096_000002_000013	廟奉祀自得安静本材以事謹啓欽頒龍敕奉祀每年四月十
HVH_096_000002_000014	六日頒公本錢十四貫買牛一隻敉一具香燈金銀芙酒用足
HVH_096_000002_000015	府縣官就廟行禮又傳謂尊神姓阮名行嘉福縣段松社人黎
HVH_096_000002_000016	朝癸酉科中進士官至少傅督運軍糧越海風波阻緩以失期
HVH_096_000002_000017	待命至德隆年間帝御征占踪龍舟至此處當日海勤風波
HVH_096_000003_000001	師不進夢見尊神來訴前事命官宻禱忽見一白髮翁衆小舟
HVH_096_000003_000002	揚鞭壓浪波澄帖三軍並進大致克㨗凱還之日欽爲上等
HVH_096_000003_000003	神國祭海社民多立廟宇奉祀茲抄
HVH_096_000003_000004	事該五十社
HVH_096_000003_000005	內處廟宇曰十所原奉
HVH_096_000003_000006	嗣德十年丁巳十二月奉冩向來蒙得歷朝封贈勅文十三道備
HVH_096_000003_000007	常例美字惟
HVH_096_000003_000008	十日而
HVH_096_000003_000009	惟全美字只三月祈丁祈穀臘月
HVH_096_000003_000010	東海靈應惠澤弘洽廣潤偉翊保中興上等尊神位前
HVH_096_000003_000011	配
HVH_096_000003_000012	金童王女貞静純一顯秀聖婆神位
HVH_096_000003_000013	歷封美字
HVH_096_000003_000014	勅東海靈應普濟孚感顯休宏烈廣濟昭仁揚武翊聖助順孚美
HVH_096_000003_000015	衍慶護國澤民扶祚洪裕弘祐靈應剛毅雄畧厚德至仁扶運
HVH_096_000003_000016	贊治雄才偉畧扶祚柔懿和穆英斷綏慶敬天法祖扶聖翊善
HVH_096_000003_000017	敷德匡國威靈鎮國顯聖濟民裕慶篤裕安民信明義助威
HVH_096_000003_000018	衛國扶運雄咸勇畧茂徳則健仁誼威武寬仁慶壽正直聰明
HVH_096_000003_000019	仁澤濟世康胤厚儲總慶集祥留恩永秦開基扶國敷威静難
HVH_096_000003_000020	安民威武寛仁厲勇奮雄英氣普澤赫聲濯靈顯仁昭應肇典
HVH_096_000003_000021	聰明正直英毅雄烈靈神顯聖惠澤弘洽廣潤倬偉翊保中興
HVH_096_000003_000022	上等尊神
HVH_096_000003_000023	位前
HVH_096_000003_000024	配
HVH_096_000004_000001	金童玉女貞静純一顯秀聖姿神位
HVH_096_000004_000002	維
HVH_096_000004_000003	大南保大二年歲次丁卯正月建朔初一日清化省紹化府安
HVH_096_000004_000004	定縣安定總美祿社鄉老鄉色里役兵民仝上下等謹以物之
HVH_096_000004_000005	儀敢明告子
HVH_096_000004_000006	神號某位
HVH_096_000004_000007	位前曰為无旦必告禮也
HVH_096_000004_000008	恭惟
HVH_096_000004_000009	尊神雨人之澤春雨催花風人之聲春風鼓物保我黎民欽此
