HVH_100_000001_000001	河內省文庙在壽昌縣盛光社
HVH_100_000001_000002	萬世師表
HVH_100_000001_000003	道冠古今
HVH_100_000001_000004	德参天地
HVH_100_000001_000005	福斯文
HVH_100_000001_000006	四殿門外四
HVH_100_000001_000007	集大成
HVH_100_000001_000008	斗奎婁壁天章燦
HVH_100_000001_000009	江淮河漢道脉長
HVH_100_000001_000010	玉振金声傍道
HVH_100_000001_000011	鳶飛魚耀文风
HVH_100_000001_000012	湮天佛地三才準
HVH_100_000001_000013	往開系代尊
HVH_100_000001_000014	乾始坤生肩癸商
HVH_100_000001_000015	月臨日焒並明輝
HVH_100_000001_000016	外殿
HVH_100_000001_000017	恭近对联下
HVH_100_000001_000018	氣備辰天地日月鬼神合其北州畧大使永類郡公阮有度
HVH_100_000001_000019	教重弟世禹陽文武為師
HVH_100_000001_000020	德冠生民溯地閻天开咸除首出
HVH_100_000001_000021	道隆群圣统金声玉振共仰大成
HVH_100_000001_000022	河安督阮平湖人
HVH_100_000001_000023	道行渃別成字宙
HVH_100_000001_000024	河內布高
HVH_100_000001_000025	文未䘮也何䒭乾坤
HVH_100_000001_000026	後帝王以生事業高帝王上中天地而立功業畄天地同
HVH_100_000001_000027	雷社士阮文能
HVH_100_000001_000028	山面永祥府安朗縣文
HVH_100_000001_000029	道理會一原统淂舜禹湯久武
HVH_100_000001_000030	國子司業原河內斈改進士潘廷揚
HVH_100_000001_000031	文明開功在易待書礼無
HVH_100_000002_000001	一元周天地所生天地小
HVH_100_000002_000002	兵部尚書兼都察院左都衙史河寧總智
HVH_100_000002_000003	乂
HVH_100_000002_000004	萬代封尊顯帝王向後帝王師黎挺
HVH_100_000002_000005	先竟先知为世倫常立極
HVH_100_000002_000006	至诚至圣两间功化同
HVH_100_000002_000007	江藏以灌之秋湯以暴之不可尚已
HVH_100_000002_000008	河內按察使阮文雅
HVH_100_000002_000009	鳳風扵飛也麒禱扵者也未有顕如
HVH_100_000002_000010	皇天未䘮斯文其如宗何至其次匡何畏
HVH_100_000002_000011	吾逼正元氣不以秦而泯不以而與
HVH_100_000002_000012	十五
HVH_100_000002_000013	湖道統竟舜禹湯文武開来學詩書易礼春秋
HVH_100_000002_000014	阮廷康
HVH_100_000002_000015	人太常寺領河内畜佐
HVH_100_000002_000016	洙洄弦歌天地鄉音
HVH_100_000002_000017	春秋衮斧帝王權河內巡撫黎光輝
HVH_100_000002_000018	效之牆事業賢扵竟舜萬世為土成興不以漢秦一
HVH_100_000002_000019	河內使鄧德弦
HVH_100_000002_000020	泗水文瀾流珥水
HVH_100_000002_000021	東山道脉引濃山
HVH_100_000002_000022	應和府知府阮廷註
HVH_100_000002_000023	美德府知府黎光浞
HVH_100_000002_000024	瑞應竜麟天啟圣
HVH_100_000002_000025	一秀鐘河海世尊師
HVH_100_000002_000026	青池知縣阮
HVH_100_000002_000027	环龍知縣阮姜
HVH_100_000002_000028	李朝以来八百餘載
HVH_100_000002_000029	夫子之道億千萬年
HVH_100_000002_000030	恢德知府阮晋境
HVH_100_000002_000031	常信知府黄樹迻
HVH_100_000002_000032	珥河一帶沿珠洄
HVH_100_000002_000033	监胄千秋溯李陳
HVH_100_000002_000034	青威知縣阮善法三山副榜
HVH_100_000002_000035	丹鳳知縣阮有馥扶量首科
HVH_100_000002_000036	東山姐豆雷終古
HVH_100_000002_000037	龍肚宮墻峙两间
HVH_100_000002_000038	彰美知縣社
HVH_100_000002_000039	富川知縣黄瑞連
HVH_100_000003_000001	以下
HVH_100_000003_000002	內殿對聯
HVH_100_000003_000003	神功卓冠古今天地󰱐为小空道昭回字宙日月不可踰
HVH_100_000003_000004	配元氣於四辰後天地之生而知天地之
HVH_100_000003_000005	開斈源于萬世祖堯舜之道而賢堯舜之功
HVH_100_000003_000006	三綱正九疇叙萬古文明四辰行百物生一身造化
HVH_100_000003_000007	四科成就人才化工随品物六籍闌物大道元氣在两间
HVH_100_000003_000008	夏正殷輅周冕舜韶示百王之標準天經地美民彝物則扶萬世之綱常
HVH_100_000003_000009	天地參四序同道統一源垂罔極尊庙美百官富宮牆效仰弥高
HVH_100_000003_000010	右廡対
HVH_100_000003_000011	身適六藝詩書教
HVH_100_000003_000012	心領三綱礼樂傳
HVH_100_000003_000013	道津梁開後進
HVH_100_000003_000014	文章楷範仰前修
HVH_100_000003_000015	千載渊源傳正斈
HVH_100_000003_000016	六住羽翼聞徽言
HVH_100_000003_000017	左封高弟三千承圣學
HVH_100_000003_000018	名賢七十闕師門
HVH_100_000003_000019	漢隋唐宋文風盛
HVH_100_000003_000020	禮樂詩書道教傳
HVH_100_000003_000021	洋乎在上在右
HVH_100_000003_000022	依然亦步亦𠫾
HVH_100_000003_000023	内門入是門見尊庙之美升斯堂閲絲竹之音
HVH_100_000003_000024	題名牌亭
HVH_100_000003_000025	科甲联題古學宮
HVH_100_000003_000026	車書共道今天下
HVH_100_000003_000027	科甲中來名不朽
HVH_100_000003_000028	宮𧺀外望道弥尊
HVH_100_000004_000001	文庙門聯吾道無隆污風雨當年空嘆風餘灵如陟降河山此地宛昇竜
HVH_100_000004_000002	道在两间空夫子千萬世所仰牆高𢼂皇成泰十六年重修
HVH_100_000004_000003	閉下
HVH_100_000004_000004	汀
HVH_100_000004_000005	逝水有如斯文武衣冠王侯第宅高山長仰止三开奥效宫將
HVH_100_000004_000006	士夫报谷謂何朝廷造就之思國家崇尚之意
HVH_100_000004_000007	世道维持視此耳礼樂衣冠沙萃声名文物所都
HVH_100_000004_000008	门外大
HVH_100_000004_000009	外大固不易教不变俗且尊崇之亦信斯文原有自
HVH_100_000004_000010	吾儒要通要诚展不抅固也尚思圣训永相敦
HVH_100_000004_000011	漢寰中教目吾道最先字舟車同起改
HVH_100_000004_000012	全內文祠此地為首千秋芹藻尚留芳
HVH_100_000004_000013	柱
HVH_100_000004_000014	花表
HVH_100_000004_000015	道然淂其门而入圣即天也不可階而升
HVH_100_000004_000016	𢼂仞高坚載淂许多道理
HVH_100_000004_000017	萬古貼仰依然一大宫墙
HVH_100_000004_000018	󰞺而不淄磨而不
HVH_100_000004_000019	仰弥高鑊弥堅
HVH_100_000004_000020	東西南北由斯道
HVH_100_000004_000021	公夫士出此途
HVH_100_000005_000001	奎文開
HVH_100_000005_000002	奎星天朗人文𨷯
HVH_100_000005_000003	壁水春深道脉長
HVH_100_000005_000004	熙朝粉飭隆文後
HVH_100_000005_000005	阁珍藏集大見
HVH_100_000005_000006	城臨北斗廻元氣
HVH_100_000005_000007	月霜秋潭照古心
HVH_100_000005_000008	聖賢一统圖書府文献千年禮義邦
HVH_100_000005_000009	左右门大化有南朔
HVH_100_000005_000010	宏規式古今
HVH_100_000005_000011	礼景王章燦
HVH_100_000005_000012	神書聖治
HVH_100_000005_000013	中门
HVH_100_000005_000014	礼制兼三統
HVH_100_000005_000015	文明叶一元
HVH_100_000005_000016	聖道邦本
HVH_100_000005_000017	宸文肇化基
HVH_100_000005_000018	明倫堂啟迪圣溪功德大
HVH_100_000005_000019	抉持道脈本源長
HVH_100_000005_000020	朝廷端立教原言行政事皆可師法
HVH_100_000005_000021	不
HVH_100_000005_000022	天下仰右文之化山林兹澤者作興
HVH_100_000005_000023	啟聖殿
HVH_100_000005_000024	有開必先
HVH_100_000005_000025	巨海本源河内
HVH_100_000005_000026	使鄧德強
HVH_100_000005_000027	內巡撫黎元輝
HVH_100_000005_000028	明德出生知洙泗道源有自斯文隆世享竜徧庙貌常新
HVH_100_000005_000029	潘廷揚
HVH_100_000005_000030	河內斈政進士
HVH_100_000005_000031	傳源閣一堂刪修事業垂千古
HVH_100_000005_000032	訓導阮阮士阮亨阮詩
HVH_100_000005_000033	古依力知府朴玉槐技阮友高阮文陳韶
HVH_100_000005_000034	泗水环流發源有自防山聳峙積慶
