HVH_102_000001_000001	6a
HVH_102_000001_000002	Chue viin duocgia
HVH_102_000001_000003	3-7-1979
HVH_102_000001_000004	先高曾之事其開繫於我何等密切我同必闻之者息来
HVH_102_000001_000005	工者寝商者闯烽士者慰暂抛鄭其至贵之一刻光陰以
HVH_102_000001_000006	非歐非美非中日本非印度暹羅乃我祖先高曾之事夫我祖
HVH_102_000001_000007	後陳逸史
HVH_102_000001_000008	巢南潘珮珠先生著
HVH_102_000001_000009	龙
HVH_102_000001_000010	起起起我國民我同脆聽予小子談古事予小子令日所談之古事
HVH_102_000001_000011	俟予小子畢其詞知我同決不嫌厭何也人一道及祖先高曾當無
HVH_102_000001_000012	不倾耳而颈闻者此吾人题同具之良心非是则人形而畜性也豈有
HVH_102_000001_000013	天帝子孙圣神苗裔之我同胞我国氏而竟若是者予小子幸及令至
HVH_102_000001_000014	问暇之歲月取生平所誦習者傾倒而出之我同胞我图民其聽諸
HVH_102_000001_000015	我國陳朝之李闰胡夫政吴賊蟠踞我國十有年我自由之土地人民大
HVH_102_000001_000016	為他族所关時我先人父子兄弟困處於牛马奴之獄其所當之病
HVH_102_000001_000017	苦所被之屈辱比我之今日有十倍焉然乃当志發愤强仇雪恥驅逐
HVH_102_000001_000018	吴賊恢復我固有之主人権以留遺我後至千阮朝咸宜元年而終
HVH_102_000001_000019	迄今讀平吴大披故零史書竟草十皆灵山河動色何盛
HVH_102_000001_000020	也我祖先高曾之偉赫何如也亮能此者赢不日太祖高皇帝利
HVH_102_000001_000021	平顧予小子间之一图所固有之主人谁去关而復回失关而復收
HVH_102_000002_000001	3
HVH_102_000002_000002	一手一足之為烈也利者一鼎有名之大英雄耳非有億千萬無名
HVH_102_000002_000003	之英雄以相抗於前推後提半左乎右则此一鼎有名之大英雄
HVH_102_000002_000004	亦於何以表見圖平吴復南故乘想见我祖先高曾之誕於其時固無
HVH_102_000002_000005	一人而不英雖也者英雄之真英確之後身惟我革我烏得而忘諸
HVH_102_000002_000006	我同脆我图氏起起起聽予小子談故事
HVH_102_000002_000007	第一節
HVH_102_000002_000008	救支棄家
HVH_102_000002_000009	朝日窥海晨霜被林時為冬天寒風瑟又乂安城循禁江而背有肩
HVH_102_000002_000010	鹹水内大沿途叫賣者声如洪钟巨可十里許闻者知為偉丈
HVH_102_000002_000011	翁熾夫然操業乃甚何人斯鳴呼是翁熾詩有云崗國雄心山有劍師
HVH_102_000002_000012	誦是人翁後来皇赏封崗國公巴熾為兒時父往田熾犢尾
HVH_102_000002_000013	其後日干矢熾促父歸父耕不輟熾曰目且晒死父壺歸子父曰吾未見
HVH_102_000002_000014	日晒而孔者租不足則死於法吾见之兒不知宁吴人所索祖十倍其耕
HVH_102_000002_000015	力尚恐不給吾弹日於此又之田死所尚未知兒子去年吾家所
HVH_102_000002_000016	尽以出市未完租吾高孔於日脑集也日有吴人所不租之田者
HVH_102_000002_000017	父往耕之父曰吴图或有之全越南图之田必背给吴人以重租汝不
HVH_102_000002_000018	願耕则惟死耳雖然死或樂租不完則受極苦之刑且不得死免日
