HVH_103_000001_000001	9(4)+g(v)
HVH_103_000001_000002	31
HVH_103_000001_000003	j
HVH_103_000001_000004	皇明四夷卷上
HVH_103_000002_000001	皇明四考序2
HVH_103_000002_000002	四夷何以有安南也我郡縣也次元良岭何光音
HVH_103_000002_000003	sitr
HVH_103_000002_000004	哈密直非羁摩虏
HVH_103_000002_000005	非我官長也元良哈之有三以请也大化有三也盖自洪武也
HVH_103_000002_000006	南橡大寧也乃们永也復交而收大寧乎都後美且我革台
HVH_103_000002_000007	小發乡我戴也美意哈密而指女道乎哈密罪西女直打我遠東也生番入哈
HVH_103_000002_000008	而嘉不张胡勇通女道雷海串朝鲜良哈也知礼也大
HVH_103_000002_000009	球小夷州次朝解中國也非勃手我國也空運中
HVH_103_000002_000010	公
HVH_103_000002_000011	安危马坂别考而在1战而
HVH_103_000002_000012	△i
HVH_103_000002_000013	皇明四夷序考》
HVH_103_000002_000014	高皇以有海外使也更始也
HVH_103_000002_000015	成祖西洋；巴乡和之江海山胡書也國大馬爾三王胡王
HVH_103_000002_000016	{
HVH_103_000002_000017	垂马西番五王世之何也為我創固而治之得相安马天西域何以不得
HVH_103_000002_000018	海南海也王公设險假树集馬其横出入編宇内也海岛夷勤我封使
HVH_103_000002_000019	生来礼教来生来言侯也来三八通道未闻报使马发刘领封
HVH_103_000002_000020	乎实為而了可也陪自请命于京师王入致今海上把來乎鸣均覆载大也
HVH_103_000002_000021	華夷王道也昔也外夷八中華今也華人入外夷也喜富完宗素卿莫登皆
HVH_103_000002_000022	我華人雲中词渐爱未艾也是故慎封守考道
HVH_103_000002_000023	亦固内防也池鱼坟洲飛鸟
HVH_103_000003_000001	…
HVH_103_000003_000002	2
HVH_103_000003_000003	x1
HVH_103_000003_000004	皇明考序
HVH_103_000003_000005	\
HVH_103_000003_000006	5
HVH_103_000003_000007	1
HVH_103_000003_000008	嘉靖甲子三月朔日鄭晓谣
HVH_103_000003_000009	德惟善政政主券民盖共本郡
HVH_103_000003_000010	我子象街我于城乌可得哉
HVH_103_000003_000011	舊林人得了乎彼其思捐墓父母子代異類大得已也呼
HVH_103_000004_000001	皇明四夷考目标
HVH_103_000004_000002	上卷
HVH_103_000004_000003	安南
HVH_103_000004_000004	元良哈
HVH_103_000004_000005	朝鮮琉球女直，三佛
HVH_103_000004_000006	占城1
HVH_103_000004_000007	日本
HVH_103_000004_000008	真臘
HVH_103_000004_000009	暹羅
HVH_103_000004_000010	蘇门答刺
HVH_103_000004_000011	瓜佳
HVH_103_000004_000012	下卷
HVH_103_000004_000013	古里
HVH_103_000004_000014	清泥
HVH_103_000004_000015	满刺加
HVH_103_000004_000016	葛刺锡兰山
HVH_103_000004_000017	尊祿 柯枝
HVH_103_000004_000018	祖法宪 漂山
HVH_103_000004_000019	南泥里
HVH_103_000004_000020	答
HVH_103_000004_000021	密赤宁蒙、安阿端
HVH_103_000004_000022	曲光
HVH_103_000004_000023	罕京
HVH_103_000004_000024	撒马究罕
HVH_103_000004_000025	方
HVH_103_000004_000026	送里满石考
HVH_103_000004_000027	皇明芙考会
HVH_103_000004_000028	失干
HVH_103_000004_000029	鬼花
HVH_103_000004_000030	土鲁蕃
HVH_103_000004_000031	里娄
HVH_103_000004_000032	鹽澤，哈烈
HVH_103_000004_000033	默德那
HVH_103_000004_000034	俺都淮
HVH_103_000004_000035	八刺黑
HVH_103_000004_000036	于欄
HVH_103_000004_000037	火州别失里
HVH_103_000004_000038	鲁源
HVH_103_000004_000039	沙鹿海牙
HVH_103_000004_000040	賽藍
HVH_103_000004_000041	哈夫哈力亦力把力阿丹
HVH_103_000004_000042	白葛逵
HVH_103_000004_000043	呵哇
HVH_103_000004_000044	瑙里西洋瑾里
HVH_103_000004_000045	彭亨百花婆羅
HVH_103_000004_000046	阿鲁
HVH_103_000004_000047	小葛
HVH_103_000004_000048	拂蒜 古里班吕宋 合猫里碟果
HVH_103_000004_000049	打四日羅夏治
HVH_103_000004_000050	忽鲁母恩忽鲁谟斯·甘巴里麻林
HVH_103_000004_000051	古麻刺沼纳樸兒加異勒 吃麻失刺思 彻失考罕
HVH_103_000004_000052	亦思吧写白松虎兜谷免密
HVH_103_000004_000053	淡巴
HVH_103_000004_000054	、甘把里
HVH_103_000004_000055	黑葛達
HVH_103_000005_000001	敏直诚
