HVH_105_000001_000001	新年四十命明
HVH_105_000001_000002	皇越地典志
HVH_105_000001_000003	BR
HVH_105_000001_000004	21888
HVH_105_000002_000001	地奥誌
HVH_105_000002_000002	顺化古越裳國爲象郡晋時馬林邑唐初置林州景
HVH_105_000002_000003	州尋復没入于林邑宋時占李大宗親征占主
HVH_105_000002_000004	地哩麻今布政三州贖罪仁宗四年命李常傑行邊画
HVH_105_000002_000005	其山川爲圖改地理臨平州明靈州招民居
HVH_105_000002_000006	之自此奇花以南横山一带始歸我越版圖龍符三年
HVH_105_000002_000007	占主制麻那入寇復取三州四年常傑計平之麻那復
HVH_105_000002_000008	納其地自是朝貢相繼迄陳英宗典隆十四年嫁玄珍
HVH_105_000002_000009	公主于占主制是占以里爲聘物乃改爲顺化州陈
HVH_105_000002_000010	皇志地奥一卷
HVH_105_000002_000011	末改臨平新平與清华安演二路並重明時
HVH_105_000002_000012	置新平顺化二府黎初太通因之設路總管知府聖宗
HVH_105_000002_000013	光顺七年置顺化承宣統諸府縣隸府二縣七州四其
HVH_105_000002_000014	地西接哀牢東臨大海南夾廣南北连父安横山運百
HVH_105_000002_000015	而爲城大江横截而分界山高海天险之國也
HVH_105_000002_000016	李陳以來風會未至其俗樸野而僻陋其民稀少而寂
HVH_105_000002_000017	寥退遠之區渝異域追夫天時始改地
HVH_105_000002_000018	變英华羌落葉爲繁衍前黎之初已成目銀中興之
HVH_105_000002_000019	後轉作雄藩二百余年至今遂爲一大會同天
HVH_105_000003_000001	循環亦風景日也
HVH_105_000003_000002	天
HVH_105_000003_000003	肇州府五縣二州又稱肇登
HVH_105_000003_000004	富榮縣
HVH_105_000003_000005	大總七十七香茶縣
HVH_105_000003_000006	上村古茶
HVH_105_000003_000007	九穗七十
HVH_105_000003_000008	古金茶
HVH_105_000003_000009	廣田縣八大十二
HVH_105_000003_000010	材古丹田
HVH_105_000003_000011	以上属直廣德营始改承天府
HVH_105_000003_000012	治廣
HVH_105_000003_000013	海陵縣
HVH_105_000003_000014	五十五
HVH_105_000003_000015	一村一庄
HVH_105_000003_000016	縣
HVH_105_000003_000017	五五十五
HVH_105_000003_000018	古武昌
HVH_105_000003_000019	顺平州
HVH_105_000003_000020	册三周
HVH_105_000003_000021	三四
HVH_105_000003_000022	大十九册
HVH_105_000003_000023	以上属直广治營
HVH_105_000003_000024	府在化之中南广南接界縣皆沿山海惟登
HVH_105_000003_000025	星感奥十
HVH_105_000003_000026	香茶二縣地麒平涮
HVH_105_000003_000027	皇朝
HVH_105_000003_000028	列先王皆於此設
HVH_105_000003_000029	大王初八营于登昌縣爱子社沿江近海去林稍
HVH_105_000003_000030	孝昭王襲移于香茶縣金麓元
HVH_105_000003_000031	孝義王立復移作新府售管数里植树建基治路
HVH_105_000003_000032	寶關金官極其壯麗今富春京
HVH_105_000003_000033	天府
HVH_105_000003_000034	今爱承
HVH_105_000003_000035	地其地平铺
HVH_105_000003_000036	如掌可十徐里俯臨江津前右羣山羅列全收虎术物
HVH_105_000003_000037	阜繁造
HVH_105_000004_000001	孝武王增拓亭改题局额有金华光華二殿就樂正冠
HVH_105_000004_000002	古和怡然等堂與畅春臺泾池閣光天閣瑞雲亭同樂
HVH_105_000004_000003	軒南岸上流又有陽春府長樂殿武殿厦屋巍我飛
HVH_105_000004_000004	輝煥连牆環廉門戶四達雕刻繪饰窮極人工者堂
HVH_105_000004_000005	室皆石平基上铺虔木版滴水管装饰用承溜間
HVH_105_000004_000006	植樹木優曇庵羅波羅密皆大連抱後苑假山奇石方
HVH_105_000004_000007	沼池飛橋水榭内外複牆皆砌厚数寸以石颈磁片
HVH_105_000004_000008	作龍虎麟风花卉之形正之上下流各設軍防星列
HVH_105_000004_000009	布其市庸聯络大路中行鳞接分莫非花屋喬木
HVH_105_000004_000010	皇越地奥
HVH_105_000004_000011	清左右成行商舶渡船往来如織景色極爲整追
HVH_105_000004_000012	黎末設巨衙售景一經荒廣僑西建都營殿草制今
HVH_105_000004_000013	奉
HVH_105_000004_000014	聖朝輿圖反正海宇攸同因舊跡而新之有以建無窮之
HVH_105_000004_000015	基焉其山川名勝則有山香山山险雲山金茶
HVH_105_000004_000016	源思客門海門海陵坡江越海門其地則控接者
HVH_105_000004_000017	蚕旁通货种助源物產常锦席工極巧
HVH_105_000004_000018	象牙树木多優於四云
HVH_105_000004_000019	含
HVH_105_000004_000020	山则在香茶縣源頭最高山有井颜清
HVH_105_000005_000001	9
HVH_105_000005_000002	香盈山在香茶縣海葛武山在西北重重直
HVH_105_000005_000003	大江淵面止
HVH_105_000005_000004	8
HVH_105_000005_000005	山在富榮縣懷恩社大海抱其东洞海抱其西
HVH_105_000005_000006	a30
HVH_105_000005_000007	隘雲山在富榮縣隘雲關下臨海際上挑雲端乃顺
HVH_105_000005_000008	之界限有關险設兵守自此沿江日徐廣南地
HVH_105_000005_000009	福
HVH_105_000005_000010	金茶源在香茶縣三岐江
HVH_105_000005_000011	制
HVH_105_000005_000012	思客門在恩榮南接益山東连山西北坡萬項
HVH_105_000005_000013	汪洋乃香茶古羅興平高堆源所
HVH_105_000005_000014	福
HVH_105_000005_000015	海門在香茶縣其江乃香茶廣田諸源所
HVH_105_000005_000016	皇蔻龙奥悉
HVH_105_000005_000017	圆参一
HVH_105_000005_000018	四
HVH_105_000005_000019	福
HVH_105_000005_000020	靈江乃香茶廣田二源所最廣東北有棠花寺
HVH_105_000005_000021	海陵坡在海陵縣缘生社东落長港西連山
HVH_105_000005_000022	憲司及府衙所皆在江边之左右江之西北皆居民顺
HVH_105_000005_000023	化大城在下流
HVH_105_000005_000024	至思客門乃大長沙北海門爲小長沙
HVH_105_000005_000025	0
HVH_105_000005_000026	登昌縣甘露居江上流下通越海門上接哀牢酒源
HVH_105_000005_000027	諸册民道皆出此而樂凡萬象寧歸合諸部皆有
HVH_105_000005_000028	路行出此各商人载鐵器銅锡铁议者
HVH_105_000006_000001	雜物往人地易取菜米難牛麻蠟藤档發帕各貨
HVH_105_000006_000002	象载回其地秋田多夏田少夏米呼日正務秋米呼日
HVH_105_000006_000003	债務
HVH_105_000006_000004	香茶縣有操芒坊居富春江東之後開山西宜春萬
HVH_105_000006_000005	春三藏地分為三邑每邑十家工十五人學於北
