HVH_106_000001_000001	皇越歷代録目
HVH_106_000001_000002	遵照
HVH_106_000001_000003	86612
HVH_106_000001_000004	20h8
HVH_106_000001_000005	皇越歴代政要卷
HVH_106_000001_000006	M
HVH_106_000001_000007	C6
HVH_106_000001_000008	治五年乙已秋
HVH_106_000001_000009	證抄
HVH_106_000001_000010	夜零政人出
HVH_106_000001_000011	绿一
HVH_106_000001_000012	大城堂茂技
HVH_106_000001_000013	皇越歷代政録目
HVH_106_000001_000014	自到真下至理法度下是一说丁李陳
HVH_106_000001_000015	自信制下至坛是即说琴之法度
HVH_106_000001_000016	制兵
HVH_106_000001_000017	理财
HVH_106_000001_000018	勤政
HVH_106_000001_000019	養氏
HVH_106_000001_000020	赏罰
HVH_106_000001_000021	信時仓
HVH_106_000001_000022	固民心
HVH_106_000001_000023	强國苏
HVH_106_000001_000024	勵
HVH_106_000001_000025	旌節義
HVH_106_000001_000026	制田里
HVH_106_000001_000027	詳口
HVH_106_000001_000028	表教代
HVH_106_000001_000029	證法度
HVH_106_000001_000030	官制
HVH_106_000001_000031	岳利
HVH_106_000001_000032	逢防
HVH_106_000001_000033	文教
HVH_106_000001_000034	科拳
HVH_106_000001_000035	風
HVH_106_000001_000036	P
HVH_106_000001_000037	養氏
HVH_106_000001_000038	凡心
HVH_106_000001_000039	5
HVH_106_000001_000040	力役
HVH_106_000001_000041	丁车
HVH_106_000001_000042	田政
HVH_106_000001_000043	風俗
HVH_106_000001_000044	國劳
HVH_106_000002_000001	弭盗
HVH_106_000002_000002	賞罰
HVH_106_000002_000003	理助
HVH_106_000002_000004	赋税
HVH_106_000002_000005	加
HVH_106_000002_000006	君臣
HVH_106_000002_000007	求才
HVH_106_000002_000008	辨材
HVH_106_000002_000009	会
HVH_106_000002_000010	用人
HVH_106_000002_000011	进
HVH_106_000002_000012	法湘
HVH_106_000002_000013	納諫
HVH_106_000002_000014	去
HVH_106_000002_000015	勤政
HVH_106_000002_000016	敬天
HVH_106_000002_000017	功農
HVH_106_000002_000018	体臣
HVH_106_000002_000019	微訟
HVH_106_000002_000020	压袋出
HVH_106_000002_000021	大堂板
HVH_106_000003_000001	制兵
HVH_106_000003_000002	丁先皇之定立軍法明詳矣然重之不謹加杜
HVH_106_000003_000003	之無謀何李之兵制有定政则勤矣然献而歸
HVH_106_000003_000004	伏如將士之休何送将禦戎水步戰陳任宗之
HVH_106_000003_000005	用兵足為贤矣然無策而徒間計老久用兵
HVH_106_000003_000006	而定其
HVH_106_000003_000007	·理财
HVH_106_000003_000008	令献才物于固知所以治财也然道犀纳象而民此
HVH_106_000003_000009	房代攻票生
HVH_106_000003_000010	创無时药及
HVH_106_000003_000011	大成堂饭
HVH_106_000003_000012	乎一空賦法有制李目知所以定國也然察塔造宫而
HVH_106_000003_000013	民財於竭欲家人給是而沿江築堤陳憲宗知富
HVH_106_000003_000014	国之道矣然甘露逍則轉输供顿不能無横費之虞
HVH_106_000003_000015	营改
HVH_106_000003_000016	丁先皇之朝儀有创政雖勤矣然礼刑政之未修李神
HVH_106_000003_000017	东之兵有限定政则勤矣然浮屠崇尚何其暗治
HVH_106_000003_000018	急养民政先風陳奖宗若知所勤矣然释教连心
HVH_106_000003_000019	致治竟已您
HVH_106_000004_000001	4
HVH_106_000004_000002	養民
HVH_106_000004_000003	丁先皇悯生民之苦而平戎破賊知爱民矣然遗犀象而
HVH_106_000004_000004	民力為之李聖宗以嗣之贤君而恤民重固可
HVH_106_000004_000005	嘉矣然菜塔造宫而民力為满镜则賑貸陳奖
HVH_106_000004_000006	固結於民矣然照雲之閣民力更劳非所為君
HVH_106_000004_000007	國子民之道
HVH_106_000004_000008	賞罰
HVH_106_000004_000009	丁先皇之朝儀有制刑赏雖具在矣然文武階定同僧
HVH_106_000004_000010	歴代吃晨业
