HVH_107_01_000001_000001	行颁年二十隆嘉
HVH_107_01_000001_000002	皇越律创
HVH_107_01_000001_000003	9.105
HVH_107_01_000002_000001	御製皇越律例序
HVH_107_01_000002_000002	朕惟聖人治天下刑罰之與德化未
HVH_107_01_000002_000003	嘗偏廢蓋民生有欲世故無涯非刑
HVH_107_01_000002_000004	以防之無以使之入敎而知德故日
HVH_107_01_000002_000005	刑者輔治之具豈虚乎哉律令者刑
HVH_107_01_000002_000006	罰之斷例也古者議事以制不爲刑
HVH_107_01_000002_000007	御序
HVH_107_01_000002_000008	辟豈刑辟不可爲哉民醇事簡容可
HVH_107_01_000002_000009	也風會既降民僞日滋刑罰不足
HVH_107_01_000002_000010	以勝奸科條不足以應用故律例令
HVH_107_01_000002_000011	式遞有增加非古後異宜而律之
HVH_107_01_000002_000012	必不可闕歟我國歷朝以來具有令
HVH_107_01_000002_000013	典自經西山之變綱論法教巧詐横
HVH_107_01_000003_000001	多約則事或有關簡則理或未明愚
HVH_107_01_000003_000002	者於趨避頑者易於翫弄而審
HVH_107_01_000003_000003	之下比附出入無所稽濫靡告
HVH_107_01_000003_000004	豈非仁者之所隐哉朕赖
HVH_107_01_000003_000005	聖之靈削平借乱混一區宇經緯管理
HVH_107_01_000003_000006	每以教化爲先務而於刑獄之間尤
HVH_107_01_000003_000007	御製序
HVH_107_01_000003_000008	二
HVH_107_01_000003_000009	二
HVH_107_01_000003_000010	致意焉披閱歷代刑書我越李陳黎
HVH_107_01_000003_000011	之典一代有一代之制而備於洪德
HVH_107_01_000003_000012	北朝漢唐宋明之興律令之書代有
HVH_107_01_000003_000013	改而備於大清爱命廷臣準歷朝
HVH_107_01_000003_000014	令典参以洪德清朝律取舍秤停
HVH_107_01_000003_000015	務止於当集成編朕親自裁正放
HVH_107_01_000004_000001	行天下使知禁防大典灼然如日月
HVH_107_01_000004_000002	之無所隱懲詰嚴條凛然如雷霆之
HVH_107_01_000004_000003	不可犯守職之吏得奉以爲明法而
HVH_107_01_000004_000004	愚頑之民易避難犯於以遷善而逺
HVH_107_01_000004_000005	罰出刑而人教不犯有司罔干子正
HVH_107_01_000004_000006	幾刑措之隆寧不於斯是赖哉遂
HVH_107_01_000004_000007	御製序
HVH_107_01_000004_000008	三
HVH_107_01_000004_000009	命書以爲序
HVH_107_01_000004_000010	嘉隆十一年六月十二日
HVH_107_01_000005_000001	上言竊惟刑以懲恶而禁奸輔治之具也隆古盛時
HVH_107_01_000005_000002	民樸俗美而富教之後不敢废刑以人性之有善
HVH_107_01_000005_000003	惡猾天道之有陰陽雖聖世不能無恶人故防範之
HVH_107_01_000005_000004	具不敢关也我國
HVH_107_01_000005_000005	歷朝以来具有令典参用洪德條律以其事約而易究文
HVH_107_01_000005_000006	簡而不煩也頃以西山之變法淪風俗類敗宵
HVH_107_01_000005_000007	邪恣横奸究不勝簡則理或未明愚者骨冥而觸禁
HVH_107_01_000005_000008	四
HVH_107_01_000005_000009	約則事或有關頑者玩弄以刑而考比附之間
HVH_107_01_000005_000010	好吏亦得以科條爲上下游移之囊索
HVH_107_01_000005_000011	天啟
HVH_107_01_000005_000012	聖明易爲治寵綏四海振刷百爲承亂之後除券
HVH_107_01_000005_000013	法在必行而義殺義刑每寓哀矜之意披覽清朝律
HVH_107_01_000005_000014	書見其集歷代之成爲一代之制爲詳特命朝
HVH_107_01_000005_000015	臣與参閱取其適於用者着爲國朝律例仰見
HVH_107_01_000005_000016	聖天子好生之至德寓教於刑書云辟以止辟刑期無刑
HVH_107_01_000005_000017	其兹之謂歟奉命删修爲卷二十有二見識淺
HVH_107_01_000006_000001	未知当否伏候
HVH_107_01_000006_000002	聖聰裁正誠惶誠恐不勝戰之至謹
HVH_107_01_000006_000003	上言
HVH_107_01_000006_000004	嘉隆十一年六月初
HVH_107_01_000006_000005	日
HVH_107_01_000007_000001	奉
HVH_107_01_000007_000002	救
HVH_107_01_000007_000003	總裁
HVH_107_01_000007_000004	欽差掌中軍平西大將軍公阮文
HVH_107_01_000007_000005	纂修
HVH_107_01_000007_000006	侍中学士莱山侯武桢
HVH_107_01_000007_000007	協辨纂修
HVH_107_01_000007_000008	東阁學士楊川侯東宥
HVH_107_01_000007_000009	大
HVH_107_01_000008_000001	皇越律例總目
HVH_107_01_000008_000002	卷
HVH_107_01_000008_000003	律目
HVH_107_01_000008_000004	諸圖
HVH_107_01_000008_000005	服制
HVH_107_01_000008_000006	例介入字之義
HVH_107_01_000008_000007	律服释義
HVH_107_01_000008_000008	卷二
HVH_107_01_000008_000009	名例律上
HVH_107_01_000008_000010	卷三
HVH_107_01_000008_000011	各侧律下
HVH_107_01_000008_000012	卷四
HVH_107_01_000008_000013	史律職制
HVH_107_01_000008_000014	皇越律侧
HVH_107_01_000008_000015	电
HVH_107_01_000008_000016	卷五
HVH_107_01_000008_000017	吏律公式
HVH_107_01_000008_000018	卷六
HVH_107_01_000008_000019	户律户役
HVH_107_01_000008_000020	户律田宅
HVH_107_01_000008_000021	卷七
HVH_107_01_000008_000022	户律婚烟
HVH_107_01_000008_000023	卷入
HVH_107_01_000008_000024	户律舍库
HVH_107_01_000008_000025	户律铁程
HVH_107_01_000008_000026	户律錢
HVH_107_01_000008_000027	户律市
HVH_107_01_000008_000028	卷九
HVH_107_01_000008_000029	律祭配
HVH_107_01_000008_000030	職律儀制
HVH_107_01_000009_000001	卷十
HVH_107_01_000009_000002	兵律宫
HVH_107_01_000009_000003	兵律軍政
HVH_107_01_000009_000004	卷十
HVH_107_01_000009_000005	兵律国津
HVH_107_01_000009_000006	兵律座牧
HVH_107_01_000009_000007	兵律都晖
HVH_107_01_000009_000008	卷十
HVH_107_01_000009_000009	刑律赋上
HVH_107_01_000009_000010	刑律贼盗中
HVH_107_01_000009_000011	米
HVH_107_01_000009_000012	别律贼益
HVH_107_01_000009_000013	卷一门
HVH_107_01_000009_000014	刑律人命
HVH_107_01_000009_000015	3二
HVH_107_01_000009_000016	卷十五
HVH_107_01_000009_000017	律開段上
HVH_107_01_000009_000018	刑律段下
HVH_107_01_000009_000019	卷六
HVH_107_01_000009_000020	刑律
HVH_107_01_000009_000021	刑律訴
HVH_107_01_000009_000022	卷十七
HVH_107_01_000009_000023	刑律受贼
HVH_107_01_000009_000024	刑律故假
HVH_107_01_000009_000025	卷十八
HVH_107_01_000009_000026	刑律犯姦
HVH_107_01_000009_000027	刑律雜犯
HVH_107_01_000009_000028	刑律捕込
HVH_107_01_000009_000029	卷十九
HVH_107_01_000009_000030	刑律断狱上
HVH_107_01_000010_000001	卷二十
HVH_107_01_000010_000002	刑律断狱下
HVH_107_01_000010_000003	卷二十一
HVH_107_01_000010_000004	工律管造
HVH_107_01_000010_000005	上律河防
HVH_107_01_000010_000006	卷二十二
HVH_107_01_000010_000007	比引律
HVH_107_01_000010_000008	皇越律例
HVH_107_01_000010_000009	九
HVH_107_01_000011_000001	皇越律例卷之一目錄
HVH_107_01_000011_000002	律目
HVH_107_01_000011_000003	諸圖
HVH_107_01_000011_000004	大钱的诸街
HVH_107_01_000011_000005	輕病重收赠
HVH_107_01_000011_000006	五刑
HVH_107_01_000011_000007	過失殺收
HVH_107_01_000011_000008	狱具
HVH_107_01_000011_000009	责服
HVH_107_01_000011_000010	從内老衰赠
HVH_107_01_000011_000011	服制
HVH_107_01_000011_000012	例分八字之義
HVH_107_01_000011_000013	律眼释義
HVH_107_01_000011_000014	皇越律例卷之一
HVH_107_01_000012_000001	皇慧律侧卷之一
HVH_107_01_000012_000002	律目
HVH_107_01_000012_000003	各侧律目録共四十五
HVH_107_01_000012_000004	五
HVH_107_01_000012_000005	十恶
HVH_107_01_000012_000006	八
HVH_107_01_000012_000007	應議者犯罪
HVH_107_01_000012_000008	應議之父朋有犯
HVH_107_01_000012_000009	職官有犯
HVH_107_01_000012_000010	文武官犯公罪
HVH_107_01_000012_000011	交武官犯私罪
HVH_107_01_000012_000012	軍籍有犯
HVH_107_01_000012_000013	犯罪得果减
HVH_107_01_000012_000014	以理去官
HVH_107_01_000012_000015	無官犯罪
HVH_107_01_000012_000016	除名常差
HVH_107_01_000012_000017	流四家属
HVH_107_01_000012_000018	常效所不原
HVH_107_01_000012_000019	流犯在道會
HVH_107_01_000012_000020	皇律例
HVH_107_01_000012_000021	卷之一律目
HVH_107_01_000012_000022	1
HVH_107_01_000012_000023	犯罪存留養親
HVH_107_01_000012_000024	天交生有犯
HVH_107_01_000012_000025	工乘户及人犯罪
HVH_107_01_000012_000026	徒流人叉犯罪
HVH_107_01_000012_000027	老小疾收
HVH_107_01_000012_000028	犯罪時未老疾
HVH_107_01_000012_000029	給没物
HVH_107_01_000012_000030	犯罪自首
HVH_107_01_000012_000031	二罪俱發以重論
HVH_107_01_000012_000032	犯罪共逊
HVH_107_01_000012_000033	同僚犯公罪
HVH_107_01_000012_000034	公事失错
HVH_107_01_000012_000035	其犯罪分首行
HVH_107_01_000012_000036	无罪事發在逊
HVH_107_01_000012_000037	親属相爲容
HVH_107_01_000012_000038	處央叛軍
HVH_107_01_000012_000039	化外人有犯
HVH_107_01_000012_000040	本條别有罪各
HVH_107_01_000012_000041	加减罪例
HVH_107_01_000012_000042	乘典車駕
HVH_107_01_000012_000043	稱期親父母
HVH_107_01_000012_000044	與同罪
HVH_107_01_000013_000001	稱整主守
HVH_107_01_000013_000002	稱日者以百刻
HVH_107_01_000013_000003	稱道士女冠
HVH_107_01_000013_000004	断罪依新颁律
HVH_107_01_000013_000005	罪無正條
HVH_107_01_000013_000006	徒流地方
HVH_107_01_000013_000007	充軍地方
HVH_107_01_000013_000008	吏律目錄其二十七条
HVH_107_01_000013_000009	联制青一十三條
HVH_107_01_000013_000010	官員发座
HVH_107_01_000013_000011	大臣享擅選官
HVH_107_01_000013_000012	文官不許封公侯
HVH_107_01_000013_000013	澄鼓官吏
HVH_107_01_000013_000014	信牌
HVH_107_01_000013_000015	貢舉非其人
HVH_107_01_000013_000016	舉用有過官吏
HVH_107_01_000013_000017	檀離職役
HVH_107_01_000013_000018	官員超任過限
HVH_107_01_000013_000019	無故不朝公
HVH_107_01_000013_000020	越律例
HVH_107_01_000013_000021	老之一律月
HVH_107_01_000013_000022	世
HVH_107_01_000013_000023	檀勾属官
HVH_107_01_000013_000024	女
HVH_107_01_000013_000025	上言大臣德政
HVH_107_01_000013_000026	公式青一十四条
HVH_107_01_000013_000027	講謂律令
HVH_107_01_000013_000028	制書有途
HVH_107_01_000013_000029	乘制書印信
HVH_107_01_000013_000030	上書奏事犯諱
HVH_107_01_000013_000031	事應奏不奏
HVH_107_01_000013_000032	使不復命
HVH_107_01_000013_000033	官文書程
HVH_107_01_000013_000034	照刷文卷
HVH_107_01_000013_000035	磨勘卷宗
HVH_107_01_000013_000036	同僚代判署文案
HVH_107_01_000013_000037	增藏官交書
HVH_107_01_000013_000038	.
HVH_107_01_000013_000039	封掌印信
HVH_107_01_000013_000040	漏使印信
HVH_107_01_000013_000041	擅用調兵印信
HVH_107_01_000013_000042	户律目錄其六千六条
HVH_107_01_000014_000001	户役
HVH_107_01_000014_000002	计一十一条
HVH_107_01_000014_000003	人户以籍爲定
HVH_107_01_000014_000004	隐涌丁口
HVH_107_01_000014_000005	私翔巷院及私度僧道立嫡子遮法
HVH_107_01_000014_000006	收留迷失于女
HVH_107_01_000014_000007	賦役不均
HVH_107_01_000014_000008	丁夫差遣不平
HVH_107_01_000014_000009	避差役
HVH_107_01_000014_000010	私役部民夫匠
HVH_107_01_000014_000011	别籍異财
HVH_107_01_000014_000012	卑匆私植用财
HVH_107_01_000014_000013	田宅計一十條
HVH_107_01_000014_000014	隐田检
HVH_107_01_000014_000015	检踏灸傷田
HVH_107_01_000014_000016	功臣田土
HVH_107_01_000014_000017	益寶田宅
HVH_107_01_000014_000018	任所置買田宅
HVH_107_01_000014_000019	典買田宅
HVH_107_01_000014_000020	皇藏律例
HVH_107_01_000014_000021	卷之月
HVH_107_01_000014_000022	生
HVH_107_01_000014_000023	盗耕称官民田
HVH_107_01_000014_000024	豪毁器物称精等
HVH_107_01_000014_000025	食田圆瓜果
HVH_107_01_000014_000026	私借官車船
HVH_107_01_000014_000027	婚姻青一十六级
HVH_107_01_000014_000028	男女婚姻
HVH_107_01_000014_000029	典属妻女
HVH_107_01_000014_000030	妻妾失序
HVH_107_01_000014_000031	逐婿嫁女
HVH_107_01_000014_000032	居丧嫁娶
HVH_107_01_000014_000033	父母囚禁嫁娶
HVH_107_01_000014_000034	同姓爲
HVH_107_01_000014_000035	尊里爲
HVH_107_01_000014_000036	娶親屬姜妾
HVH_107_01_000014_000037	娶部民婦女爲妻妾
HVH_107_01_000014_000038	娶逊走娜女
HVH_107_01_000014_000039	强占辰家妻女
HVH_107_01_000014_000040	僧道娶妻
HVH_107_01_000014_000041	良賤爲婚姻
HVH_107_01_000014_000042	出妻
HVH_107_01_000014_000043	嫁娶建律主婚媒人罪
HVH_107_01_000015_000001	倉庫
HVH_107_01_000015_000002	词二十二
HVH_107_01_000015_000003	收量限
HVH_107_01_000015_000004	私借钱量
HVH_107_01_000015_000005	虚出通關珠钞
HVH_107_01_000015_000006	多收税糧斛面
HVH_107_01_000015_000007	附除钱糧私下補数
HVH_107_01_000015_000008	私借官物
HVH_107_01_000015_000009	隐匿費用税課物
HVH_107_01_000015_000010	揽纳税量
HVH_107_01_000015_000011	那移出纳
HVH_107_01_000015_000012	库秤雇役侵欺
HVH_107_01_000015_000013	青支官
HVH_107_01_000015_000014	錢程互相党察
HVH_107_01_000015_000015	倉库不覺被盗
HVH_107_01_000015_000016	守支线糧反擅開官
HVH_107_01_000015_000017	出纳官物有连
HVH_107_01_000015_000018	妆支留
HVH_107_01_000015_000019	起解金銀足色
HVH_107_01_000015_000020	損壊倉庫财物
HVH_107_01_000015_000021	轉解官物
HVH_107_01_000015_000022	提断賦罰不当
HVH_107_01_000015_000023	皇越律例一卷之一目
HVH_107_01_000015_000024	四
HVH_107_01_000015_000025	十
HVH_107_01_000015_000026	守掌在官财物
HVH_107_01_000015_000027	隐瞒人官家產
HVH_107_01_000015_000028	课程词二价
HVH_107_01_000015_000029	匿税
HVH_107_01_000015_000030	舶商匿货
HVH_107_01_000015_000031	錢債計三
HVH_107_01_000015_000032	禁取利
HVH_107_01_000015_000033	费用受寄财產
