HVH_107_02_000001_000001	皇越律例卷二目録
HVH_107_02_000001_000002	名例律上
HVH_107_02_000001_000003	五刑
HVH_107_02_000001_000004	十惡
HVH_107_02_000001_000005	八議
HVH_107_02_000001_000006	應議者犯罪
HVH_107_02_000001_000007	應議者之父祖有犯
HVH_107_02_000001_000008	職官有犯
HVH_107_02_000001_000009	文武官犯公罪
HVH_107_02_000001_000010	文武官犯私罪
HVH_107_02_000001_000011	軍籍有犯
HVH_107_02_000001_000012	犯罪得累滅
HVH_107_02_000001_000013	以理去官
HVH_107_02_000001_000014	無官犯罪
HVH_107_02_000001_000015	除名當差
HVH_107_02_000001_000016	流囚家屬
HVH_107_02_000001_000017	常赦所不原
HVH_107_02_000001_000018	流犯在道會赦
HVH_107_02_000001_000019	犯罪存留養親
HVH_107_02_000001_000020	天文生有犯
HVH_107_02_000001_000021	皇越律例
HVH_107_02_000001_000022	門卷二名
HVH_107_02_000001_000023	二名对烽上
HVH_107_02_000001_000024	目綠
HVH_107_02_000001_000025	工樂户及婦人犯罪
HVH_107_02_000001_000026	徒流人又犯罪
HVH_107_02_000001_000027	目録終
HVH_107_02_000002_000001	一皇越律例卷之二
HVH_107_02_000002_000002	名例律上
HVH_107_02_000002_000003	一者五刑之體例也
HVH_107_02_000002_000004	上名者五刑之罪名例
HVH_107_02_000002_000005	五刑
HVH_107_02_000002_000006	管刑五
HVH_107_02_000002_000007	爲耻用小體
HVH_107_02_000002_000008	名也又訓
HVH_107_02_000002_000009	一十
HVH_107_02_000002_000010	二十
HVH_107_02_000002_000011	三十
HVH_107_02_000002_000012	四十
HVH_107_02_000002_000013	五十
HVH_107_02_000002_000014	杖刑五
HVH_107_02_000002_000015	用中膳
HVH_107_02_000002_000016	五杖重於管
HVH_107_02_000002_000017	六十
HVH_107_02_000002_000018	七十
HVH_107_02_000002_000019	八十
HVH_107_02_000002_000020	九十
HVH_107_02_000002_000021	一百
HVH_107_02_000002_000022	皇越往例
HVH_107_02_000002_000023	卷一名德上
HVH_107_02_000002_000024	五刑
HVH_107_02_000002_000025	徒刑五
HVH_107_02_000002_000026	徒者奴也
HVH_107_02_000002_000027	盎奴辱之
HVH_107_02_000002_000028	一年杖六十
HVH_107_02_000002_000029	一年半杖七十
HVH_107_02_000002_000030	二年杖八十
HVH_107_02_000002_000031	二年半杖九十
HVH_107_02_000002_000032	三年杖一百
HVH_107_02_000002_000033	流刑三
HVH_107_02_000002_000034	一不忍刑殺
HVH_107_02_000002_000035	二流之遣方
HVH_107_02_000002_000036	二千里杖一百
HVH_107_02_000002_000037	二千五百里杖一百
HVH_107_02_000002_000038	三千里杖一百
HVH_107_02_000002_000039	死刑二
HVH_107_02_000002_000040	絞
HVH_107_02_000002_000041	斬西
HVH_107_02_000002_000042	應決不待時外餘
HVH_107_02_000002_000043	内外死罪人犯除
HVH_107_02_000002_000044	俱監固候秋審朝審分别
HVH_107_02_000002_000045	情實緩決矜疑奏請定奪
HVH_107_02_000002_000046	例
HVH_107_02_000003_000001	一凡管兵官員責治所管員軍並官員責
HVH_107_02_000003_000002	治所屬者自笞五十以下許得用笞其
HVH_107_02_000003_000003	勘官謝訊囚犯及罪人已經論斷名杖
HVH_107_02_000003_000004	并五徒三流䀡杖並依准定體例當管
HVH_107_02_000003_000005	用等當杖用杖若婦人罪犯笞杖不在
HVH_107_02_000003_000006	贖例者係满笞用笞或入杖罪自六十
HVH_107_02_000003_000007	以至一百並許以笞代杖
HVH_107_02_000003_000008	一凡民人犯軍流徒罪者俱至配所照應
HVH_107_02_000003_000009	杖之數决貴惟縁坐流罪不加杖
HVH_107_02_000003_000010	一每年於小满後十日起至立秋前一日
HVH_107_02_000003_000011	止如立秋在六月丙以七月初一日爲
HVH_107_02_000003_000012	皇律例一律上
HVH_107_02_000003_000013	五刑
HVH_107_02_000003_000014	止内外問刑衙門除竊盗及關段傷人
HVH_107_02_000003_000015	罪應杖笞人犯不准減免其餘罪應杖
HVH_107_02_000003_000016	責人犯各减一等逓行决責發落笞罪
HVH_107_02_000003_000017	寬免如犯案審題在審之先而落
HVH_107_02_000003_000018	在熱審期内者亦照前减免倘審題雖
HVH_107_02_000003_000019	在熱審期内而發落已逾熱審者慨不
HVH_107_02_000003_000020	准其減免至熱審期內監禁重犯令管
HVH_107_02_000003_000021	獄官量加寬恤
HVH_107_02_000003_000022	一每年正月六月俱停刑丙外立决重犯
HVH_107_02_000003_000023	俱監固侯二月初及七月立秋之後正
HVH_107_02_000003_000024	法其五月内交六月節及立秋在六月
HVH_107_02_000004_000001	内者亦停正法
HVH_107_02_000004_000002	贖刑王
HVH_107_02_000004_000003	附列於此以便引用
HVH_107_02_000004_000004	五刑中俱有應贖之疑
HVH_107_02_000004_000005	納贖有
HVH_107_02_000004_000006	只無力依律央配
HVH_107_02_000004_000007	貞有力照律納贖
HVH_107_02_000004_000008	收贖快
HVH_107_02_000004_000009	老勿廢疾天文生及
HVH_107_02_000004_000010	婦人折杖照律收贖
HVH_107_02_000004_000011	贖罪
HVH_107_02_000004_000012	婦人有力者照律贖罪
HVH_107_02_000004_000013	官貝正要及例難的决泣
HVH_107_02_000004_000014	一凡進士舉人貢監生及一切有頂帶官
HVH_107_02_000004_000015	有犯答杖輕罪照律納贖罪止杖一百
HVH_107_02_000004_000016	者分别咨叅除名徒流以上照例發配
HVH_107_02_000004_000017	一凡文武官犯罪本案革職其苔杖輕罪
HVH_107_02_000004_000018	母庸納贖若革職後另犯苔杖罪者照
HVH_107_02_000004_000019	律納贖徒流軍遣依例發配有呈請贖
HVH_107_02_000004_000020	皇越律例卷二名例律上
HVH_107_02_000004_000021	三
HVH_107_02_000004_000022	五刑
HVH_107_02_000004_000023	罪者刑部核其情節奏明請
HVH_107_02_000004_000024	旨定奪其貪賊官役概不准納贖
HVH_107_02_000004_000025	一凡官員有先叅梦職革職提問者如審
HVH_107_02_000004_000026	無禁贓入已止擬因公那用因公科歛
HVH_107_02_000004_000027	及坐賊致罪犯該杖一百者革職徒流
HVH_107_02_000004_000028	軍罪依例决配如罪在杖一百以下者
HVH_107_02_000004_000029	依文武官犯私罪律交部議處分别降
HVH_107_02_000004_000030	罰其先經革職之處准予開復
HVH_107_02_000004_000031	一僧道官有犯徑自提問及僧道有犯姦
HVH_107_02_000004_000032	盗詐僞並一應賊私罪名責令回俗仍
HVH_107_02_000004_000033	依律例科斷其公事失錯因人連累及
HVH_107_02_000005_000001	過誤致罪者悉准納贖各回職爲僧爲
HVH_107_02_000005_000002	道
HVH_107_02_000005_000003	一婦女犯姦仗罪的决枷罪收贖
HVH_107_02_000005_000004	一凡律例開明准納贖不准納贖者仍照
HVH_107_02_000005_000005	藍遵行外其律例内未經開載者問刑
HVH_107_02_000005_000006	官臨時詳審情罪應准納贖者聽其納
HVH_107_02_000005_000007	贖不應准納贖者照律的决發落如承
HVH_107_02_000005_000008	問官濫准納贖者交該部議處多取肥
HVH_107_02_000005_000009	已者計贓科罪
HVH_107_02_000005_000010	一婦人有犯姦盗不孝者各依律决罸其
HVH_107_02_000005_000011	餘有犯笞杖龜徒流充軍雜犯死罪該
HVH_107_02_000005_000012	塵越律例
HVH_107_02_000005_000013	天卷一名例幸上
HVH_107_02_000005_000014	四
