HVH_107_04_000001_000001	皇越律例卷四目録
HVH_107_04_000001_000002	1o5o0
HVH_107_04_000001_000003	吏律
HVH_107_04_000001_000004	職制
HVH_107_04_000001_000005	官員
HVH_107_04_000001_000006	大臣專擅選官
HVH_107_04_000001_000007	交官不許封公侯
HVH_107_04_000001_000008	濫設官吏
HVH_107_04_000001_000009	信牌
HVH_107_04_000001_000010	貢举非其人
HVH_107_04_000001_000011	舉用有過官吏
HVH_107_04_000001_000012	擅離職役
HVH_107_04_000001_000013	官員赴任通限
HVH_107_04_000001_000014	無故不朝泰公座
HVH_107_04_000001_000015	擅勾属官
HVH_107_04_000001_000016	姦黨
HVH_107_04_000001_000017	上言大臣德政
HVH_107_04_000001_000018	皇越律例卷四更
HVH_107_04_000001_000019	目缘
HVH_107_04_000001_000020	百録
HVH_107_04_000002_000001	皇越律创卷之四
HVH_107_04_000002_000002	更律
HVH_107_04_000002_000003	職制
HVH_107_04_000002_000004	官员
HVH_107_04_000002_000005	几文武官員應合者並令嫡長子孫
HVH_107_04_000002_000006	如嫡畏子孙有故
HVH_107_04_000002_000007	次子孫若無嫡次子孙方許長
HVH_107_04_000002_000008	子孫如無出于孙許令第應
HVH_107_04_000002_000009	合承繼者若出子孙及第不
HVH_107_04_000002_000010	其子孫應承襲者
HVH_107_04_000002_000011	唐
HVH_107_04_000002_000012	各官保敬明
HVH_107_04_000002_000013	本宗及本馆
HVH_107_04_000002_000014	星藏律侧卷四
HVH_107_04_000002_000015	更律
HVH_107_04_000002_000016	官员摩
HVH_107_04_000002_000017	白交
HVH_107_04_000002_000018	部該
HVH_107_04_000002_000019	奏請承支体加所子孫
HVH_107_04_000002_000020	年级候年一十八岁方预朝泰公役如
HVH_107_04_000002_000021	委絶嗣無可承者雅令本人妻小依
HVH_107_04_000002_000022	例闊請华給養赠終身若将异牲外人
HVH_107_04_000002_000023	乞餐為子嘴官府許月承者乞
HVH_107_04_000002_000024	子杖一百發造速克軍本家所關俸給
HVH_107_04_000002_000025	祭
HVH_107_04_000002_000026	事
HVH_107_04_000002_000027	截日住罷他人教令
HVH_107_04_000002_000028	行典同罪不知者不坐
HVH_107_04_000002_000029	若爱财扶同保
HVH_107_04_000002_000030	勘以枉法從里
HVH_107_04_000002_000031	論
HVH_107_04_000002_000032	謂親父有功於锡以世干
HVH_107_04_000002_000033	依友承有二特思其于孫日
HVH_107_04_000003_000001	恩祖父於王事侯哪其後日
HVH_107_04_000003_000002	此情银功延赏之重典也正妻所
HVH_107_04_000003_000003	生日销干象妾所生日子有故
HVH_107_04_000003_000004	飞吸病膝及犯一應行止有
HVH_107_04_000003_000005	之顺會决断者文武官員應合
HVH_107_04_000003_000006	者渔须洗顺于張好有
HVH_107_04_000003_000007	则令長殊满長干孫皆有
HVH_107_04_000003_000008	故然酸及烦次子孙若無次于
HVH_107_04_000003_000009	然後及变長干你若亦無尚于
HVH_107_04_000003_000010	方讲令第经命承之人褒
HVH_107_04_000003_000011	長切之序断親之偷而法不
HVH_107_04_000003_000012	素者若出于弥及承第
HVH_107_04_000003_000013	不
HVH_107_04_000003_000014	你满疾長切次序器乱越次面
HVH_107_04_000003_000015	其子孫德承者本家族長及本馆
HVH_107_04_000003_000016	承褒若年动小不硬嘲漆压
HVH_107_04_000003_000017	年至十
HVH_107_04_000003_000018	八藏方公事如無人
HVH_107_04_000003_000019	济本人楼小依树周船楼账終
HVH_107_04_000003_000020	星越律
HVH_107_04_000003_000021	一巷史
HVH_107_04_000003_000022	姓处人乞登于瞒官府
HVH_107_04_000003_000023	之你
HVH_107_04_000003_000024	官聚餐
HVH_107_04_000003_000025	奏月承世職者乞月之于
HVH_107_04_000003_000026	林一日發遣建克軍其本家
HVH_107_04_000003_000027	杖一百克遣军不知者罪在本家不
HVH_107_04_000003_000028	在官司
HVH_107_04_000003_000029	故不坐
HVH_107_04_000003_000030	條例
HVH_107_04_000003_000031	一武臣出征受傷分别等第给赏陣丛者
HVH_107_04_000003_000032	按品
HVH_107_04_000003_000033	予恤給世職
HVH_107_04_000003_000034	一武職守城失機胎患遣方及臨陣退
HVH_107_04_000004_000001	者俱不维有犯不孝致典刑者取相
HVH_107_04_000004_000002	父欢子孫餐職木犯子孙不許
HVH_107_04_000004_000003	一世職有犯人命失機强盗宾犯死罪及
HVH_107_04_000004_000004	免死克軍不已决已遣監故并脱逃
HVH_107_04_000004_000005	自盡本犯子保俱不准承餐
HVH_107_04_000004_000006	一世職官故户無承其父母
HVH_107_04_000004_000007	者给牛俸终身
HVH_107_04_000004_000008	一无世職官物故無應之人官册註銷
HVH_107_04_000004_000009	者如無毋其妻亦给牛俸終身無妻
HVH_107_04_000004_000010	者查原立之官有親生亦给牛停
HVH_107_04_000004_000011	一几世官员如有因罪革退倒不准本
HVH_107_04_000004_000012	空藏律倒一卷四
HVH_107_04_000004_000013	中律
HVH_107_04_000004_000014	三
HVH_107_04_000004_000015	百质版
HVH_107_04_000004_000016	子孙承者共世職與親兄第承
HVH_107_04_000004_000017	若無親兄弟即共兄之子孫若無
HVH_107_04_000004_000018	親兄弟夕兄第之子孫竟至除革者無
HVH_107_04_000004_000019	論官之大小俱將原立勲績之處共被
HVH_107_04_000004_000020	罪缘由及原立官之子孙一併查明請
HVH_107_04_000004_000021	青定奪
HVH_107_04_000004_000022	一世職年老户無承者支全体優給
HVH_107_04_000004_000023	職只未及年者支始牛
HVH_107_04_000004_000024	儿世職将乞異性奥抢族属辣達
HVH_107_04_000004_000025	之人用财買嘱及发财将官職賣
HVH_107_04_000004_000026	典同姓或異姓人月已經到部過
HVH_107_04_000005_000001	者月之人并保勘之官職其世職
HVH_107_04_000005_000002	永不得保勘官以受财首先出與保
HVH_107_04_000005_000003	结者坐連各保结者俱依律减等拜
HVH_107_04_000005_000004	断有者以栏法論若腺保送
HVH_107_04_000005_000005	碍子孫弟姪者俱照常落其異姓買
HVH_107_04_000005_000006	襲之人比照乞餐子月律追克
HVH_107_04_000005_000007	軍
HVH_107_04_000005_000008	一應襄之人若父見在詐稱死骨襲官
HVH_107_04_000005_000009	職者餐远遣克軍候父故之日許令以
HVH_107_04_000005_000010	次兒男承如無以次見男令次房子
HVH_107_04_000005_000011	孙承装
HVH_107_04_000005_000012	璧越律例卷四
HVH_107_04_000005_000013	更
HVH_107_04_000005_000014	四
HVH_107_04_000005_000015	官员廉
HVH_107_04_000005_000016	各處土官替其通事及請几色目人
HVH_107_04_000005_000017	等有置土官親族不該承之人争
HVH_107_04_000005_000018	协李投者俱照例地面克
HVH_107_04_000005_000019	軍
HVH_107_04_000005_000020	几土官曼職由司府州都具印甘各结
HVH_107_04_000005_000021	土司親供宗圖及原領號纸詳送
HVH_107_04_000005_000022	营其题替若應之人未十五歲
HVH_107_04_000005_000023	者令本族土舍即親属曾请本土公
HVH_107_04_000005_000024	務者護理印務歲痛日具题承
HVH_107_04_000005_000025	有事故运誤年人方告襲者宗圖號纸
HVH_107_04_000005_000026	有损亦准替
HVH_107_04_000006_000001	一儿土官故絶無子許第承如無子第
HVH_107_04_000006_000002	即族属内素爲其下信服者許令一
HVH_107_04_000006_000003	人楚
HVH_107_04_000006_000004	一土官病故該镇营於题報之時即查
HVH_107_04_000006_000005	明應之人取具宗圖册結都封甘結
HVH_107_04_000006_000006	并原领號低限六個月内具题承其
HVH_107_04_000006_000007	未經具题之先亦即令應之人照署
HVH_107_04_000006_000008	事官倒用印管事地方官如有勒精沉
HVH_107_04_000006_000009	難者將管上司均交部議處其
HVH_107_04_000006_000010	支了第中有謹能辨事者俱許本
HVH_107_04_000006_000011	土官详報镇营具题請
HVH_107_04_000006_000012	皇越律倒卷四
HVH_107_04_000006_000013	史中
HVH_107_04_000006_000014	五
HVH_107_04_000006_000015	官员廉
HVH_107_04_000006_000016	首酌量给典藏街令其分管地方事務其所授
HVH_107_04_000006_000017	職街顾本土宫降二等如本土官保宣
