HVH_107_05_000001_000001	皇越律侧卷五目録
HVH_107_05_000001_000002	吏律
HVH_107_05_000001_000003	1290
HVH_107_05_000001_000004	公式
HVH_107_05_000001_000005	R
HVH_107_05_000001_000006	講讀律令
HVH_107_05_000001_000007	制書有莲
HVH_107_05_000001_000008	葉毁制書印信
HVH_107_05_000001_000009	上書奏事犯
HVH_107_05_000001_000010	事應奏不奏
HVH_107_05_000001_000011	出使不復命
HVH_107_05_000001_000012	官文書稽程
HVH_107_05_000001_000013	照文卷
HVH_107_05_000001_000014	摩勘卷宗
HVH_107_05_000001_000015	同僚代判署文案
HVH_107_05_000001_000016	增藏官文青
HVH_107_05_000001_000017	封掌印信
HVH_107_05_000001_000018	使印信
HVH_107_05_000001_000019	擅用調兵信
HVH_107_05_000001_000020	録
HVH_107_05_000001_000021	集越律例卷五更常
HVH_107_05_000001_000022	日家
HVH_107_05_000002_000001	皇越律例卷之五
HVH_107_05_000002_000002	更律
HVH_107_05_000002_000003	公式
HVH_107_05_000002_000004	講讀律令
HVH_107_05_000002_000005	九國家律令参的事情輕重定立罪名頒
HVH_107_05_000002_000006	行天下永爲遵守有司官吏务要兼讀
HVH_107_05_000002_000007	講律意剖央事務每遇年終在内在
HVH_107_05_000002_000008	外各徒上司官考校若有不能講解不
HVH_107_05_000002_000009	通律意者官罰俸一月吏笞四十0其
HVH_107_05_000002_000010	百工技藝諸色人等有能蒸讀講通
HVH_107_05_000002_000011	達律意者若犯過失及因人連累致罪
HVH_107_05_000002_000012	皇越律例人卷五美律
HVH_107_05_000002_000013	講萌律令
HVH_107_05_000002_000014	不問輕重並免一次其事干謀反叛逆
HVH_107_05_000002_000015	不用此律。若官吏人等挟詐欺公安
HVH_107_05_000002_000016	生異議擅爲更變亂成法律者斬
HVH_107_05_000002_000017	监
HVH_107_05_000002_000018	识
HVH_107_05_000002_000019	制置律令踏所说之事情参的程
HVH_107_05_000002_000020	重以定立罪使天下臣民永
HVH_107_05_000002_000021	若让同官考校有不能講解通
HVH_107_05_000002_000022	律意者官体一月更则四十
HVH_107_05_000002_000023	不建革其其自也面工技
HVH_107_05_000002_000024	所视重一以能者
HVH_107_05_000002_000025	事频重情则雖累坐并数
HVH_107_05_000002_000026	蒙知而不者者不得以
HVH_107_05_000002_000027	律今而免口成去一定永守勿替
HVH_107_05_000003_000001	若官使人等敢於挑安請更
HVH_107_05_000003_000002	欧变亂者渐峻其法以垂成
HVH_107_05_000003_000003	皇越律例二卷五支律
HVH_107_05_000003_000004	薄赠律
HVH_107_05_000004_000001	制書有途
HVH_107_05_000004_000002	部数输勃之類若奏准施行者不
HVH_107_05_000004_000003	天子之言曰制書則载其言者知
HVH_107_05_000004_000004	在此
HVH_107_05_000004_000005	丙
HVH_107_05_000004_000006	失错旨意者各减三等其稽緩制書
HVH_107_05_000004_000007	者一日答五十每一日加一等罪止杖
HVH_107_05_000004_000008	一百
HVH_107_05_000004_000009	凡制書有所施行之事官更故意
HVH_107_05_000004_000010	内事理结解行者原非有意故
HVH_107_05_000004_000011	不即奉行色放日科罪一目节五
HVH_107_05_000004_000012	十注大件
HVH_107_05_000004_000013	养止杖一百
HVH_107_05_000004_000014	'
HVH_107_05_000004_000015	皇越律利
HVH_107_05_000004_000016	卷五史律
HVH_107_05_000004_000017	二
HVH_107_05_000004_000018	制書有建
HVH_107_05_000005_000001	葉毁制書印信
HVH_107_05_000005_000002	兼毁官文書者杖一百有所规避者
HVH_107_05_000005_000003	重論事干軍機錢糧者校
HVH_107_05_000005_000004	候。事干
HVH_107_05_000005_000005	單機恐致失
HVH_107_05_000005_000006	誤故雖無续亦狡若侵欺素毁
HVH_107_05_000005_000007	欲圆规避以致臨敬告乏故罪亦同科
HVH_107_05_000005_000008	等不知者不坐誤毁者各减三等其因
HVH_107_05_000005_000009	水火益賊毁失有顯跡者不坐。若遗
HVH_107_05_000005_000010	失制書聖青印信者杖九十徒二年半
HVH_107_05_000005_000011	若官文書杖七十事千軍機钱量者杖
