HVH_107_06_000001_000001	皇越律例卷六目錄
HVH_107_06_000001_000002	户律
HVH_107_06_000001_000003	户
HVH_107_06_000001_000004	Y828
HVH_107_06_000001_000005	01241
HVH_107_06_000001_000006	R
HVH_107_06_000001_000007	716
HVH_107_06_000001_000008	T7
HVH_107_06_000001_000009	人户以籍爲定
HVH_107_06_000001_000010	隐漏丁口
HVH_107_06_000001_000011	私制庵院及私度僧道
HVH_107_06_000001_000012	立嫡子違法
HVH_107_06_000001_000013	收留迷失子女
HVH_107_06_000001_000014	赋役不均
HVH_107_06_000001_000015	丁夫差遣不平
HVH_107_06_000001_000016	逃避差役
HVH_107_06_000001_000017	私役部民夫
HVH_107_06_000001_000018	别籍異财
HVH_107_06_000001_000019	早奶私擅用财
HVH_107_06_000001_000020	田宅
HVH_107_06_000001_000021	欺隱田
HVH_107_06_000001_000022	檢踏災傷田糧
HVH_107_06_000001_000023	皇越律例
HVH_107_06_000001_000024	卷六户律
HVH_107_06_000001_000025	目
HVH_107_06_000001_000026	功臣田土
HVH_107_06_000001_000027	盗壹田宅
HVH_107_06_000001_000028	任所置田宅
HVH_107_06_000001_000029	典買田宅
HVH_107_06_000001_000030	盗耕稼官民田
HVH_107_06_000001_000031	葉毁器物稼稿等
HVH_107_06_000001_000032	擅食田園瓜果
HVH_107_06_000001_000033	私借官車船
HVH_107_06_000001_000034	目铁
HVH_107_06_000002_000001	皇越律例卷之六
HVH_107_06_000002_000002	户律
HVH_107_06_000002_000003	户役
HVH_107_06_000002_000004	人户以籍爲定
HVH_107_06_000002_000005	几軍民驛醫工樂諸色人戸以
HVH_107_06_000002_000006	爲定若作月脱免避重就
HVH_107_06_000002_000007	民
HVH_107_06_000002_000008	輕者杖八十其官司妄准脱免及变
HVH_107_06_000002_000009	改軍为民
HVH_107_06_000002_000010	版籍者罪同
HVH_107_06_000002_000011	改正当差
HVH_107_06_000002_000012	单民人等各
HVH_107_06_000002_000013	若詐稱各術軍人不當軍民差役者放
HVH_107_06_000002_000014	一百發遇遠克軍
HVH_107_06_000002_000015	诸色人户版籍吃定则差役做分世
HVH_107_06_000002_000016	皇越律侧
HVH_107_06_000002_000017	卷六华
HVH_107_06_000002_000018	世不得败若詐本輔而骨為别
HVH_107_06_000002_000019	人户籍爲定
HVH_107_06_000002_000020	其詳骨准脱漏及自變乱原定
HVH_107_06_000002_000021	籍者奥同罪入十0若前项
HVH_107_06_000002_000022	色人等詐翻各簡单人原非單籍不
HVH_107_06_000002_000023	拔放一
HVH_107_06_000002_000024	百遥抗单
HVH_107_06_000003_000001	隐漏丁口
HVH_107_06_000003_000002	兄社長隐漏丁口有家業田産者一丁
HVH_107_06_000003_000003	杖六十每一丁加一等
HVH_107_06_000003_000004	杖
HVH_107_06_000003_000005	五
HVH_107_06_000003_000006	T
HVH_107_06_000003_000007	六丁放六
HVH_107_06_000003_000008	十徒一年每三丁加一等七七丁
HVH_107_06_000003_000009	七十徒一年年餘做此0十入丁满徙
HVH_107_06_000003_000010	二十一丁以流論每五丁加一等罪止
HVH_107_06_000003_000011	满流無家業田意者一二丁免論三丁
HVH_107_06_000003_000012	杖六十每無家産三丁视有家産一丁
HVH_107_06_000003_000013	每三丁加一等
HVH_107_06_000003_000014	蒲杖
HVH_107_06_000003_000015	皇越律例卷六月
HVH_107_06_000003_000016	一等杖七十徒一年年餘做此0五
HVH_107_06_000003_000017	隐漏丁口
HVH_107_06_000003_000018	漏徒
HVH_107_06_000003_000019	一等罪止满流
HVH_107_06_000003_000020	假如隐滑有家産五丁
HVH_107_06_000003_000021	無家三丁有家五
HVH_107_06_000003_000022	丁浦杖無家藏三丁准作有家産一
HVH_107_06_000003_000023	告者十分得實保有家業丁口每丁赏
HVH_107_06_000003_000024	錢十貢無家業及未出电
HVH_107_06_000003_000025	久伯权
HVH_107_06_000003_000026	同居朱有
HVH_107_06_000003_000027	丁口丁赏錢三貫七八分得實者
HVH_107_06_000003_000028	赏錢折半五六分得實者赏三分之一
HVH_107_06_000003_000029	三四分以下停赏全不實者反坐其錢
HVH_107_06_000003_000030	一半收在社長一牛收在漏丁充赏告
HVH_107_06_000003_000031	者其满丁有家業者杖八十無家
HVH_107_06_000003_000032	者笞五十補者入簿當差社長業已隱
HVH_107_06_000004_000001	能自有者免罪若自首不盡致被育
HVH_107_06_000004_000002	漏丁交告者仍以不盡之数科罪若
HVH_107_06_000004_000003	受财隐者計
HVH_107_06_000004_000004	以枉法從
HVH_107_06_000004_000005	罪者
HVH_107_06_000004_000006	重論追赋入官村長同情容隐者减二
HVH_107_06_000004_000007	等如有豪武断過止社長不得自由
HVH_107_06_000004_000008	者即以社長隐之罪罪之社長止科
HVH_107_06_000004_000009	同情容隐之罪
HVH_107_06_000004_000010	皇律例卷六尸
HVH_107_06_000004_000011	健调丁口
HVH_107_06_000005_000001	私創庵院及私度僧道
HVH_107_06_000005_000002	九寺觀庵院除現在處所
HVH_107_06_000005_000003	额放
HVH_107_06_000005_000004	先年
HVH_107_06_000005_000005	外不許私
HVH_107_06_000005_000006	自創建增置建者杖一百僧道回俗
HVH_107_06_000005_000007	超遠克軍尼僧女尉入官爲奴
HVH_107_06_000005_000008	龙基材
HVH_107_06_000005_000009	料入馆
HVH_107_06_000005_000010	若僧道不给度牒私自簪刹者杖几
HVH_107_06_000005_000011	十若由家長家長當罪寺觀住持及受
HVH_107_06_000005_000012	業師私度者與同罪回俗
HVH_107_06_000005_000013	入精
HVH_107_06_000005_000014	当差
HVH_107_06_000005_000015	寺觀庵院徒耗民财除先年所建现
HVH_107_06_000005_000016	在者不禁外原無者不許建原有
HVH_107_06_000005_000017	查敬于乃普
HVH_107_06_000005_000018	若不給度僧人别道人私者
HVH_107_06_000005_000019	白越律例一人卷六户律
HVH_107_06_000005_000020	四
HVH_107_06_000005_000021	私树庵院及私度借道
HVH_107_06_000005_000022	十油家長谢罪坐家長
HVH_107_06_000005_000023	觀任持僧道及受業仰典私者
HVH_107_06_000005_000024	與阿罪其尼僧女尉應收與
HVH_107_06_000005_000025	持僧道及簪别之人重旧俗
HVH_107_06_000005_000026	條侧
HVH_107_06_000005_000027	僧道犯罪該回俗者查各原籍安
HVH_107_06_000005_000028	若仍於原寺觀巷院或他寺觀巷院潜
HVH_107_06_000005_000029	住者益枷號一個月照舊回俗其僧道
HVH_107_06_000005_000030	官及住持知而不舉者照莲令律治罪
HVH_107_06_000005_000031	一民間有願創造寺觀神祠者明該营
HVH_107_06_000005_000032	鎮官具题奉
HVH_107_06_000005_000033	方許營建者不候題請擅行典造者依違
HVH_107_06_000005_000034	制律論
HVH_107_06_000006_000001	民間子第十六岁以上而出家者伽號
HVH_107_06_000006_000002	個月罪坐所由僧道官及住持知
HVH_107_06_000006_000003	而不舉者各罷賊回俗
HVH_107_06_000006_000004	皇越律侧卷六律
HVH_107_06_000006_000005	五
HVH_107_06_000006_000006	承得唐及派僧道
HVH_107_06_000007_000001	立嫡子違法
HVH_107_06_000007_000002	九立嫡子法者杖八十其嫡妻年五十
HVH_107_06_000007_000003	以土無子方得立康長子不立長子者
HVH_107_06_000007_000004	非亦同若同宗之人為子所
HVH_107_06_000007_000005	養毋無子
HVH_107_06_000007_000006	付所生收管者
HVH_107_06_000007_000007	有親生子
HVH_107_06_000007_000008	本生母無子欲回者聽其乞
HVH_107_06_000007_000009	柱義于只乱宗族者杖大十者以子
HVH_107_06_000007_000010	與異人爲嗣者罪同其子宗其
HVH_107_06_000007_000011	小儿年三岁以下雖異仍妆
HVH_107_06_000007_000012	自越律例六
HVH_107_06_000007_000013	立的于造去
HVH_107_06_000007_000014	宗而单失序者罪亦如之其子
HVH_107_06_000007_000015	亦宗政立應繼之人若民之家
HVH_107_06_000007_000016	存娘男叔辉者杖一百放從艮
HVH_107_06_000007_000017	友府
HVH_107_06_000007_000018	核文律内把有馆損之法而此
HVH_107_06_000007_000019	立嫡于道者则钟土軍民言之
HVH_107_06_000007_000020	也士摩维座事承
HVH_107_06_000007_000021	上所重嫡長材之立子亦如法
HVH_107_06_000007_000022	先长于摘长有方及次子其
HVH_107_06_000007_000023	妻年五十新干方得立席長于若合楠
HVH_107_06_000007_000024	面立床含长面切焉通法杖入
HVH_107_06_000007_000025	滋之不易者也者因無于而于月
HVH_107_06_000007_000026	宗中举昭移相富之人以焉于受
HVH_107_06_000007_000027	提育之思师其失游所久無
HVH_107_06_000007_000028	靓坐于而防餐干合去者杖一百
HVH_107_06_000007_000029	付所处毋收管若所餐文已生
HVH_107_06_000007_000030	千则嗣有人及本生父先有于
HVH_107_06_000007_000031	後無子则赤的無托所生失母考重
HVH_107_06_000007_000032	所父毋無子亦智不故欲问者
HVH_107_06_000008_000001	之也其之異義子
HVH_107_06_000008_000002	為嗣是亂已之宗族矣故杖六十
HVH_107_06_000008_000003	以子與異姓人或姓為嗣是利人之
HVH_107_06_000008_000004	宗族故其罪同其子师本宗
HVH_107_06_000008_000005	若道葉小說年在三以下者雖知
HVH_107_06_000008_000006	是撰姓仍聽收费即其姓不小
HVH_107_06_000008_000007	不准同宗之人有呼失如
HVH_107_06_000008_000008	以第副兄以经称弱权祖而其耶
HVH_107_06_000008_000009	携之次也失甲之序奥族之
HVH_107_06_000008_000010	姓者其罪相等故亦得杖六十之罪
HVH_107_06_000008_000011	其于宗立之人以正序
HVH_107_06_000008_000012	废民之家存食良家男女為媒
HVH_107_06_000008_000013	壓良鸡败状一百即放健良
HVH_107_06_000008_000014	若非壓只賊不在禁限
HVH_107_06_000008_000015	條例
HVH_107_06_000008_000016	一無子者許令同宗昭穆相當之承繼
HVH_107_06_000008_000017	先同父周親次及大功小功恶麻如
HVH_107_06_000008_000018	皇越律侧卷六
HVH_107_06_000008_000019	七
HVH_107_06_000008_000020	立埔子莲
HVH_107_06_000008_000021	俱無方許擇立遠房及同姓為嗣若立
HVH_107_06_000008_000022	嗣之後却生子其家產與原立子均分
HVH_107_06_000008_000023	一婦人夫口無子守志者合承夫分須憑
HVH_107_06_000008_000024	族長挥昭穆相當之人繼嗣其改嫁者
HVH_107_06_000008_000025	夫家财產及原有奁业前夫之家
HVH_107_06_000008_000026	爲主
HVH_107_06_000008_000027	一無子立嗣除依律外若繼子不得於所
HVH_107_06_000008_000028	後之親其告官别立其或擇立賢能
HVH_107_06_000008_000029	及所親愛者若於昭穆倫序不失子許
HVH_107_06_000008_000030	宗族指以次序告争关官司受理若義
HVH_107_06_000008_000031	男女爲所後之親喜悦者聽其相爲
HVH_107_06_000009_000001	依倚不許繼子并本生丝用用計逼送
HVH_107_06_000009_000002	仍酌分给财產若無子之人家贫其
HVH_107_06_000009_000003	賣產白
HVH_107_06_000009_000004	無子立若應繼之人平日先有嫌
HVH_107_06_000009_000005	則於昭穆相当親族内擇賢撰愛聽
HVH_107_06_000009_000006	其便如族中希國财產勒令承然
HVH_107_06_000009_000007	急握以改訟者地方言立面治
HVH_107_06_000009_000008	仍將所愛之人部令立真有亏
HVH_107_06_000009_000009	婚而故婦能孀守已聘未娶媳能以女
HVH_107_06_000009_000010	身守志已婚而技婦雖未能守但
HVH_107_06_000009_000011	所蔽之人业已成立或子雖未娶而圆
HVH_107_06_000009_000012	皇越德例人卷六
HVH_107_06_000009_000013	八
HVH_107_06_000009_000014	额+运势
HVH_107_06_000009_000015	内兵陣者俱應爲其于立彼若支属
HVH_107_06_000009_000016	内實無昭穆相當可爲其子立後之人
HVH_107_06_000009_000017	而其父又無别子者應為其父立待
HVH_107_06_000009_000018	生孫以嗣應爲立後之其尋常天
HVH_107_06_000009_000019	未婚之人不得概爲立後若獨子天
HVH_107_06_000009_000020	而族中實無昭穆相当可爲其父立
HVH_107_06_000009_000021	者亦准爲未婚之子立繼如可繼之人
HVH_107_06_000009_000022	亦係獨子而情属同父周親两相情願
HVH_107_06_000009_000023	者取具族结亦准其承繼两房宗
HVH_107_06_000009_000024	视
HVH_107_06_000009_000025	一凡乞養異姓義子有情顾歸宗者不許
HVH_107_06_000010_000001	分得财産回本宗其收三岁以
HVH_107_06_000010_000002	下道葉之小兒仍依律即從其姓但不
HVH_107_06_000010_000003	得以無子逐立爲嗣仍酌分給财產俱
HVH_107_06_000010_000004	不必勒令歸宗如有希圖貲財月認歸
HVH_107_06_000010_000005	宗者照律治罪
HVH_107_06_000010_000006	皇越律测
HVH_107_06_000010_000007	卷六月
HVH_107_06_000010_000008	九
HVH_107_06_000010_000009	立摘手建法
HVH_107_06_000011_000001	收迷失子女
HVH_107_06_000011_000002	凡收留人家迷失
HVH_107_06_000011_000003	道路
HVH_107_06_000011_000004	子女不选官司
HVH_107_06_000011_000005	而賣爲奴婢者杖一百徒三年爲妻妾
HVH_107_06_000011_000006	子孫者杖九十徒二年半若得迷失奴
HVH_107_06_000011_000007	婢者各减良人罪一等被賣之人
HVH_107_06_000011_000008	而賣爲奴婢者杖九十徙二年半爲
HVH_107_06_000011_000009	妻妾子孫者杖八十徒二年若得在逃
HVH_107_06_000011_000010	奴婵而賣者各臧良人罪一等其被
HVH_107_06_000011_000011	在逃之人又各减一等若在逃之罪重
HVH_107_06_000011_000012	者自徒重論0其自收留為奴婢妻妾
HVH_107_06_000011_000013	皇越律创
HVH_107_06_000011_000014	卷六
HVH_107_06_000011_000015	十
HVH_107_06_000011_000016	收留连尖子女
HVH_107_06_000011_000017	子孫者罪亦如之隐藏在者
HVH_107_06_000011_000018	鱼杖几十0若買者及牙保知情减犯
HVH_107_06_000011_000019	人罪一等追價入官不知者俱不坐追
HVH_107_06_000011_000020	價回主0若骨認良人為奴婵者杖
HVH_107_06_000011_000021	百徒三年爲妻安子孫者杖九十徒二
HVH_107_06_000011_000022	年半骨認他人奴婢者杖一百
HVH_107_06_000011_000023	迷失者迷失追欲婦不能出於
HVH_107_06_000011_000024	时之不幸在子女無道其之心在
HVH_107_06_000011_000025	凡妆留之者俱當即遂官同召人
HVH_107_06_000011_000026	领如有不送官问将妆留人于友
