HVH_107_07_000001_000001	皇越律创卷七目録
HVH_107_07_000001_000002	力律
HVH_107_07_000001_000003	婚姻
HVH_107_07_000001_000004	612
HVH_107_07_000001_000005	NAARHE
HVH_107_07_000001_000006	21292
HVH_107_07_000001_000007	男女婚姻
HVH_107_07_000001_000008	典崔妻女
HVH_107_07_000001_000009	妾失序
HVH_107_07_000001_000010	逐婿嫁女
HVH_107_07_000001_000011	居嫁聚
HVH_107_07_000001_000012	父母囚禁嫁娶
HVH_107_07_000001_000013	同姓爲婚
HVH_107_07_000001_000014	尊早爲婚
HVH_107_07_000001_000015	娶親属妻妾
HVH_107_07_000001_000016	娶部民婦女爲妻妾
HVH_107_07_000001_000017	娶逊走婦女
HVH_107_07_000001_000018	强占良家妻女
HVH_107_07_000001_000019	僧道娶委
HVH_107_07_000001_000020	賤為婚姻
HVH_107_07_000001_000021	出妻
HVH_107_07_000001_000022	嫁娶追律主婚媒人罪
HVH_107_07_000001_000023	皇越律例卷七
HVH_107_07_000001_000024	目绿
HVH_107_07_000001_000025	目
HVH_107_07_000002_000001	皇越律例卷之七
HVH_107_07_000002_000002	户律
HVH_107_07_000002_000003	婚姻
HVH_107_07_000002_000004	男女婚姻
HVH_107_07_000002_000005	儿男文定婚之初若有残疾老奶
HVH_107_07_000002_000006	知谷從所
HVH_107_07_000002_000007	者同约
HVH_107_07_000002_000008	不願即止
HVH_107_07_000002_000009	寫立婚書
HVH_107_07_000002_000010	依禮聘嫁若許嫁女已報婚書及有私
HVH_107_07_000002_000011	女家主
HVH_107_07_000002_000012	窗五十
HVH_107_07_000002_000013	雖無婚書但愛聘則
HVH_107_07_000002_000014	本夫
HVH_107_07_000002_000015	者亦是若再許他人未成婚者
HVH_107_07_000002_000016	女家
HVH_107_07_000002_000017	主婚
HVH_107_07_000002_000018	是感律创
HVH_107_07_000002_000019	男女烟
HVH_107_07_000002_000020	杖七十巳成者杖八十後定娶者
HVH_107_07_000002_000021	者不坐追回财
HVH_107_07_000002_000022	给後定
HVH_107_07_000002_000023	娶之人
HVH_107_07_000002_000024	女歸前夫前
HVH_107_07_000002_000025	夫不願者倍追财給回其女仍從後
HVH_107_07_000002_000026	仍令委
HVH_107_07_000002_000027	银聘站
HVH_107_07_000002_000028	不追财0其未成婚男女有犯
HVH_107_07_000002_000029	城
HVH_107_07_000002_000030	请如女有残印合娜妹
HVH_107_07_000002_000031	相见後却以残奏男成之
HVH_107_07_000003_000001	财未成婚者依原定
HVH_107_07_000003_000002	所安月相见
HVH_107_07_000003_000003	之然疾兄弟
HVH_107_07_000003_000004	殊及親生之干為相如安月相儿男
HVH_107_07_000003_000005	女先已聘許他人或已
HVH_107_07_000003_000006	程
HVH_107_07_000003_000007	R
HVH_107_07_000003_000008	有室家者
HVH_107_07_000003_000009	不在仍
HVH_107_07_000003_000010	者维已纳聘财期約未至而男家强娶
HVH_107_07_000003_000011	及期約已至面女家故道期者
HVH_107_07_000003_000012	婚人
HVH_107_07_000003_000013	男女主
HVH_107_07_000003_000014	答五十若早切或仕宦或買賣在
HVH_107_07_000003_000015	外其祖父母父母及伯叔父母姑兄
HVH_107_07_000003_000016	自早切
HVH_107_07_000003_000017	出外之
HVH_107_07_000003_000018	成婚者仍谱爲婚
HVH_107_07_000003_000019	尊長所定之
HVH_107_07_000003_000020	女其别称
HVH_107_07_000003_000021	未成婚
HVH_107_07_000003_000022	者從尊長所定
HVH_107_07_000003_000023	其别嫁
HVH_107_07_000003_000024	自定者從
HVH_107_07_000003_000025	连者杖八十
HVH_107_07_000003_000026	2
HVH_107_07_000003_000027	正
HVH_107_07_000003_000028	皇越律例
HVH_107_07_000003_000029	卷七
HVH_107_07_000003_000030	-
HVH_107_07_000003_000031	男女好
HVH_107_07_000003_000032	面婚有悔消心定
HVH_107_07_000003_000033	者
HVH_107_07_000003_000034	雌婚
HVH_107_07_000003_000035	事可央电
HVH_107_07_000003_000036	之
HVH_107_07_000003_000037	差
HVH_107_07_000003_000038	巴
HVH_107_07_000003_000039	即
HVH_107_07_000003_000040	不
HVH_107_07_000003_000041	若
HVH_107_07_000003_000042	情
HVH_107_07_000003_000043	也
HVH_107_07_000003_000044	成
HVH_107_07_000003_000045	雄有
HVH_107_07_000003_000046	其德蒋婚之
HVH_107_07_000003_000047	定
HVH_107_07_000003_000048	婚
HVH_107_07_000003_000049	徒
HVH_107_07_000003_000050	已
HVH_107_07_000003_000051	婚
HVH_107_07_000003_000052	但
HVH_107_07_000003_000053	来
HVH_107_07_000003_000054	诸
HVH_107_07_000003_000055	化
HVH_107_07_000003_000056	表
HVH_107_07_000003_000057	像丽
HVH_107_07_000003_000058	再
HVH_107_07_000003_000059	亦
HVH_107_07_000003_000060	俱
HVH_107_07_000003_000061	成
HVH_107_07_000003_000062	批
HVH_107_07_000003_000063	枚
HVH_107_07_000003_000064	罪
HVH_107_07_000003_000065	婚
HVH_107_07_000003_000066	味
HVH_107_07_000003_000067	则
HVH_107_07_000003_000068	之
HVH_107_07_000003_000069	尚
HVH_107_07_000003_000070	π
HVH_107_07_000003_000071	之
HVH_107_07_000003_000072	皆
HVH_107_07_000003_000073	未
HVH_107_07_000003_000074	其
HVH_107_07_000003_000075	十则
HVH_107_07_000003_000076	事
HVH_107_07_000003_000077	男
HVH_107_07_000003_000078	者
HVH_107_07_000003_000079	十
HVH_107_07_000003_000080	不脏
HVH_107_07_000003_000081	家若
HVH_107_07_000003_000082	教入
HVH_107_07_000003_000083	亦杖
HVH_107_07_000003_000084	坐故
HVH_107_07_000003_000085	其
HVH_107_07_000003_000086	罪入罪
HVH_107_07_000003_000087	巴
HVH_107_07_000003_000088	追官同七知十巴
HVH_107_07_000003_000089	疾
HVH_107_07_000003_000090	人
HVH_107_07_000003_000091	或
HVH_107_07_000003_000092	停
HVH_107_07_000003_000093	成
HVH_107_07_000003_000094	回不也十其坐失婚而猶者仍私女家初
HVH_107_07_000003_000095	则
HVH_107_07_000003_000096	财知财娶悔罪而则悔未也合的家娶明如有单本所
HVH_107_07_000003_000097	金人老如则年不相俱
HVH_107_07_000003_000098	非
HVH_107_07_000003_000099	人
HVH_107_07_000003_000100	情
HVH_107_07_000003_000101	也
HVH_107_07_000003_000102	過
HVH_107_07_000003_000103	新
HVH_107_07_000003_000104	则
HVH_107_07_000003_000105	夕则
HVH_107_07_000003_000106	美
HVH_107_07_000003_000107	子
HVH_107_07_000003_000108	親
HVH_107_07_000003_000109	于
HVH_107_07_000003_000110	子也
HVH_107_07_000003_000111	吴男女域亦有不
HVH_107_07_000003_000112	照
HVH_107_07_000003_000113	颐
HVH_107_07_000003_000114	務
HVH_107_07_000003_000115	者
HVH_107_07_000003_000116	要
HVH_107_07_000003_000117	定
HVH_107_07_000003_000118	男
HVH_107_07_000003_000119	女婚
HVH_107_07_000003_000120	需之
HVH_107_07_000003_000121	福
HVH_107_07_000003_000122	为
HVH_107_07_000003_000123	若依
HVH_107_07_000003_000124	期
HVH_107_07_000003_000125	萧嫁
HVH_107_07_000003_000126	遇
HVH_107_07_000003_000127	婚
HVH_107_07_000003_000128	书
HVH_107_07_000003_000129	或
HVH_107_07_000003_000130	有
HVH_107_07_000003_000131	鲁
HVH_107_07_000003_000132	聘
HVH_107_07_000003_000133	而
HVH_107_07_000003_000134	悔
HVH_107_07_000003_000135	等
HVH_107_07_000003_000136	−
HVH_107_07_000003_000137	十
HVH_107_07_000004_000001	0
HVH_107_07_000004_000002	久朔已你仍前夫前夫不娶
HVH_107_07_000004_000003	i
HVH_107_07_000004_000004	侯夫谢聚以上皆言友家学及後
HVH_107_07_000004_000005	定发人之开也若男家俩者罪亦如
HVH_107_07_000004_000006	G
HVH_107_07_000004_000007	已有其女前夫不顿聽從後天
HVH_107_07_000004_000008	後聘不目已安典前性後定不
HVH_107_07_000004_000009	以斯仍前女益女家悔
HVH_107_07_000004_000010	2
HVH_107_07_000004_000011	装成
HVH_107_07_000004_000012	許
HVH_107_07_000004_000013	同
HVH_107_07_000004_000014	目
HVH_107_07_000004_000015	者其事不同也若必辨具别
HVH_107_07_000004_000016	惟
HVH_107_07_000004_000017	非人消齐非律意美未成
HVH_107_07_000004_000018	学鹏德侯膀青另嫁已成婚
HVH_107_07_000004_000019	依娶图聚聽原者方嫁俱不
HVH_107_07_000004_000020	睡则谓法两类其树已足
HVH_107_07_000004_000021	娶别不在無故体婚之限放日
HVH_107_07_000004_000022	用此律益记盗係不断于人之
HVH_107_07_000004_000023	券
HVH_107_07_000004_000024	男女婚烟
HVH_107_07_000004_000025	非线疾等之比安月者
HVH_107_07_000004_000026	假
HVH_107_07_000004_000027	借
HVH_107_07_000004_000028	法始场安拜也男友同
HVH_107_07_000004_000029	避之露其爲婚者
HVH_107_07_000004_000030	建主婚人管五十
HVH_107_07_000004_000031	由祖父尊長秀主若早
HVH_107_07_000004_000032	异
HVH_107_07_000004_000033	2
HVH_107_07_000004_000034	劣文無委月等茨干
HVH_107_07_000004_000035	長為之定婚面早
