HVH_107_09_000001_000001	皇越律例卷九目録
HVH_107_09_000001_000002	禮律
HVH_107_09_000001_000003	祭祀
HVH_107_09_000001_000004	奈享
HVH_107_09_000001_000005	毁大壇
HVH_107_09_000001_000006	致祭祀典神祗
HVH_107_09_000001_000007	歷代帝王陵
HVH_107_09_000001_000008	神明
HVH_107_09_000001_000009	禁止师巫邪術
HVH_107_09_000001_000010	儀制
HVH_107_09_000001_000011	合和御藥
HVH_107_09_000001_000012	乘典服御物
HVH_107_09_000001_000013	收藏禁書
HVH_107_09_000001_000014	御赐天物
HVH_107_09_000001_000015	失誤朝贺
HVH_107_09_000001_000016	失儀
HVH_107_09_000001_000017	奏對失序
HVH_107_09_000001_000018	朝見留難
HVH_107_09_000001_000019	皇越律例
HVH_107_09_000001_000020	卷九律
HVH_107_09_000001_000021	上書陳言
HVH_107_09_000001_000022	禁止迎逸
HVH_107_09_000001_000023	公差人員欺長官
HVH_107_09_000001_000024	服舍式
HVH_107_09_000001_000025	僧道拜父母
HVH_107_09_000001_000026	失占天象
HVH_107_09_000001_000027	術士安言福
HVH_107_09_000001_000028	匿父毋夫丧
HVH_107_09_000001_000029	棄親之任
HVH_107_09_000001_000030	丧
HVH_107_09_000001_000031	卿饮酒禮
HVH_107_09_000001_000032	阻人家事
HVH_107_09_000001_000033	目绿
HVH_107_09_000002_000001	皇雄律例卷之九
HVH_107_09_000002_000002	禮律
HVH_107_09_000002_000003	奈祀
HVH_107_09_000002_000004	蔡享
HVH_107_09_000002_000005	隆部堂得
HVH_107_09_000002_000006	将齊则先警戒
HVH_107_09_000002_000007	将戒则先告示
HVH_107_09_000002_000008	不将祭祀日期豫先
HVH_107_09_000002_000009	者答五十西杯面失
HVH_107_09_000002_000010	7
HVH_107_09_000002_000011	誤行事者放一百其已承告示面失
HVH_107_09_000002_000012	者罪坐失誤之人亦杖一百0若
HVH_107_09_000002_000013	博制
HVH_107_09_000002_000014	戒
HVH_107_09_000002_000015	殺文書及預筵宴者音罰体一月其
HVH_107_09_000002_000016	皇慧律创
HVH_107_09_000002_000017	奈享
HVH_107_09_000002_000018	所司知百官有思麻以上丧或售程杖
HVH_107_09_000002_000019	罪遣克轨事及令陪祀者罪同不知者
HVH_107_09_000002_000020	不坐若有丧有通不自言者罪亦知之
HVH_107_09_000002_000021	其已受普戒人员徽不宿室致
HVH_107_09_000002_000022	不宿本司者並罰一月0若大
HVH_107_09_000002_000023	祀牲牛玉帛黍稷之屬不如法者管五
HVH_107_09_000002_000024	十一事飲少者杖入十一座全飲者杖
HVH_107_09_000002_000025	發准
HVH_107_09_000002_000026	喂養不如法致有瘦损者一牲答四十
HVH_107_09_000002_000027	每一牲加一等罪止杖入十因而致死
HVH_107_09_000002_000028	者加一等。中祀有犯者罪目价
HVH_107_09_000002_000029	准此
HVH_107_09_000003_000001	例
HVH_107_09_000003_000002	值
HVH_107_09_000003_000003	都堂若
HVH_107_09_000003_000004	典所
HVH_107_09_000003_000005	载
HVH_107_09_000003_000006	不将應成日
HVH_107_09_000003_000007	之
HVH_107_09_000003_000008	大祀及
HVH_107_09_000003_000009	四
HVH_107_09_000003_000010	特
HVH_107_09_000003_000011	潮
HVH_107_09_000003_000012	期
HVH_107_09_000003_000013	享
HVH_107_09_000003_000014	预
HVH_107_09_000003_000015	先所
HVH_107_09_000003_000016	面
HVH_107_09_000003_000017	失
HVH_107_09_000003_000018	如不到而失誤行事或到後
HVH_107_09_000003_000019	而
HVH_107_09_000003_000020	不
HVH_107_09_000003_000021	所
HVH_107_09_000003_000022	司
HVH_107_09_000003_000023	過也罪坐失課之人
HVH_107_09_000003_000024	所司知而遣者罪同体不
HVH_107_09_000003_000025	官
HVH_107_09_000003_000026	避知陪一志疾於
HVH_107_09_000003_000027	死
HVH_107_09_000003_000028	心
HVH_107_09_000003_000029	失筒陈列失次不
HVH_107_09_000003_000030	15
HVH_107_09_000003_000031	皇越钟
HVH_107_09_000003_000032	卷九禮年
HVH_107_09_000003_000033	不如法瘦损久数无者音
HVH_107_09_000003_000034	。
HVH_107_09_000003_000035	若主司牲者将奉大礼牲
HVH_107_09_000003_000036	平
HVH_107_09_000003_000037	条享
