HVH_107_10_000001_000001	皇越律侧卷十目録
HVH_107_10_000001_000002	兵律
HVH_107_10_000001_000003	N
HVH_107_10_000001_000004	a1295
HVH_107_10_000001_000005	R.728
HVH_107_10_000001_000006	官衛
HVH_107_10_000001_000007	太廟門擅入
HVH_107_10_000001_000008	宫殿門擅入
HVH_107_10_000001_000009	宿衛守衛人私自代替
HVH_107_10_000001_000010	從駕稽连
HVH_107_10_000001_000011	直行御道
HVH_107_10_000001_000012	丙府工作人匠替後
HVH_107_10_000001_000013	4
HVH_107_10_000001_000014	宫殿造作罷不出
HVH_107_10_000001_000015	出人宮殿門
HVH_107_10_000001_000016	防内使出入
HVH_107_10_000001_000017	向宫殿射箭
HVH_107_10_000001_000018	宿衛人兵仗
HVH_107_10_000001_000019	禁經斷人充宿衛
HVH_107_10_000001_000020	衝突儀仗
HVH_107_10_000001_000021	行宮營門
HVH_107_10_000001_000022	越城
HVH_107_10_000001_000023	門禁鑽鑰
HVH_107_10_000001_000024	皇越律例卷十律
HVH_107_10_000001_000025	目
HVH_107_10_000001_000026	軍政
HVH_107_10_000001_000027	擅調官軍
HVH_107_10_000001_000028	申報軍務
HVH_107_10_000001_000029	飛報軍情
HVH_107_10_000001_000030	漏泄軍情大事
HVH_107_10_000001_000031	境申索軍需
HVH_107_10_000001_000032	失誤軍事
HVH_107_10_000001_000033	從征期
HVH_107_10_000001_000034	軍人替役
HVH_107_10_000001_000035	主将不固守
HVH_107_10_000001_000036	縱軍掠
HVH_107_10_000001_000037	不操練軍士
HVH_107_10_000001_000038	激爱良民
HVH_107_10_000001_000039	私賣軍器
HVH_107_10_000001_000040	乘軍
HVH_107_10_000001_000041	私藏應禁軍器
HVH_107_10_000001_000042	縱放軍人歡役
HVH_107_10_000001_000043	公侯私役官軍
HVH_107_10_000001_000044	從征守禦官軍逊
HVH_107_10_000001_000045	優恤軍属
HVH_107_10_000001_000046	夜禁
HVH_107_10_000001_000047	目
HVH_107_10_000002_000001	皇越律例卷之十
HVH_107_10_000002_000002	兵律
HVH_107_10_000002_000003	宫衛
HVH_107_10_000002_000004	太廟門擅入
HVH_107_10_000002_000005	九人太廟門及山陵兆域門者杖一
HVH_107_10_000002_000006	百太社門杖九十
HVH_107_10_000002_000007	但至
HVH_107_10_000002_000008	未過门限者谷
HVH_107_10_000002_000009	减一等守衛官故税者各與犯人同罪
HVH_107_10_000002_000010	失觉察者减三等
HVH_107_10_000002_000011	太山陵皆尊最禁地太社次之
HVH_107_10_000002_000012	有守衛無故不得人若入而越過
HVH_107_10_000002_000013	门限太及山陵光城門放一百太
HVH_107_10_000002_000014	社門杖九十至門面未限者
HVH_107_10_000002_000015	各一等陵杖九十太社八十
HVH_107_10_000002_000016	守衡故鞭各共已未通門限犯人同
HVH_107_10_000002_000017	越律例
HVH_107_10_000002_000018	卷十兵律
HVH_107_10_000002_000019	太廟門招入
HVH_107_10_000002_000020	罪失觉察者藏
HVH_107_10_000002_000021	故樊罪三等
HVH_107_10_000003_000001	宫殿門入
HVH_107_10_000003_000002	左右端门仁彭德共辰
HVH_107_10_000003_000003	各门。無联役面擅入者
HVH_107_10_000003_000004	及禁花者各
HVH_107_10_000003_000005	杖一百檀入宫殿門放六十徒一年擅
HVH_107_10_000003_000006	者各减一等
HVH_107_10_000003_000007	俯御者太皇太后
HVH_107_10_000003_000008	门籍月
HVH_107_10_000003_000009	但
HVH_107_10_000003_000010	人
HVH_107_10_000003_000011	之其應入官之人未着門
HVH_107_10_000003_000012	入或当下直而入及宿次未到
HVH_107_10_000003_000013	入解
HVH_107_10_000003_000014	到而宿者各答四十。者不
HVH_107_10_000003_000015	建次
HVH_107_10_000003_000016	宿衛應直合带兵仗之人但持寸及入
HVH_107_10_000003_000017	慧律侧
HVH_107_10_000003_000018	卷十
HVH_107_10_000003_000019	00
HVH_107_10_000003_000020	合门入
HVH_107_10_000003_000021	富殿門内者校
HVH_107_10_000003_000022	者
HVH_107_10_000003_000023	监
HVH_107_10_000003_000024	候不言未入门限
HVH_107_10_000003_000025	紫禁城門内者杖一百遠充軍。
HVH_107_10_000003_000026	门官及宿衛官軍故者各與犯人同
HVH_107_10_000003_000027	一等
HVH_107_10_000003_000028	通常
HVH_107_10_000003_000029	紫禁城旋居之地理應市各门及
HVH_107_10_000003_000030	等禁城門杖九十宫杖一有
HVH_107_10_000003_000031	取御在所放
HVH_107_10_000003_000032	百流一里。门
HVH_107_10_000004_000001	名之人关有门箱人性名
HVH_107_10_000004_000002	紫禁城并各門禁苑宫门收御膳
HVH_107_10_000004_000003	在所请罪亦如之月人們入也
HVH_107_10_000004_000004	上入未通門限分科
HVH_107_10_000004_000005	新。以上辖人月入指不應人者
HVH_107_10_000004_000006	言其應人宫之人维不在禁亦
HVH_107_10_000004_000007	入若未着門入或當下直之期
HVH_107_10_000004_000008	及未到宿次之日面入宿者
HVH_107_10_000004_000009	答四十0作宿衛應直合带兵仗
HVH_107_10_000004_000010	借常若不保人寸及
HVH_107_10_000004_000011	入官装門内者散入紫禁城各門内
HVH_107_10_000004_000012	者放一百遠充軍。統水上信
HVH_107_10_000004_000013	入而不同者各典推入月入未着门
HVH_107_10_000004_000014	第等入持开入各项犯人同罪至死
HVH_107_10_000004_000015	诚流先党察者减所同罪三等
HVH_107_10_000004_000016	诚四等罪止教九十官衛有上直
HVH_107_10_000004_000017	下值之分並葬坐偷日者並字指門
HVH_107_10_000004_000018	官宿衡
HVH_107_10_000004_000019	而言
HVH_107_10_000004_000020	越律侧员
HVH_107_10_000004_000021	卷十兵律
HVH_107_10_000004_000022	三
HVH_107_10_000004_000023	官装门入
HVH_107_10_000004_000024	f
HVH_107_10_000004_000025	d
HVH_107_10_000004_000026	1
HVH_107_10_000005_000001	宿衛守衛人私自代替
HVH_107_10_000005_000002	几宫禁宿衛及紫禁城皇城門守人應
HVH_107_10_000005_000003	直不直者笞四十以應宿衛守人
HVH_107_10_000005_000004	A之
HVH_107_10_000005_000005	私自代替及替之人各杖六十以不
HVH_107_10_000005_000006	保宿街守衛人月各私自代替及替之
HVH_107_10_000005_000007	人各杖一百官员各加一等若在直
HVH_107_10_000005_000008	司
HVH_107_10_000005_000009	目知面故縱者各與犯人同罪失觉察
HVH_107_10_000005_000010	而逊者罪亦如之
HVH_107_10_000005_000011	门一等各庭城門又一等親管頭
HVH_107_10_000005_000012	者三等有故而走所管告知者不坐
HVH_107_10_000005_000013	宫禁宿衛及紫禁城皇城门守人
HVH_107_10_000005_000014	皆输班上直各有定期應上直面不
HVH_107_10_000005_000015	皇越律例
HVH_107_10_000005_000016	卷十兵
HVH_107_10_000005_000017	四
HVH_107_10_000005_000018	宿街宇人私自代替
HVH_107_10_000005_000019	上直者雖有職之慰止是榆安之
HVH_107_10_000005_000020	退故答四十已上直而以下直者
HVH_107_10_000005_000021	自代替序本應宿守之人
HVH_107_10_000005_000022	相隐奸情重于不直散其替
HVH_107_10_000005_000023	之者各十以缩
HVH_107_10_000005_000024	自各代替慨不保本應宿守之
HVH_107_10_000005_000025	人面发其储重赞
HVH_107_10_000005_000026	京域九門各庭城門守門之人有應
HVH_107_10_000005_000027	略
HVH_107_10_000005_000028	知不直在应替月替而救不
HVH_107_10_000005_000029	者爷失犯人同罪失於党察者各题
HVH_107_10_000005_000030	北人组诚三等宫禁紫禁皇城京城
HVH_107_10_000005_000031	外城各宿守之人若有疾病死等
HVH_107_10_000005_000032	事故赴所管頭
HVH_107_10_000005_000033	目告知者不坐
HVH_107_10_000006_000001	從駕稽遣
HVH_107_10_000006_000002	九理
HVH_107_10_000006_000003	應從車駕之人違
HVH_107_10_000006_000004	定期不到及
HVH_107_10_000006_000005	之
HVH_107_10_000006_000006	從而先回去者一日答四十每三日加
HVH_107_10_000006_000007	一等罪止杖一百職官有犯各加一等
HVH_107_10_000006_000008	业若從車駕行而者杖
HVH_107_10_000006_000009	十徒一年
HVH_107_10_000006_000010	百條邊充軍職官親管頭目
HVH_107_10_000006_000011	故縱
HVH_107_10_000006_000012	在道
HVH_107_10_000006_000013	不到先
HVH_107_10_000006_000014	者各典犯人同罪
HVH_107_10_000006_000015	至死波
HVH_107_10_000006_000016	一等
HVH_107_10_000006_000017	失觉察者减三等罪止杖一百
HVH_107_10_000006_000018	應從駕而期從行面先回均
HVH_107_10_000006_000019	有慢君之罪而其情健
HVH_107_10_000006_000020	十九日上罪止杖一百此指軍人
HVH_107_10_000006_000021	言也職官有犯各加一等0從驾面
HVH_107_10_000006_000022	逊已有背去之心则先回之比军
HVH_107_10_000006_000023	皇越律创
HVH_107_10_000006_000024	享
HVH_107_10_000006_000025	卷十兵律
HVH_107_10_000006_000026	五
HVH_107_10_000006_000027	從驾稽莲
HVH_107_10_000006_000028	人满校職官校觀管目
HVH_107_10_000006_000029	故縱其期先回在者爷共犯人
HVH_107_10_000006_000030	同罪至死减流失干党者照
HVH_107_10_000006_000031	犯人罪各减三等罪止杖一百
HVH_107_10_000007_000001	直行御道
HVH_107_10_000007_000002	除侍衛
HVH_107_10_000007_000003	官軍導從車駕出入許於東西两旁行
HVH_107_10_000007_000004	走外其徐交武百官軍民人等
HVH_107_10_000007_000005	非侍街
HVH_107_10_000007_000006	尊代
HVH_107_10_000007_000007	無故於上直行及度御橋者杖八十
HVH_107_10_000007_000008	若於宫殿中直行御道者杖一百守衛
HVH_107_10_000007_000009	官故縱者各奥犯人同罪失党察者减
HVH_107_10_000007_000010	三等若於御道上横過係一時經行者
HVH_107_10_000007_000011	不在禁限
HVH_107_10_000007_000012	面直行者亦准律科所
HVH_107_10_000007_000013	在外街门能亭儀仗已散
HVH_107_10_000007_000014	端門外之中道日御道橋日卸橋皆
HVH_107_10_000007_000015	至章出入之路养臣民所得行者
HVH_107_10_000007_000016	仗已設無故直行御道及度鄉
HVH_107_10_000007_000017	桥坐重杖至宫殿中之都道乃極
HVH_107_10_000007_000018	皇越律例
HVH_107_10_000007_000019	卷十兵华
HVH_107_10_000007_000020	六
HVH_107_10_000007_000021	直行师道
HVH_107_10_000007_000022	耀行不
HVH_107_10_000007_000023	在禁限
HVH_107_10_000007_000024	條倒
HVH_107_10_000007_000025	一九至下馬牌不下而竟過者答五十看
HVH_107_10_000007_000026	守人役失於防範者答四十
HVH_107_10_000008_000001	内府工作人匠替役
HVH_107_10_000008_000002	物务
HVH_107_10_000008_000003	府及丙庫工作若不親身牌入内應
HVH_107_10_000008_000004	私自代替及替之人
HVH_107_10_000008_000005	各杖一百届工錢入官
HVH_107_10_000008_000006	色當班工匠及养验物各行人
HVH_107_10_000008_000007	後淤承直之日极内府库工作
HVH_107_10_000008_000008	替及替文诸格崔錢入
HVH_107_10_000008_000009	官此不應眉替彼不應受雇也
HVH_107_10_000008_000010	皇越律例一卷十兵律
HVH_107_10_000008_000011	七
HVH_107_10_000008_000012	西府工作人替役
HVH_107_10_000009_000001	宫殿造作罷不出
HVH_107_10_000009_000002	点名放人工作至申時分须相
HVH_107_10_000009_000003	形貌照数點出其不出者监工
HVH_107_10_000009_000004	及提調内監門官守衛官軍點舰如原
HVH_107_10_000009_000005	大各数短少就便接提随即奏聞知而
HVH_107_10_000009_000006	不举者犯人同罪至死诚
HVH_107_10_000009_000007	等
HVH_107_10_000009_000008	失觉察者
HVH_107_10_000009_000009	三等罪止杖一百
HVH_107_10_000009_000010	宫内有造作之事應用在外工匠
HVH_107_10_000009_000011	即途之地驗出入替察必宜
HVH_107_10_000009_000012	依所以防养常也其留在内不
HVH_107_10_000009_000013	者雄無他故亦钱監工官提調官
HVH_107_10_000009_000014	皇越律树人十兵律
HVH_107_10_000009_000015	宫發造作带不出
HVH_107_10_000009_000016	鬥官守衛馆军者由照視者
HVH_107_10_000009_000017	尚之晴视原放人数目短少就便楼
HVH_107_10_000009_000018	捉随督奏网监工等官内有明知短
HVH_107_10_000009_000019	少人数百不即接提奏聞者典犯人
HVH_107_10_000009_000020	同罪依名例减流失觉察
HVH_107_10_000009_000021	者减三等罪止放一百
HVH_107_10_000010_000001	出入宫门
HVH_107_10_000010_000002	門撞入條泰此
HVH_107_10_000010_000003	解注此条當宫
HVH_107_10_000010_000004	九應出宫殿
HVH_107_10_000010_000005	如差而門箱已除留
HVH_107_10_000010_000006	假等頂
HVH_107_10_000010_000007	條不言门官及窗
HVH_107_10_000010_000008	官军校猴失察者已
HVH_107_10_000010_000009	不出及
HVH_107_10_000010_000010	直被告已有公文禁止
HVH_107_10_000010_000011	之人
HVH_107_10_000010_000012	有整入可引也
HVH_107_10_000010_000013	若宿人已被奏劾者本司先收其
HVH_107_10_000010_000014	兵仗者罪亦如之若於宫殿門雖
HVH_107_10_000010_000015	有错直至夜皆不得出入若入者杖一
HVH_107_10_000010_000016	惠
HVH_107_10_000010_000017	百出者杖八十無籍夜人者加二等若
HVH_107_10_000010_000018	皇越律例卷
HVH_107_10_000010_000019	交蔡止勿入未除籍不得入
HVH_107_10_000010_000020	美面人宫做者各一百0宿人
HVH_107_10_000010_000021	几
HVH_107_10_000010_000022	出入宫門
HVH_107_10_000010_000023	其饮以催非常已被劫奏是情弄
HVH_107_10_000010_000024	中
HVH_107_10_000011_000001	防丙使出入
HVH_107_10_000011_000002	九丙監奉御内使但遇出外各守門官
HVH_107_10_000011_000003	须要收留本人在身防牌面於簿
HVH_107_10_000011_000004	上日記姓名字號明白附馬前去
HVH_107_10_000011_000005	某處幹辨是何事務其門官與守衛官
HVH_107_10_000011_000006	軍檢沿身别無夾带
HVH_107_10_000011_000007	器物
HVH_107_10_000011_000008	官私
HVH_107_10_000011_000009	方許放出
HVH_107_10_000011_000010	回時一體抄檢給牌入丙以逐月稽
HVH_107_10_000011_000011	考出外次数但有掺出應干雜藥就今
HVH_107_10_000011_000012	带樂
HVH_107_10_000011_000013	人
HVH_107_10_000011_000014	不服掺檢者杖一百
HVH_107_10_000011_000015	淡附
HVH_107_10_000011_000016	近
HVH_107_10_000011_000017	充军若非奉首私将兵器進
HVH_107_10_000011_000018	紫禁城門内者杖一百發達充軍
HVH_107_10_000011_000019	呈越律例卷十共
HVH_107_10_000011_000020	十
HVH_107_10_000011_000021	随防内使出入
HVH_107_10_000011_000022	宫殿門内者校
HVH_107_10_000011_000023	失於檢者與犯人同罪
HVH_107_10_000011_000024	至死成一等
HVH_107_10_000011_000025	内使倒不
HVH_107_10_000011_000026	单
HVH_107_10_000011_000027	须做本律
HVH_107_10_000011_000028	百充罩有将者其法
HVH_107_10_000011_000029	也其物奉明肯将入紫禁
HVH_107_10_000011_000030	城门内者放
HVH_107_10_000011_000031	檢者共私将兵罢犯人同罪至死减
HVH_107_10_000011_000032	虎
HVH_107_10_000012_000001	向宫殿射箭
HVH_107_10_000012_000002	几向太廊及宫殿射箭放碑投磚石者
HVH_107_10_000012_000003	須石可
HVH_107_10_000012_000004	及乃坐之
HVH_107_10_000012_000005	及當諭但傷人者
HVH_107_10_000012_000006	若逮不能
HVH_107_10_000012_000007	监候則後人者
HVH_107_10_000012_000008	可知若箭石不
HVH_107_10_000012_000009	及数傷处人
HVH_107_10_000012_000010	者不用此律
HVH_107_10_000012_000011	大及宫殿背津禁地太耻次之
HVH_107_10_000012_000012	若向此射箭放牵收部石是無总
HVH_107_10_000012_000013	呈越律例
HVH_107_10_000012_000014	卷十兵律
HVH_107_10_000012_000015	士
HVH_107_10_000012_000016	创官聚考肴
HVH_107_10_000013_000001	宿衛人兵仗
HVH_107_10_000013_000002	九宿衛人兵仗不離身違者答四十
HVH_107_10_000013_000003	雕職掌處所笞五十别處宿
HVH_107_10_000013_000004	六十官员各加一等親管頭目知而不
HVH_107_10_000013_000005	举者典犯人同罪失党察者减三等
HVH_107_10_000013_000006	宿请非常上直文人兵做不
HVH_107_10_000013_000007	御難身遣者答+分定職掌所
HVH_107_10_000013_000008	不許而如者苦五十是输赠
HVH_107_10_000013_000009	離干遂於到處道宿者杖
HVH_107_10_000013_000010	管目知其兵離身别窗面
HVH_107_10_000013_000011	不舉問者各失犯人同罪失於觉
HVH_107_10_000013_000012	者於犯人本罪及
HVH_107_10_000013_000013	邯等上各减三等
HVH_107_10_000013_000014	皇越例卷
HVH_107_10_000013_000015	士
HVH_107_10_000013_000016	客衡人具餐
HVH_107_10_000014_000001	禁經断人充宿衛
HVH_107_10_000014_000002	随即發别住坐其
HVH_107_10_000014_000003	所
HVH_107_10_000014_000004	吴名
HVH_107_10_000014_000005	本
HVH_107_10_000014_000006	親
HVH_107_10_000014_000007	人等并一應
HVH_107_10_000014_000008	得大充近侍及宿衛守把皇城京城
HVH_107_10_000014_000009	门禁若
HVH_107_10_000014_000010	质荫
HVH_107_10_000014_000011	项情由
HVH_107_10_000014_000012	朦充當者假其賞
HVH_107_10_000014_000013	該官司不為用心詳審或聽人属記反
HVH_107_10_000014_000014	爱财容令充当者罪同
HVH_107_10_000014_000015	及起街人
HVH_107_10_000014_000016	极利规属
HVH_107_10_000014_000017	奉有将音充曾覆奏
HVH_107_10_000014_000018	男立文案者
HVH_107_10_000014_000019	及官司
HVH_107_10_000014_000020	在京草民各死罪已被利之家
HVH_107_10_000014_000021	月居其差人口即邀别郡其不同居
HVH_107_10_000014_000022	皇越律倒
HVH_107_10_000014_000023	卷十兵律
HVH_107_10_000014_000024	三
HVH_107_10_000014_000025	禁人光富
HVH_107_10_000014_000026	之親属人等普犯一應輕重讲名曾
HVH_107_10_000014_000027	程新之人益不得入充近待及宿
HVH_107_10_000014_000028	衛美把守皇城京城門禁若悠前
HVH_107_10_000014_000029	项情故碳胞充当者新当试官可
HVH_107_10_000014_000030	充之特不為用详審来歷或他
HVH_107_10_000014_000031	人属及受本人财朋容令克當者
HVH_107_10_000014_000032	坐新。若刑人親属及人有
HVH_107_10_000014_000033	将言送充者當官同群前情覆奏
HVH_107_10_000014_000034	明白者
HVH_107_10_000014_000035	不在此限
HVH_107_10_000015_000001	衡突儀仗
HVH_107_10_000015_000002	爲儀仗仗之再即為禁地
HVH_107_10_000015_000003	九車驾行幸之处其前刻者
HVH_107_10_000015_000004	九車駕行處除近侍及宿衛護驾官軍外
HVH_107_10_000015_000005	其餘軍民並须避衝入儀仗丙者
HVH_107_10_000015_000006	保辩犯准
HVH_107_10_000015_000007	徒五年
HVH_107_10_000015_000008	若在郊野之外一時不能翅
HVH_107_10_000015_000009	避者聽俯伏以待其交武百官
HVH_107_10_000015_000010	非奉宣無故入儀仗丙者杖一百
HVH_107_10_000015_000011	典仗護衛官軍故縱者犯人同罪不
HVH_107_10_000015_000012	党者三等若有申訴冤抑者止
HVH_107_10_000015_000013	於仗外俯伏以聽若衡入儀仗内面所
HVH_107_10_000015_000014	訴事不實者较
HVH_107_10_000015_000015	得實者免罪
HVH_107_10_000015_000016	徙五年
HVH_107_10_000015_000017	軍民之家機放牲畜若衛不備因
HVH_107_10_000015_000018	皇题律例一卷十
HVH_107_10_000015_000019	西
HVH_107_10_000015_000020	简灸微仪
HVH_107_10_000015_000021	而衝突儀仪者杖八十衡入禁
HVH_107_10_000015_000022	以不應重律論
HVH_107_10_000015_000023	黑
HVH_107_10_000015_000024	在所保
HVH_107_10_000015_000025	近待人员及衛官軍概不得
HVH_107_10_000015_000026	入仗之内取民人等車驾行
