HVH_107_12_000001_000001	皇越律例卷十二目録
HVH_107_12_000001_000002	刑律
HVH_107_12_000001_000003	S888
HVH_107_12_000001_000004	V0
HVH_107_12_000001_000005	2
HVH_107_12_000001_000006	賊盗上
HVH_107_12_000001_000007	謀反大道
HVH_107_12_000001_000008	謀叛
HVH_107_12_000001_000009	造妖書妖言
HVH_107_12_000001_000010	盗大爬神御物
HVH_107_12_000001_000011	盗制
HVH_107_12_000001_000012	盗印信
HVH_107_12_000001_000013	益内府财物
HVH_107_12_000001_000014	盗城門鑰
HVH_107_12_000001_000015	盗軍器
HVH_107_12_000001_000016	盗圆陵樹木
HVH_107_12_000001_000017	監守自益倉庫錢常人盗倉庫錢
HVH_107_12_000001_000018	强益
HVH_107_12_000001_000019	賊盗中
HVH_107_12_000001_000020	皇越律侧
HVH_107_12_000001_000021	卷三
HVH_107_12_000001_000022	刑律
HVH_107_12_000001_000023	目録
HVH_107_12_000001_000024	劫因
HVH_107_12_000001_000025	白書搶奪
HVH_107_12_000001_000026	竊盗
HVH_107_12_000001_000027	盗馬牛畜産
HVH_107_12_000001_000028	盗田野麥
HVH_107_12_000001_000029	目錄茶
HVH_107_12_000002_000001	皇越律例卷之十二
HVH_107_12_000002_000002	刑律
HVH_107_12_000002_000003	贼盗上
HVH_107_12_000002_000004	謀反大逆
HVH_107_12_000002_000005	九謀反
HVH_107_12_000002_000006	不
HVH_107_12_000002_000007	利丹周謂
HVH_107_12_000002_000008	范社
HVH_107_12_000002_000009	利君
HVH_107_12_000002_000010	称证共集者為正纪
HVH_107_12_000002_000011	皆波运祖父子称
HVH_107_12_000002_000012	陵及
HVH_107_12_000002_000013	宫
HVH_107_12_000002_000014	但共謀者不分首從
HVH_107_12_000002_000015	记味皆麦滙
HVH_107_12_000002_000016	行
HVH_107_12_000002_000017	俱绿坐之弈共
HVH_107_12_000002_000018	禁之人也同居之人
HVH_107_12_000002_000019	處死
HVH_107_12_000002_000020	正
HVH_107_12_000002_000021	之
HVH_107_12_000002_000022	祖父父子孙兄弟及同居之
HVH_107_12_000002_000023	下注日属明
HVH_107_12_000002_000024	本族之有服者可知
HVH_107_12_000002_000025	不分具姓及
HVH_107_12_000002_000026	吴曰叶祖父妻父文
