HVH_107_13_000001_000001	皇越律例卷十三目録
HVH_107_13_000001_000002	刑律
HVH_107_13_000001_000003	賊盗下
HVH_107_13_000001_000004	8828
HVH_107_13_000001_000005	MIRBAR
HVH_107_13_000001_000006	親相盗
HVH_107_13_000001_000007	恐赫取财
HVH_107_13_000001_000008	詐欺官私取財
HVH_107_13_000001_000009	界人賣人
HVH_107_13_000001_000010	發
HVH_107_13_000001_000011	夜無故入人家
HVH_107_13_000001_000012	盗賊窩主
HVH_107_13_000001_000013	共謀爲盗
HVH_107_13_000001_000014	公取竊取皆爲盗
HVH_107_13_000001_000015	起除刺字
HVH_107_13_000001_000016	目録药
HVH_107_13_000001_000017	星越律例
HVH_107_13_000001_000018	卷十三刑律
HVH_107_13_000001_000019	目
HVH_107_13_000002_000001	皇越律例卷之十三
HVH_107_13_000002_000002	刑律
HVH_107_13_000002_000003	賊盗下
HVH_107_13_000002_000004	親相盗
HVH_107_13_000002_000005	凡各居外親相益
HVH_107_13_000002_000006	本宗
HVH_107_13_000002_000007	手二发财物者
HVH_107_13_000002_000008	秉俊尊张
HVH_107_13_000002_000009	期新减凡人五等大功减四等小功减
HVH_107_13_000002_000010	三等總麻藏二等無服之親藏一等
HVH_107_13_000002_000011	免刺
HVH_107_13_000002_000012	服降狱科断為各又减一等
HVH_107_13_000002_000013	若盗有首從而服易不制各本
HVH_107_13_000002_000014	若行强盗者尊長犯卑幼亦
HVH_107_13_000002_000015	侯爱益
HVH_107_13_000002_000016	行面
HVH_107_13_000002_000017	财
HVH_107_13_000002_000018	不在城
HVH_107_13_000002_000019	若有傷者
HVH_107_13_000002_000020	二顶
HVH_107_13_000002_000021	皇越律例
HVH_107_13_000002_000022	卷十用律贼下
HVH_107_13_000002_000023	视属相盗
HVH_107_13_000002_000024	僧道使第及微
HVH_107_13_000002_000025	安蘭夫之子商居省
HVH_107_13_000002_000026	殺傷尊長卑幼本律從其重者論0若
HVH_107_13_000002_000027	輯不言各居属
HVH_107_13_000002_000028	重饭单翊
HVH_107_13_000002_000029	同居卑幼将引
HVH_107_13_000002_000030	其人亦依本服降减叉
HVH_107_13_000002_000031	若将引各居親属月盗
HVH_107_13_000002_000032	引他人同查者益
HVH_107_13_000002_000033	同居共财故日将引
HVH_107_13_000002_000034	减為從一等科之如甲切
HVH_107_13_000002_000035	自盗止依用下必
HVH_107_13_000002_000036	他人盗已家
HVH_107_13_000002_000037	他人同圣俱自外来
HVH_107_13_000002_000038	他人若各居之典
HVH_107_13_000002_000039	财物者卑切依私擅用财物論加二等
HVH_107_13_000002_000040	家弗其家财非其盾
HVH_107_13_000002_000041	何将引之有所不
HVH_107_13_000002_000042	罪止杖一百他人
HVH_107_13_000002_000043	從言
HVH_107_13_000002_000044	养有
HVH_107_13_000002_000045	减凡盗罪一等
HVH_107_13_000002_000046	日服制减等他人
HVH_107_13_000002_000047	百也然有犯者親属
HVH_107_13_000002_000048	免刺若有殺傷者自依殺傷尊長早
HVH_107_13_000002_000049	仍以凡盎渝不得比
HVH_107_13_000002_000050	同居卑切将引之他
HVH_107_13_000002_000051	本律科罪他人縱不知情亦依强盗财
HVH_107_13_000002_000052	财
HVH_107_13_000002_000053	人得几盗一等也
HVH_107_13_000002_000054	财
HVH_107_13_000002_000055	不得
HVH_107_13_000002_000056	論若他人殺傷人者里幼縱不知
HVH_107_13_000002_000057	情亦依殺傷尊長卑幼本律
HVH_107_13_000002_000058	用加罪及
HVH_107_13_000002_000059	仍以私技
HVH_107_13_000002_000060	之
HVH_107_13_000002_000061	爱停界
HVH_107_13_000002_000062	從其重者論其同居奴婢雇
HVH_107_13_000002_000063	工人盗家長财物及自相盗者减凡
HVH_107_13_000003_000001	盗罪一等免刺
HVH_107_13_000003_000002	爲從又一等被签之
HVH_107_13_000003_000003	家親自告如律
HVH_107_13_000003_000004	不在名传得
HVH_107_13_000003_000005	相之例
HVH_107_13_000003_000006	各居親属謂不同门户不共财產不
