HVH_107_15_000001_000001	皇越律例卷十五目録
HVH_107_15_000001_000002	刑律
HVH_107_15_000001_000003	開段上
HVH_107_15_000001_000004	NEA
HVH_107_15_000001_000005	R1300
HVH_107_15_000001_000006	R.743
HVH_107_15_000001_000007	開
HVH_107_15_000001_000008	保限期
HVH_107_15_000001_000009	宫内念争
HVH_107_15_000001_000010	宗室親被
HVH_107_15_000001_000011	段制使及本管長官
HVH_107_15_000001_000012	佐職税長官
HVH_107_15_000001_000013	上司官與税屬官相
HVH_107_15_000001_000014	九以上官殿長官
HVH_107_15_000001_000015	拒段追摄人
HVH_107_15_000001_000016	殿受业師
HVH_107_15_000001_000017	威力制得人
HVH_107_15_000001_000018	夏相卧
HVH_107_15_000001_000019	T
HVH_107_15_000001_000020	双弹殿家長
HVH_107_15_000001_000021	妻妾殿夫
HVH_107_15_000001_000022	越律例
HVH_107_15_000001_000023	农丁五律
HVH_107_15_000001_000024	日
HVH_107_15_000001_000025	同姓親相
HVH_107_15_000001_000026	殿大功以下尊長
HVH_107_15_000001_000027	股期親尊長
HVH_107_15_000001_000028	祖父毋父号
HVH_107_15_000001_000029	妻妾與夫親屬相
HVH_107_15_000001_000030	妻前夫之子
HVH_107_15_000001_000031	妻妾殿故夫父毋
HVH_107_15_000001_000032	父祖被殿
HVH_107_15_000002_000001	皇越律例卷之十五
HVH_107_15_000002_000002	刑律
HVH_107_15_000002_000003	殿上
HVH_107_15_000002_000004	開省口部
HVH_107_15_000002_000005	被比扭粘米至梅
HVH_107_15_000002_000006	先以開
HVH_107_15_000002_000007	也则以手足相打
HVH_107_15_000002_000008	凡段人
HVH_107_15_000002_000009	以手龙殿人不成傷者二
HVH_107_15_000002_000010	所著者是律人
HVH_107_15_000002_000011	之人因一
HVH_107_15_000002_000012	之筑事起非有
HVH_107_15_000002_000013	成心即有同共
HVH_107_15_000002_000014	成傷者答四十皮
HVH_107_15_000002_000015	所暇之青
HVH_107_15_000002_000016	止济耳故
HVH_107_15_000002_000017	体中享流傷之乾
HVH_107_15_000002_000018	赤而者為傷非手足者其條皆
HVH_107_15_000002_000019	至死故後有保
HVH_107_15_000002_000020	以定然必有医份
HVH_107_15_000002_000021	他物即兵不用
HVH_107_15_000002_000022	以人
HVH_107_15_000002_000023	持其背柄
HVH_107_15_000002_000024	亦是物
HVH_107_15_000002_000025	茶人价律内
HVH_107_15_000002_000026	随院设條参有
HVH_107_15_000002_000027	皇越律例
HVH_107_15_000002_000028	卷十五
HVH_107_15_000002_000029	弼律阅上
HVH_107_15_000002_000030	中出及内损腐面
HVH_107_15_000002_000031	周胶
HVH_107_15_000002_000032	春止
HVH_107_15_000002_000033	者仍以成傷前
HVH_107_15_000002_000034	血流及鼻孔出血
HVH_107_15_000002_000035	以物人頭面者
HVH_107_15_000002_000036	情固有重
HVH_107_15_000002_000037	及手是一指取人一目
HVH_107_15_000002_000038	未至脑
HVH_107_15_000002_000039	角能小原
HVH_107_15_000002_000040	扶毁
HVH_107_15_000002_000041	人耳鼻若人骨及用湯火汁
HVH_107_15_000002_000042	傷人者杖一百以穢物灌入人口鼻内
HVH_107_15_000002_000043	者罪亦如之一折二二指以上及
HVH_107_15_000002_000044	盡去者杖六十徒一年仍堪為
HVH_107_15_000002_000045	折人人随
HVH_107_15_000002_000046	者止依拔
HVH_107_15_000002_000047	要不离
HVH_107_15_000002_000048	随后者
HVH_107_15_000002_000049	胎及傷人者杖八十徒二年
HVH_107_15_000002_000050	子死反胎九十日之外成形者坐
HVH_107_15_000002_000051	子外灰随胎九十日
HVH_107_15_000002_000052	之同者仍
HVH_107_15_000002_000053	坐谨胎之罪
HVH_107_15_000002_000054	I
HVH_107_15_000003_000001	瞎人一日者废疾
HVH_107_15_000003_000002	省成
HVH_107_15_000003_000003	杖一百徒三年0赔
HVH_107_15_000003_000004	人两目折人两肢损人二事以上
HVH_107_15_000003_000005	二串
HVH_107_15_000003_000006	如聘
HVH_107_15_000003_000007	舌能礼話
HVH_107_15_000003_000008	全不及毁败人陰陽者
HVH_107_15_000003_000009	能生育
HVH_107_15_000003_000010	以至不
HVH_107_15_000003_000011	鱼杖一百流三千里仍将犯人财産
HVH_107_15_000003_000012	非理
HVH_107_15_000003_000013	傷人者各以下手傷重為重罪原謀
HVH_107_15_000003_000014	雖殿而傷轻
HVH_107_15_000003_000015	者
HVH_107_15_000003_000016	人傷皆致命以最後下手重者當其重
HVH_107_15_000003_000017	皇越律
HVH_107_15_000003_000018	春十五律開段上
HVH_107_15_000003_000019	同股
HVH_107_15_000003_000020	罪如乱段不知先後輕重者或二人共
HVH_107_15_000003_000021	一日业须以原谋為首除人
HVH_107_15_000003_000022	法富常
HVH_107_15_000003_000023	曲由就先下千算
HVH_107_15_000003_000024	開五相段傷者各驗其傷之輕重定罪
HVH_107_15_000003_000025	没下干理在问常
HVH_107_15_000003_000026	中请本理液
HVH_107_15_000003_000027	罪
HVH_107_15_000003_000028	减盛版止論般理
HVH_107_15_000003_000029	几五相段甲一日被折一
HVH_107_15_000003_000030	曲面先下手若原
HVH_107_15_000003_000031	等之法也
HVH_107_15_000003_000032	人至自當低命
HVH_107_15_000003_000033	者爭也者打也因事念争奮力
HVH_107_15_000003_000034	之分而手足也拥又有成傷不成留
HVH_107_15_000003_000035	之别手足微人不成为者管二十華
HVH_107_15_000004_000001	未有偽人已被殿也手是人成傷
HVH_107_15_000004_000002	及以他物殿人不成傷者三十他
HVH_107_15_000004_000003	或赤或起背爲成傷言成傷者以
HVH_107_15_000004_000004	最人有血耳相中吸的烦喉
