HVH_107_16_000001_000001	皇越律侧卷十六目録
HVH_107_16_000001_000002	雅准
HVH_107_16_000001_000003	09℃
HVH_107_16_000001_000004	8788
HVH_107_16_000001_000005	号骨
HVH_107_16_000001_000006	P
HVH_107_16_000001_000007	焉人
HVH_107_16_000001_000008	影制使及本管長官
HVH_107_16_000001_000009	佐職統属長官
HVH_107_16_000001_000010	奴婢家長
HVH_107_16_000001_000011	153
HVH_107_16_000001_000012	尊長
HVH_107_16_000001_000013	祖父母父册
HVH_107_16_000001_000014	妻妾夫期親尊長妻妾故夫父毋
HVH_107_16_000001_000015	訴訟
HVH_107_16_000001_000016	越
HVH_107_16_000001_000017	校匿各文書告人罪
HVH_107_16_000001_000018	告状不受理
HVH_107_16_000001_000019	聽訟過避
HVH_107_16_000001_000020	誣告
HVH_107_16_000001_000021	十各犯義
HVH_107_16_000001_000022	皇律侧
HVH_107_16_000001_000023	一卷十六刑律
HVH_107_16_000001_000024	日
HVH_107_16_000001_000025	子孙犯教令
HVH_107_16_000001_000026	見禁囚不得告舉他事
HVH_107_16_000001_000027	教唆詞訟
HVH_107_16_000001_000028	軍民會訟
HVH_107_16_000001_000029	官吏訟家人訴
HVH_107_16_000001_000030	日録
HVH_107_16_000002_000001	皇越律例卷之十六
HVH_107_16_000002_000002	刑律
HVH_107_16_000002_000003	罵置
HVH_107_16_000002_000004	人
HVH_107_16_000002_000005	无人者答一十互相者各答一十
HVH_107_16_000002_000006	越律例
HVH_107_16_000002_000007	号人
HVH_107_16_000003_000001	蜀制使及本管長官
HVH_107_16_000003_000002	儿奉制命出使而官吏焉之者及部民焉
HVH_107_16_000003_000003	寨軍士民使
HVH_107_16_000003_000004	部民本軍
HVH_107_16_000003_000005	本属知府知州知縣軍士本管官
HVH_107_16_000003_000006	民本官更焉
HVH_107_16_000003_000007	本部典律所不载
HVH_107_16_000003_000008	吏卒蜀本部五以上長官杖一百若
HVH_107_16_000003_000009	火车影舉人光联蹈
HVH_107_16_000003_000010	有比律科之
HVH_107_16_000003_000011	更卒六品以下長官各
HVH_107_16_000003_000012	载备杖一
HVH_107_16_000003_000013	六品至雜
HVH_107_16_000003_000014	六品烈下官律放
HVH_107_16_000003_000015	七
HVH_107_16_000003_000016	百
HVH_107_16_000003_000017	本部之
HVH_107_16_000003_000018	佐貳官首
HVH_107_16_000003_000019	領官又各遮藏一等親聞乃坐
HVH_107_16_000003_000020	奉命出使所使则辱朝命
HVH_107_16_000003_000021	上甚故效
