HVH_107_17_000001_000001	皇越律创卷十七目録
HVH_107_17_000001_000002	刑律
HVH_107_17_000001_000003	1
HVH_107_17_000001_000004	爱腻
HVH_107_17_000001_000005	R
HVH_107_17_000001_000006	官吏受财
HVH_107_17_000001_000007	坐臧致罪
HVH_107_17_000001_000008	事後受財
HVH_107_17_000001_000009	官吏聽許財物
HVH_107_17_000001_000010	有事以财請求
HVH_107_17_000001_000011	在官求索借贷人财物
HVH_107_17_000001_000012	家人求索
HVH_107_17_000001_000013	因公科款
HVH_107_17_000001_000014	冠留盗
HVH_107_17_000001_000015	詐偽
HVH_107_17_000001_000016	詐爲制書
HVH_107_17_000001_000017	詐傳詔肯
HVH_107_17_000001_000018	對制上書詐不以實偽造印信時意書等
HVH_107_17_000001_000019	皇越律倒
HVH_107_17_000001_000020	卷十七刑律
HVH_107_17_000001_000021	目
HVH_107_17_000001_000022	私鑄铜钱
HVH_107_17_000001_000023	詐假官
HVH_107_17_000001_000024	詐稱内使等官
HVH_107_17_000001_000025	延侍詐稱私行
HVH_107_17_000001_000026	詐爲瑞應
HVH_107_17_000001_000027	詐病死傷避事
HVH_107_17_000001_000028	詐教誘人犯法
HVH_107_17_000001_000029	目缘
HVH_107_17_000002_000001	皇越律侧卷之十七
HVH_107_17_000002_000002	刑律
HVH_107_17_000002_000003	受
HVH_107_17_000002_000004	官更受财
HVH_107_17_000002_000005	舞北渝弄
HVH_107_17_000002_000006	若不受财面有枉点
HVH_107_17_000002_000007	凡官吏
HVH_107_17_000002_000008	不受财者計無
HVH_107_17_000002_000009	枉法事
HVH_107_17_000002_000010	之事则有失出入故
HVH_107_17_000002_000011	人之律心是
HVH_107_17_000002_000012	人各减一等官追奪除各史罷
HVH_107_17_000002_000013	一两
HVH_107_17_000002_000014	在先到不
HVH_107_17_000002_000015	法在後乃合
HVH_107_17_000002_000016	俱不叙用說事過者有人戒受
HVH_107_17_000002_000017	许未受则有的
HVH_107_17_000002_000018	时物之伽若产骨
HVH_107_17_000002_000019	錢人一等無禄人减二等
HVH_107_17_000002_000020	即求索科数
HVH_107_17_000002_000021	炸等验及
HVH_107_17_000002_000022	面役受财列有事彼
HVH_107_17_000002_000023	EM
HVH_107_17_000002_000024	火财之缘
HVH_107_17_000002_000025	者不用此律
HVH_107_17_000002_000026	遷
HVH_107_17_000002_000027	郸注说事运串
HVH_107_17_000002_000028	講說之事邸通後
HVH_107_17_000002_000029	之事也若篇服事
HVH_107_17_000002_000030	愉而不及财是
HVH_107_17_000002_000031	微本律
HVH_107_17_000002_000032	皇越律侧
HVH_107_17_000002_000033	卷十七
HVH_107_17_000002_000034	官史党财
HVH_107_17_000002_000035	托类若止说事而
HVH_107_17_000002_000036	先條是官吏犯正律車指官使
HVH_107_17_000002_000037	言
HVH_107_17_000002_000038	有事人自退
HVH_107_17_000002_000039	1
HVH_107_17_000002_000040	之官吏同為
HVH_107_17_000002_000041	别諭官吏受义图
HVH_107_17_000002_000042	其事又受在事前
HVH_107_17_000002_000043	面過人如此律
HVH_107_17_000002_000044	柱
HVH_107_17_000002_000045	法
HVH_107_17_000002_000046	故注有如求票云云
HVH_107_17_000002_000047	不用此律
HVH_107_17_000002_000048	料杜法不枉法
HVH_107_17_000002_000049	各計入已之散定罪
HVH_107_17_000002_000050	與窃盗論者不
HVH_107_17_000002_000051	同巷易得财之罪
HVH_107_17_000002_000052	高事主收害者言
HVH_107_17_000002_000053	教饼翰罪一人
HVH_107_17_000002_000054	益得教家王之亦
HVH_107_17_000002_000055	止计一主重者难数
HVH_107_17_000002_000056	人分得一主之赃亦
HVH_107_17_000002_000057	凭計所失之同
HVH_107_17_000002_000058	各盗之罪惟脏放
HVH_107_17_000002_000059	百徒二年按统事過錢者宿有限
HVH_107_17_000002_000060	仍依首從法也官吏
HVH_107_17_000002_000061	使谁徒之今定為徒二年五等徒
HVH_107_17_000002_000062	受财之罪药官吏
HVH_107_17_000002_000063	與杖同增减此则杖有增戒徒俱
HVH_107_17_000002_000064	财者言之故各計入
HVH_107_17_000002_000065	年雖通錢一两以下减至答罪亦徒
