HVH_107_18_000001_000001	皇越律例卷十八目錄
HVH_107_18_000001_000002	刑律
HVH_107_18_000001_000003	109909
HVH_107_18_000001_000004	1303
HVH_107_18_000001_000005	752
HVH_107_18_000001_000006	北
HVH_107_18_000001_000007	AR
HVH_107_18_000001_000008	犯姦
HVH_107_18_000001_000009	縱容妻妾犯
HVH_107_18_000001_000010	親屬相姦
HVH_107_18_000001_000011	誣翁茶
HVH_107_18_000001_000012	奴及雇工人轰家長妻
HVH_107_18_000001_000013	姦部民妻女
HVH_107_18_000001_000014	居丧及僧道犯
HVH_107_18_000001_000015	夏賤相姦
HVH_107_18_000001_000016	官吏宿
HVH_107_18_000001_000017	雑犯
HVH_107_18_000001_000018	折毁申明亭
HVH_107_18_000001_000019	夫匠軍士病給醫葯
HVH_107_18_000001_000020	赌博
HVH_107_18_000001_000021	腊剖火者
HVH_107_18_000001_000022	皇越律侧
HVH_107_18_000001_000023	卷十八同律
HVH_107_18_000001_000024	目
HVH_107_18_000001_000025	託公事
HVH_107_18_000001_000026	私和公事
HVH_107_18_000001_000027	失火
HVH_107_18_000001_000028	放火故烧人房屋
HVH_107_18_000001_000029	搬做雜劇
HVH_107_18_000001_000030	建令
HVH_107_18_000001_000031	不應為
HVH_107_18_000001_000032	捕
HVH_107_18_000001_000033	應捕人追拥罪人
HVH_107_18_000001_000034	罪人拒捕
HVH_107_18_000001_000035	狱四脱监及反獄在逃
HVH_107_18_000001_000036	徙流人远
HVH_107_18_000001_000037	备囚徒
HVH_107_18_000001_000038	主守不覺失四
HVH_107_18_000001_000039	知情藏匿罪人
HVH_107_18_000001_000040	益賊捕
HVH_107_18_000001_000041	目錄终
HVH_107_18_000002_000001	皇越律例卷之十八
HVH_107_18_000002_000002	刑律
HVH_107_18_000002_000003	犯姦
HVH_107_18_000002_000004	犯姦
HVH_107_18_000002_000005	有本保和系
HVH_107_18_000002_000006	凡和杖八十有夫者杖九十才者
HVH_107_18_000002_000007	票
HVH_107_18_000002_000008	夫
HVH_107_18_000002_000009	以码挖倚者有本
HVH_107_18_000002_000010	人国人见而费
HVH_107_18_000002_000011	杖一百0强姦者未成者杖一
HVH_107_18_000002_000012	大灌
HVH_107_18_000002_000013	场和发翼优
HVH_107_18_000002_000014	光者和奖滋重
HVH_107_18_000002_000015	有人知聞及换伤膚超裂发服之局
HVH_107_18_000002_000016	殊不可不做
HVH_107_18_000002_000017	方坐教罪若以强合以和成弄验
HVH_107_18_000002_000018	如一人滋换一人家之行人間教
HVH_107_18_000002_000019	提未成流罪又加見娜人奥人
HVH_107_18_000002_000020	十二歲以下者维和同强論其和
HVH_107_18_000002_000021	皇越律们一卷十八周律
HVH_107_18_000002_000022	化豪
HVH_107_18_000002_000023	刁姦者男女同罪姦生男女责付姦夫
HVH_107_18_000002_000024	收養姦婦從夫嫁賣其夫願留者聽若
HVH_107_18_000002_000025	嫁賣與夫者姦夫本夫各杖人十婦
HVH_107_18_000002_000026	人離異歸宗财物入官強姦者婦友
HVH_107_18_000002_000027	不坐0若媒合容止通者各减
HVH_107_18_000002_000028	犯人和罪一等
HVH_107_18_000002_000029	已球面代
HVH_107_18_000002_000030	如人犯姦
HVH_107_18_000002_000031	私和轰事
HVH_107_18_000002_000032	者各减
HVH_107_18_000002_000033	和才
HVH_107_18_000002_000034	强
HVH_107_18_000002_000035	二等0其非姦所捕硬及
HVH_107_18_000002_000036	指姦者勿論若姦辅有孕
HVH_107_18_000002_000037	轰雄有
HVH_107_18_000002_000038	而豪夫無
HVH_107_18_000002_000039	悉罪坐本疑
HVH_107_18_000002_000040	和谓男女情顺和同做簽也不
HVH_107_18_000002_000041	謂姦夫才誘婦引至溺所通轰亦
HVH_107_18_000002_000042	轰凡和者赢夫各
HVH_107_18_000002_000043	十此爲歸人無夫者言之若有夫者
HVH_107_18_000003_000001	,
HVH_107_18_000003_000002	放一百既有夫在藻而外注故加一
HVH_107_18_000003_000003	等才引外不爱人知准尤
HVH_107_18_000003_000004	更最其法夫人都女人阴門
HVH_107_18_000003_000005	之罪本重在夫必為邪
HVH_107_18_000003_000006	無有以之故不称刀疑有
HVH_107_18_000003_000007	貢察而人用豪之肆已崖人
HVH_107_18_000003_000008	商探其情至重已成者敬求
HVH_107_18_000003_000009	一百流三干里未之樂
HVH_107_18_000003_000010	夫师法夫夫
HVH_107_18_000003_000011	罪惟均重放几十超官之偿人
HVH_107_18_000003_000012	皇越卷十八
HVH_107_18_000003_000013	加
HVH_107_18_000003_000014	正貴從本大改人
