HVH_107_19_000001_000001	皇越律例卷十九目録
HVH_107_19_000001_000002	25
HVH_107_19_000001_000003	刑律
HVH_107_19_000001_000004	断獄上
HVH_107_19_000001_000005	四應禁而不禁
HVH_107_19_000001_000006	故禁故勘平人
HVH_107_19_000001_000007	淹禁
HVH_107_19_000001_000008	陵虐罪四
HVH_107_19_000001_000009	典四金刃解脱
HVH_107_19_000001_000010	主守教四反异
HVH_107_19_000001_000011	獄囚衣
HVH_107_19_000001_000012	功臣應禁親人人
HVH_107_19_000001_000013	死四令人自殺
HVH_107_19_000001_000014	老幼不拷
HVH_107_19_000001_000015	獄停四待封
HVH_107_19_000001_000016	依告状狱
HVH_107_19_000001_000017	原告人事畢不放回
HVH_107_19_000001_000018	獄四誣指平人
HVH_107_19_000001_000019	皇越律例
HVH_107_19_000001_000020	卷十九刑律断狱上
HVH_107_19_000001_000021	目
HVH_107_19_000001_000022	目象
HVH_107_19_000002_000001	皇越律例卷之十九
HVH_107_19_000002_000002	刑律
HVH_107_19_000002_000003	断獄上
HVH_107_19_000002_000004	四應禁而不禁
HVH_107_19_000002_000005	獄應禁而不禁
HVH_107_19_000002_000006	徒犯以上
HVH_107_19_000002_000007	人犯收禁
HVH_107_19_000002_000008	官犯公私罪年民
HVH_107_19_000002_000009	罪老幼麼疾散禁
HVH_107_19_000002_000010	應鎖极而不用鑽
HVH_107_19_000002_000011	各四重若四
HVH_107_19_000002_000012	经論之
HVH_107_19_000002_000013	該杖罪
HVH_107_19_000002_000014	当該
HVH_107_19_000002_000015	官司
HVH_107_19_000002_000016	管三十徒罪答四十流罪
HVH_107_19_000002_000017	笞五十死罪杖六十若應而负應饋
HVH_107_19_000002_000018	而极者各裁
HVH_107_19_000002_000019	不馈
HVH_107_19_000002_000020	罪
HVH_107_19_000002_000021	一等。若自脱去
HVH_107_19_000002_000022	及司狱官典卒私與四脱去极
HVH_107_19_000002_000023	极
HVH_107_19_000002_000024	售越律侧
HVH_107_19_000002_000025	卷十九
HVH_107_19_000002_000026	刑律
HVH_107_19_000002_000027	内禁不不格示
HVH_107_19_000002_000028	者罪亦如
HVH_107_19_000002_000029	脱去
HVH_107_19_000002_000030	自
HVH_107_19_000002_000031	卒
HVH_107_19_000002_000032	官典
HVH_107_19_000002_000033	同罪不知者不生
HVH_107_19_000002_000034	0其
HVH_107_19_000002_000035	於图之
HVH_107_19_000002_000036	制跃可
HVH_107_19_000002_000037	從重論有人
HVH_107_19_000002_000038	狱卒
HVH_107_19_000002_000039	十两律装
HVH_107_19_000002_000040	禁調收禁在秩也男子把徒以上
HVH_107_19_000002_000041	人犯及无皆收禁单民
HVH_107_19_000002_000042	做以下敬禁公罪自流以下者敬
HVH_107_19_000002_000043	脱去者各四弄之重输以答杖
HVH_107_19_000002_000044	罪名所以您寬也错施
HVH_107_19_000003_000001	1
HVH_107_19_000003_000002	2
HVH_107_19_000003_000003	决然非法之平所谓不如法也
HVH_107_19_000003_000004	成全不之罪等各字指教徒
HVH_107_19_000003_000005	流死罪项而言若咖法鎖册
HVH_107_19_000003_000006	而自脱夫及司狱官典狱年典
HVH_107_19_000003_000007	不施禁而禁者误禁若故禁者自
HVH_107_19_000003_000008	有不雨不禁不极者雖失之
HVH_107_19_000003_000009	微日衣程律亦准此
HVH_107_19_000003_000010	條例
HVH_107_19_000003_000011	皇越律侧一集
HVH_107_19_000003_000012	川度禁面不基小
HVH_107_19_000003_000013	九加號人犯除例有正條及催微税
HVH_107_19_000003_000014	用小枷枷號朝枷夜放外取有将鲜罪
HVH_107_19_000003_000015	八犯用大柳枷號及用连根带价校
HVH_107_19_000003_000016	傷人者交議因而孩死者照非法
HVH_107_19_000003_000017	打致死律杖一百徒三年應伽者
HVH_107_19_000003_000018	定於满日责放不許先责後枷遇息病
HVH_107_19_000003_000019	行保釋醫治口脯伽先後
HVH_107_19_000003_000020	遇息病不即行保释医治以致命者
HVH_107_19_000003_000021	交部嚴加議處營不行察或經科
HVH_107_19_000003_000022	道科器镇骨一併議废
HVH_107_19_000004_000001	故禁故勘平人
HVH_107_19_000004_000002	故禁致死谓
HVH_107_19_000004_000003	人放被長俱
HVH_107_19_000004_000004	或念恨因而病死及
HVH_107_19_000004_000005	平空無事真公事毫不相干亦無名
HVH_107_19_000004_000006	自盖者皆是不言
HVH_107_19_000004_000007	字在官者與下文公事干之平人不
HVH_107_19_000004_000008	卒陵虐者此重在
HVH_107_19_000004_000009	挟警故禁也知卒
HVH_107_19_000004_000010	受官更悲指面致之
HVH_107_19_000004_000011	无则是袋矣感有
HVH_107_19_000004_000012	典狱卒知而不舉首者典同罪至死者
HVH_107_19_000004_000013	造意加功之别不在
HVH_107_19_000004_000014	此限
HVH_107_19_000004_000015	减一等不知者不坐若因
HVH_107_19_000004_000016	故
HVH_107_19_000004_000017	公事干连
HVH_107_19_000004_000018	注凡敬娱
HVH_107_19_000004_000019	禁死由於辛陵
HVH_107_19_000004_000020	平人在官本無招
HVH_107_19_000004_000021	罪而不
HVH_107_19_000004_000022	行保管
