HVH_107_20_000001_000001	皇越律侧卷二十目錄
HVH_107_20_000001_000002	刑律
HVH_107_20_000001_000003	6518
HVH_107_20_000001_000004	断獄下
HVH_107_20_000001_000005	官司出人人罪
HVH_107_20_000001_000006	辩明宪
HVH_107_20_000001_000007	有司央四等第
HVH_107_20_000001_000008	檢驗屋傷不以實
HVH_107_20_000001_000009	决罰不如法
HVH_107_20_000001_000010	長官使人有犯
HVH_107_20_000001_000011	断罪引律令
HVH_107_20_000001_000012	微囚取服
HVH_107_20_000001_000013	前断罪不當
HVH_107_20_000001_000014	聞有恩赦而故犯
HVH_107_20_000001_000015	囚徒不應役
HVH_107_20_000001_000016	婦人犯罪
HVH_107_20_000001_000017	死囚覆奏待報
HVH_107_20_000001_000018	斷罪不當
HVH_107_20_000001_000019	更典代寓招草
HVH_107_20_000001_000020	目靠务
HVH_107_20_000001_000021	皇越律饲二卷三
HVH_107_20_000001_000022	缘
HVH_107_20_000002_000001	皇越律倒卷之二十
HVH_107_20_000002_000002	刑律
HVH_107_20_000002_000003	断狱下
HVH_107_20_000002_000004	官司出人人罪
HVH_107_20_000002_000005	证财者义富
HVH_107_20_000002_000006	法律法外用刑者
HVH_107_20_000002_000007	又拳教勤平人律
HVH_107_20_000002_000008	各從論
HVH_107_20_000002_000009	吏以全罪
HVH_107_20_000002_000010	全但
HVH_107_20_000002_000011	生死罪全出
HVH_107_20_000002_000012	注故增故球至死
HVH_107_20_000002_000013	於罪不至
HVH_107_20_000002_000014	全尚
HVH_107_20_000002_000015	减重作輕以所增戒論至死
HVH_107_20_000002_000016	学律所最聚如深不
HVH_107_20_000002_000017	全人经处生之
HVH_107_20_000002_000018	者坐以死罪
HVH_107_20_000002_000019	每徙一等折杖二十人至
HVH_107_20_000002_000020	节增性作重入至徒异者
HVH_107_20_000002_000021	底面或流率止
HVH_107_20_000002_000022	流罪者每流一等折徒半年入至罪
HVH_107_20_000002_000023	双一等死者得生
HVH_107_20_000002_000024	已快者坐死罪若重作轻者罪亦
HVH_107_20_000002_000025	界本庭面
HVH_107_20_000002_000026	数单止增一等面生
HVH_107_20_000002_000027	皇越律何卷三十年新下
HVH_107_20_000002_000028	官司离入人罪
HVH_107_20_000002_000029	行死关增死者
HVH_107_20_000002_000030	抵其命献至者
HVH_107_20_000002_000031	出者各减五等並以吏典爲首首领官
HVH_107_20_000002_000032	應北法故即生
HVH_107_20_000002_000033	死也成謂故入至死
HVH_107_20_000002_000034	减吏典一等佐贰官藏首领官一等长
HVH_107_20_000002_000035	断教全抚面故出者
HVH_107_20_000002_000036	车按各例故
HVH_107_20_000002_000037	官减佐贰官一等科罪
HVH_107_20_000002_000038	坐以所减
HVH_107_20_000002_000039	出入入罪之真
HVH_107_20_000002_000040	不原故出者
HVH_107_20_000002_000041	囚未央发及而復若因自死
HVH_107_20_000002_000042	入铁
HVH_107_20_000002_000043	赔印
HVH_107_20_000002_000044	此政史的旨
HVH_107_20_000002_000045	五等洗减面後算折
HVH_107_20_000002_000046	首领队上减一等
HVH_107_20_000002_000047	其到罪以坐不然则其失增失减到杖
HVH_107_20_000002_000048	者無心之指即名何
HVH_107_20_000002_000049	制徒之罪反有重於全出全久者
HVH_107_20_000002_000050	阿低犯法
HVH_107_20_000002_000051	故者有意故為故為曲法開
HVH_107_20_000002_000052	於两一人有私自依
HVH_107_20_000002_000053	脱人罪日故故曲法枉坐人
HVH_107_20_000002_000054	故出入其不知者
HVH_107_20_000002_000055	日依本律不署文案
HVH_107_20_000002_000056	共開日全出無罪者不實情
