unit	page	marks	circles	strokes	sent_cv	sent_clc	boundary_P	boundary_R	boundary_F1
HVH_090	page_001	117	5	112	6	3	0.0	0.0	0.0
HVH_090	page_002	120	9	111	7	2	0.0	0.0	0.0
HVH_090	page_003	120	11	109	9	2	0.0	0.0	0.0
HVH_090	page_004	129	12	117	10	1	0.0	0.0	0.0
HVH_090	page_005	130	4	126	5	4	0.0	0.0	0.0
HVH_090	page_006	136	9	127	10	3	0.0	0.0	0.0
HVH_090	page_007	141	15	126	11	7	0.0	0.0	0.0
HVH_090	page_008	129	3	126	4	7	0.0	0.0	0.0
HVH_090	page_009	148	19	129	12	2	0.0	0.0	0.0
HVH_090	page_010	131	7	124	8	5	0.0	0.0	0.0
HVH_090	page_011	124	2	122	3	6	0.0	0.0	0.0
