user id,test group,converted,total ads,most ads day,most ads hour
1069124,ad,FALSE,130,Monday,20
1119715,ad,FALSE,93,Tuesday,22
1144181,ad,FALSE,21,Tuesday,18
1435133,ad,FALSE,355,Tuesday,10
1015700,ad,FALSE,276,Friday,14
1137664,ad,FALSE,734,Saturday,10
1116205,ad,FALSE,264,Wednesday,13
1496843,ad,FALSE,17,Sunday,18
1448851,ad,FALSE,21,Tuesday,19
1446284,ad,FALSE,142,Monday,14
1257223,ad,FALSE,209,Wednesday,11
1637531,ad,FALSE,47,Wednesday,13
1081965,ad,FALSE,61,Tuesday,20
1037215,ad,FALSE,40,Friday,13
1535652,ad,FALSE,20,Tuesday,19
1461774,ad,TRUE,9,Wednesday,18
1492276,ad,FALSE,64,Tuesday,12
1118924,ad,FALSE,26,Wednesday,11
900681,psa,FALSE,248,Saturday,19
1053783,ad,FALSE,73,Friday,19
1381767,ad,FALSE,281,Wednesday,11
1478526,ad,FALSE,389,Saturday,19
1436823,ad,FALSE,136,Sunday,16
1274572,ad,FALSE,47,Saturday,21
1441220,ad,FALSE,264,Saturday,3
1025687,ad,FALSE,87,Tuesday,23
1451900,ad,FALSE,46,Tuesday,20
1098821,ad,FALSE,3,Tuesday,19
1333281,ad,FALSE,114,Monday,23
1238323,ad,FALSE,175,Thursday,21
1034350,ad,FALSE,87,Tuesday,19
1175118,ad,FALSE,119,Tuesday,4
1325185,ad,FALSE,313,Saturday,19
1651459,ad,FALSE,89,Monday,19
1196281,ad,FALSE,364,Wednesday,10
1459497,ad,FALSE,24,Thursday,16
1482561,ad,FALSE,112,Friday,22
1067720,ad,FALSE,49,Tuesday,19
905704,psa,FALSE,27,Thursday,8
1486907,ad,FALSE,274,Wednesday,21
1011246,ad,FALSE,45,Wednesday,13
1521269,ad,FALSE,177,Sunday,16
1580543,ad,FALSE,46,Thursday,21
1320295,ad,FALSE,90,Saturday,19
1355531,ad,TRUE,265,Tuesday,12
1076583,ad,FALSE,119,Wednesday,10
1086831,ad,FALSE,71,Wednesday,0
1646896,ad,FALSE,31,Thursday,12
1381174,ad,FALSE,588,Saturday,20
1107193,ad,FALSE,56,Thursday,10
1301170,ad,FALSE,108,Sunday,19
1317684,ad,FALSE,45,Sunday,11
1449190,ad,FALSE,103,Monday,19
1000837,ad,FALSE,239,Saturday,12
1194204,ad,FALSE,73,Wednesday,14
1124531,ad,FALSE,63,Wednesday,19
1056827,ad,FALSE,66,Saturday,14
1077196,ad,FALSE,111,Friday,14
1402121,ad,FALSE,74,Thursday,14
1190893,ad,FALSE,14,Sunday,20
1608119,ad,FALSE,258,Friday,2
1447573,ad,FALSE,103,Wednesday,11
1626063,ad,FALSE,9,Tuesday,19
1565118,ad,FALSE,3,Tuesday,19
1261130,ad,FALSE,1057,Thursday,20
1651365,ad,FALSE,137,Sunday,15
1004917,ad,FALSE,131,Thursday,18
1275159,ad,FALSE,124,Friday,13
904595,psa,FALSE,13,Tuesday,19
1485052,ad,FALSE,24,Tuesday,19
1018316,ad,FALSE,37,Sunday,13
1455516,ad,FALSE,131,Saturday,21
1474691,ad,FALSE,738,Wednesday,4
1452008,ad,FALSE,24,Tuesday,19
1595920,ad,FALSE,199,Saturday,19
1581977,ad,FALSE,211,Saturday,15
1589863,ad,FALSE,98,Friday,19
1097687,ad,FALSE,19,Tuesday,19
1317758,ad,FALSE,19,Wednesday,19
1374531,ad,FALSE,127,Friday,13
1556695,ad,FALSE,18,Tuesday,19
1031558,ad,FALSE,126,Tuesday,11
1388707,ad,FALSE,197,Sunday,11
1243365,ad,FALSE,77,Friday,19
1021129,ad,FALSE,73,Wednesday,1
1035024,ad,FALSE,60,Wednesday,13
1283389,ad,FALSE,95,Friday,15
1134874,ad,FALSE,137,Tuesday,8
1239097,ad,FALSE,97,Tuesday,21
1214946,ad,FALSE,22,Tuesday,19
1474276,ad,FALSE,117,Tuesday,14
1176592,ad,FALSE,71,Tuesday,22
1650819,ad,FALSE,41,Tuesday,23
1025362,ad,FALSE,57,Wednesday,12
1447938,ad,FALSE,593,Friday,15
1383606,ad,FALSE,97,Tuesday,22
1004431,ad,FALSE,111,Friday,11
1311611,ad,FALSE,31,Tuesday,19
1426144,ad,FALSE,28,Tuesday,20
1550138,ad,FALSE,9,Tuesday,19
1142414,ad,FALSE,85,Saturday,2
1437991,ad,FALSE,13,Monday,6
1021483,ad,FALSE,40,Tuesday,19
1049936,ad,FALSE,53,Tuesday,19
1021529,ad,FALSE,43,Tuesday,21
1562039,ad,FALSE,133,Friday,23
1471753,ad,FALSE,33,Tuesday,19
1389878,ad,TRUE,1328,Saturday,19
1454785,ad,FALSE,7,Tuesday,20
1027875,ad,FALSE,6,Tuesday,19
1168468,ad,FALSE,62,Wednesday,10
1031452,ad,FALSE,247,Tuesday,17
1519525,ad,FALSE,73,Sunday,16
1519350,ad,FALSE,464,Friday,22
1408016,ad,FALSE,99,Friday,20
1470226,ad,FALSE,233,Sunday,19
1003299,ad,FALSE,139,Friday,6
1598132,ad,FALSE,274,Saturday,6
1086334,ad,FALSE,103,Sunday,0
1091862,ad,FALSE,62,Tuesday,19
1228652,ad,FALSE,407,Friday,0
1475989,ad,TRUE,323,Saturday,20
1189879,ad,FALSE,95,Tuesday,11
1098032,ad,FALSE,95,Tuesday,20
1074765,ad,FALSE,47,Wednesday,1
1633782,ad,FALSE,76,Monday,2
